corpus_id	metric_id	family	old_value	new_value	delta	relative_delta	standardized_delta	old_status	new_status	direction_changed	status_changed
voynich-zl3b-eva	2DL1_LAYOUT_POSITION_MI	2D-LITE	0.0047065461186923665	0.0047065461186923665	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	BP1_BOUNDARY_TOKEN_NMI	boundary	0.084219202530832205	0.084219202530832205	0	0	0	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	EF1_GIANT_COMPONENT_SHARE	edit family	0.86691738444740996	0.86691738444740996	0	0	N/A	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	false	false
voynich-zl3b-eva	EF1_ISOLATE_SHARE	edit family	0.11500667232803591	0.11500667232803591	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-zl3b-eva	EF2_GLOBAL_CLUSTERING	edit family	0.28727033544141856	0.28727033544141856	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-zl3b-eva	EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	0.63900735696103328	0.63900735696103328	0	0	N/A	REPRODUCED	REPRODUCED	false	false
voynich-zl3b-eva	HR1_FOLIO_VARIANCE_SHARE	hierarchy	0.27326906271941365	0.27326906271941342	-2.2204460492503131e-16	-8.1254937062898175e-16	-5.3299744818728775e-14	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	HR1_LOCUS_VARIANCE_SHARE	hierarchy	0.99999999999999312	0.99999999999998679	-6.3282712403633923e-15	-6.3282712403634357e-15	-0.74839857379456498	NOT_SUPPORTED	NOT_SUPPORTED	false	false
voynich-zl3b-eva	HR1_SECTION_VARIANCE_SHARE	hierarchy	0.12525899946487903	0.12525899946487901	-2.7755575615628914e-17	-2.2158548075750205e-16	-3.879869217448344e-14	SUPPORTED	SUPPORTED	false	false
voynich-zl3b-eva	HR6_CURRIER_SECTION_NMI	hierarchy	0.64862139166649757	0.64862139166649757	0	0	0	SUPPORTED	SUPPORTED	false	false
