corpus_id	metric_id	old_observed_estimate	deterministic_observed_estimate	old_effect_estimate	deterministic_effect_estimate	old_p_value	deterministic_p_value	decision_threshold	old_decision	deterministic_decision	decision_changed
voynich-zl3b-eva	2DL1_LAYOUT_POSITION_MI	0.0047065461186923665	0.0047065461186923665	17.315415266687236	17.315415266687236	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	BP1_BOUNDARY_TOKEN_NMI	0.084219202530832205	0.084219202530832205	86.864149178841416	86.864149178841416	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	EF1_GIANT_COMPONENT_SHARE	0.86691738444740996	0.86691738444740996	0	0	0	0	0.05	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	false
voynich-zl3b-eva	EF1_ISOLATE_SHARE	0.11500667232803591	0.11500667232803591	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-zl3b-eva	EF2_GLOBAL_CLUSTERING	0.28727033544141856	0.28727033544141856	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-zl3b-eva	EF3_DEGREE_FREQUENCY_SPEARMAN	0.63900735696103328	0.63900735696103328	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-zl3b-eva	HR1_FOLIO_VARIANCE_SHARE	0.27326906271941365	0.27326906271941342	55.48341237510401	55.483412375103939	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	HR1_LOCUS_VARIANCE_SHARE	0.99999999999999312	0.99999999999998679	-0.65648984766202367	-1.3768004787656432	0.2887112887112887	0.8571428571428571	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	HR1_SECTION_VARIANCE_SHARE	0.12525899946487903	0.12525899946487901	173.26320706067065	173.26320706067057	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	HR6_CURRIER_SECTION_NMI	0.64862139166649757	0.64862139166649757	378.8102864841548	378.8102864841548	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LC1_LOCUS_TYPE_NMI	0.0075883532433762097	0.0075883532433762097	23.398056690558388	23.398056690558388	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LC2_LABEL_TEXT_NMI	0.0048485589217109257	0.0048485589217109257	25.55595757352107	25.55595757352107	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LC5_IVTFF_I_NMI	0.0084520279271732938	0.0084520279271732938	13.190699497265674	13.190699497265674	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LC5_IVTFF_X_NMI	0.028287444669020206	0.028287444669020206	6.3177196195664393	6.3177196195664393	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LP1_RULE_SUPPORT_GINI	0.78979850639353621	0.78979850639353621	0	0	0	0	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	LP4_PREFIX_ATTACHMENT_NMI	0.31594941148608136	0.31594941148608136	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-zl3b-eva	LP4_SUFFIX_ATTACHMENT_NMI	0.27670562726959419	0.27670562726959419	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-zl3b-eva	LS1_LINE_LENGTH_CV	0.70653524542941293	0.70653524542941293	0	0	0	0	0.05	DESCRIPTIVE	DESCRIPTIVE	false
voynich-zl3b-eva	LS2_POSITIONAL_LEXICON_NMI	0.11058892444477356	0.11058892444477356	76.574158946765209	76.574158946765209	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LS3_BOUNDARY_LENGTH_ASYMMETRY	0.36064835659612759	0.36064835659612759	16.759285410959976	17.596557421428706	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	LS4_WITHIN_LINE_EXACT_REPETITION	0.0091189880864833064	0.0091189880864833064	0.48549877975695205	0.48549877975695205	0.32867132867132864	0.32867132867132864	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	PF2_FOLIO_COHERENCE	0.17303959526080231	0.17303959526080231	28.260384993178281	28.260384993178281	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	PF3_ADJACENT_FOLIO_CONTINUITY	0.49280985055720788	0.49280985055720788	-5.1810236613232554	-5.1810236613232554	1	1	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	PF4_RECTO_VERSO_COHERENCE	0.51919696815251271	0.51919696815251259	-2.9681544979920411	-2.9681544979920478	0.99800199800199796	0.99800199800199796	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	PF5_WITHIN_FOLIO_PROGRESSION	0.36370014120183963	0.36370014120183952	14.722181536821873	14.72218153682185	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-zl3b-eva	cs1/family-line-position	0	0	0	0	0	0	0.05	INCONCLUSIVE	INCONCLUSIVE	false
voynich-zl3b-eva	cs2/prev-family-current-family	0	0	0	0	0	0	0.05	INCONCLUSIVE	INCONCLUSIVE	false
voynich-zl3b-eva	cs3/family-locus-type	0	0	0	0	1	1	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	cs4/family-currier	0	0	0	0	0	0	0.05	NOT_APPLICABLE	NOT_APPLICABLE	false
voynich-zl3b-eva	cs4/family-section	0	0	0	0	0	0	0.05	NOT_APPLICABLE	NOT_APPLICABLE	false
voynich-zl3b-eva	cs5/local-adjacency-x-regime	0	0	0	0	0	0	0.05	NOT_APPLICABLE	NOT_APPLICABLE	false
voynich-zl3b-eva	cs6/family-diversity-x-line-length	0	0	0	0	1	1	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-zl3b-eva	cs7/edit-distance-x-structural-distance	0.015539304337922232	0.015539304337922236	-0.20599405795436793	-0.12824502693855008	0.52475247524752477	0.51485148514851486	0.05	NOT_SUPPORTED	NOT_SUPPORTED	false
voynich-it2a-eva	2DL1_LAYOUT_POSITION_MI	0.0048816415233357592	0.0048816415233357592	20.094194507499822	20.094194507499822	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-it2a-eva	BP1_BOUNDARY_TOKEN_NMI	0.085338771382770767	0.085338771382770767	92.867681798988642	92.867681798988642	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-it2a-eva	EF1_GIANT_COMPONENT_SHARE	0.87458173255669847	0.87458173255669847	0	0	0	0	0.05	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	false
voynich-it2a-eva	EF1_ISOLATE_SHARE	0.11674309084149213	0.11674309084149213	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-it2a-eva	EF2_GLOBAL_CLUSTERING	0.2791630328669053	0.2791630328669053	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-it2a-eva	EF3_DEGREE_FREQUENCY_SPEARMAN	0.63374981729260838	0.63374981729260838	0	0	0	0	0.05	REPRODUCED	REPRODUCED	false
voynich-it2a-eva	HR1_FOLIO_VARIANCE_SHARE	0.2789117697198118	0.27891176971981163	54.937099377555121	54.937099377555107	0.000999000999000999	0.000999000999000999	0.05	SUPPORTED	SUPPORTED	false
voynich-it2a-eva	HR1_LOCUS_VARIANCE_SHARE	0.99999999999998634	1.0000000000000091	-1.1523804482352182	1.1202368931092843	0.8351648351648352	0.000999000999000999	0.05	NOT_SUPPORTED	SUPPORTED	true
