metric_id	family	canonical_value	alternate_value	abs_difference	standardized_difference	canonical_status	alternate_status	direction_agreement	verdict_agreement	classification	old_classification	classification_changed
2DL1_LAYOUT_POSITION_MI	2D-LITE	0.0047065461186923665	0.0048816415233357592	0.00017509540464339269	0.90564870999029001	SUPPORTED	SUPPORTED	true	true	STABLE	STABLE	false
BP1_BOUNDARY_TOKEN_NMI	boundary	0.084219202530832205	0.085338771382770767	0.0011195688519385627	2.685126470045863	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
EF1_GIANT_COMPONENT_SHARE	edit family	0.86691738444740996	0.87458173255669847	0.0076643481092885102	N/A (no null SD in registry)	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
EF2_GLOBAL_CLUSTERING	edit family	0.28727033544141856	0.2791630328669053	0.0081073025745132532	N/A (no null SD in registry)	REPRODUCED	REPRODUCED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	0.63900735696103328	0.63374981729260838	0.0052575396684249043	N/A (no null SD in registry)	REPRODUCED	REPRODUCED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
HR1_FOLIO_VARIANCE_SHARE	hierarchy	0.27326906271941342	0.27891176971981163	0.0056427070003982061	1.3544793998017759	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
HR1_SECTION_VARIANCE_SHARE	hierarchy	0.12525899946487901	0.13202275285476381	0.0067637533898848023	9.4548493373882785	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
LC1_LOCUS_TYPE_NMI	locus	0.0075883532433762097	0.0088518733343727393	0.0012635200909965295	7.1679729226627416	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
LC2_LABEL_TEXT_NMI	locus	0.0048485589217109257	0.0049205233353711722	7.1964413660246564e-05	0.43849190009777456	SUPPORTED	SUPPORTED	true	true	STABLE	STABLE	false
LS2_POSITIONAL_LEXICON_NMI	line	0.11058892444477356	0.11251974208143185	0.0019308176366582969	4.6998314050885091	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.36064835659612759	0.46195775607540313	0.10130939947927553	5.3152885351141412	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
PF2_FOLIO_COHERENCE	folio	0.17303959526080231	0.17177862834168073	0.0012609669191215866	0.25445960103110032	SUPPORTED	SUPPORTED	true	true	STABLE	STABLE	false
PF5_WITHIN_FOLIO_PROGRESSION	folio	0.36370014120183952	0.38036847959188819	0.016668338390048665	1.6300756334701154	SUPPORTED	SUPPORTED	true	true	DIRECTION_STABLE	DIRECTION_STABLE	false
