requirement_id	requirement	authoritative_source	role_implementation	status	evidence	corrective_action	final_status
R01	exact frozen executable installed	WORKER_COMPATIBILITY_CONTRACT.md	controller prebuilt copied to /opt/voinich-g1v2/bin/g1v2-executor	MISSING	legacy role built conditional-regime-analyze	add frozen prebuilt profile	SATISFIED
R02	source and installed SHA-256 enforced	WORKER_COMPATIBILITY_CONTRACT.md	controller stat assertion plus remote stat assertion	MISSING	/bin/true rejected changed=0; remote hash 6b015b2e...f718	add two-sided fail-closed checks	SATISFIED
R03	no per-worker rebuild	TASK86C_V2_SCIENTIFIC_HANDOFF.md	g1v2 profile only copies supplied artifact	CONFLICTING	legacy default allowed builds	make g1v2 the default profile; retain explicit phase1	SATISFIED
R04	Linux/amd64 only	WORKER_COMPATIBILITY_CONTRACT.md	facts assert Linux and x86_64/amd64	MISSING	cognition Linux 6.18.41 x86_64	add platform assertion	SATISFIED
R05	exact compatibility tuple	TASK86C_V2_SCIENTIFIC_HANDOFF.md	role freezes protocol/schema/canonical variables and binary hash	MISSING	variable assertions passed; 193/193 handshake/jobs	add frozen tuple assertions	SATISFIED
R06	project CA certificate deployed	WORKER_COMPATIBILITY_CONTRACT.md	root:voynich-worker 0640 ca.crt	PARTIAL	remote stat confirmed	add g1v2 PKI path/modes	SATISFIED
R07	unique worker certificate and key	WORKER_COMPATIBILITY_CONTRACT.md	per-host sources; shared-key guard; URI SAN requirement	PARTIAL	URI:voinich-worker:cognition; coordinator cert rejected	add SAN and shared-key checks	SATISFIED
R08	CA private key remains offline	WORKER_COMPATIBILITY_CONTRACT.md	refuses ca.key basename and copies only three named inputs	SATISFIED	remote find returned no ca.key	retain and document	SATISFIED
R09	private material not logged	Task86C-v2-deploy-audit section 6	key copy no_log true and diff false	SATISFIED	Ansible output redacted key task	retain	SATISFIED
R10	certificate identity authoritative	WORKER_COMPATIBILITY_CONTRACT.md	URI SAN required; --host is telemetry only	PARTIAL	coordinator identity authenticated by internal/g1v2; real mTLS accepted	clarify telemetry label and validate SAN	SATISFIED
R11	coordinator endpoint operational config	TASK86C_V2_SCIENTIFIC_HANDOFF.md	HTTPS inventory/extra variable rendered only into service command	SATISFIED	endpoint changed to 10.10.24.107:38490 without manifest change	document supplied-inventory invocation	SATISFIED
R12	persistent service and boot enablement	Task86C-v2-deploy-audit section 10	systemd template or per-slot OpenRC supervise-daemon scripts	MISSING	four OpenRC services in default runlevel and started	add systemd/OpenRC backends	SATISFIED
R13	automatic restart and reconnect	PHASE1_EXECUTOR_INTEGRATION.md	Restart=always or respawn_max=0; frozen worker polling	MISSING	new coordinator completed 193/193 without worker restart	add persistent service policy	SATISFIED
R14	dedicated unprivileged account	Task86C-v2-deploy-audit section 11	voynich-worker system account with nologin	MISSING	uid 998; service command_user voynich-worker	add account and ownership	SATISFIED
R15	persistent writable SHA-256 cache	WORKER_COMPATIBILITY_CONTRACT.md	/var/lib/voinich-g1v2/cache owner 0750	CONFLICTING	legacy cache was under /tmp	add persistent G1-v2 state tree	SATISFIED
R16	cache survives service restart	TASK86C_V2_PREP_REPORT.md	service lifecycle never removes cache	MISSING	preseed hash unchanged after slot restart	preserve cache by default	SATISFIED
R17	immutable input preseed with hash verification	TASK86C_V2_SCIENTIFIC_HANDOFF.md	list of src/sha256 copied by hash name then stat-verified	MISSING	engineering object 4218aadd... installed 0440 and verified	add preseed loop and assertion	SATISFIED
R18	worker free-space gate	WORKER_COMPATIBILITY_CONTRACT.md	df -B1 cache check before unit/service tasks	MISSING	999999999999999 threshold rejected changed=0	add explicit byte threshold	SATISFIED
R19	authoritative evidence capacity >=120 GB	TASK86C_V2_CAPACITY_ESTIMATE.md	optional coordinator evidence dir has separate 120000000000-byte gate	MISSING	/usr/local/data/voinich-evidence free 178870026240	add distinct optional evidence validation	SATISFIED
R20	worker temp is non-authoritative and persistent	Task86C-v2-deploy-audit section 14	/var/lib/voinich-g1v2/tmp 0750; only stale .publish-* older than 1d removed	CONFLICTING	legacy used /tmp	add scoped temp and cleanup	SATISFIED
R21	verified evidence never deleted by worker role	EVIDENCE_PRESERVATION_CONTRACT.md	role never deletes evidence dir; absent preserves state by default	SATISFIED	source inspection g1v2_absent.yml	document separation	SATISFIED
R22	CPU/RAM discovery and no oversubscription	TASK86C_V2_CLUSTER_RECOMMENDATION.md	facts bound slots to vCPU and configured RAM-per-slot floor	MISSING	four-slot cognition preflight passed	add facts assertions	SATISFIED
R23	concurrency is per-host operational config	DISTRIBUTED_EXECUTION_DESIGN.md	one service slot per configured integer; excluded from manifest	PARTIAL	four services; unchanged engineering manifest/JobIDs	add service instances and docs	SATISFIED
R24	resource limits do not kill heavy jobs	TASK86C_V2_CLUSTER_RECOMMENDATION.md	systemd defaults MemoryMax=infinity and no CPU quota; OpenRC imposes neither	MISSING	templates inspected; limits remain optional	add safe explicit defaults/document audit	SATISFIED
R25	outbound-only mTLS network	PHASE1_EXECUTOR_INTEGRATION.md	worker dials HTTPS coordinator; no inbound worker listener/firewall task	SATISFIED	real 10.10.24.105 to 10.10.24.107:38490 execution	document egress requirement	SATISFIED
R26	controlled executable replacement	Task86C-v2-deploy-audit section 23	copy change notifies exactly one all-slot restart; hash must equal frozen variable	PARTIAL	first corrected template caused one controlled restart; second run no change	add handlers and freeze guard	SATISFIED
R27	no mutable runtime downloads	Task86C-v2-deploy-audit section 24	static Go binary, explicit PKI/service paths, no package/download/build task	CONFLICTING	legacy build modes depended on Go/source	isolate legacy profile	SATISFIED
R28	worker addition needs only inventory/PKI/ops vars	WORKER_COMPATIBILITY_CONTRACT.md	ordinary target group/limit and per-host sources	PARTIAL	cognition added via target group variable; handshake/job accepted	document exact sequence	SATISFIED
R29	worker removal requeues unchanged lease	PHASE1_EXECUTOR_INTEGRATION.md	service stop plus frozen coordinator lease expiry; absent optionally removes creds	PARTIAL	synchronized outage: 25/25, retry_sum=4, lease_history_max=2	document stop/revoke procedure	SATISFIED
R30	role is idempotent	Task86C-v2-deploy-audit section 22	declarative users/files/templates/services; static service content	PARTIAL	second deployment ok=33 changed=0	remove dynamic free-space value from templates	SATISFIED
R31	fresh-host operational path	Task86C-v2-deploy-audit section 27	deploy-workers.yml invokes g1v2 role with become and facts	MISSING	clean-equivalent cognition first deployment; four services; real mTLS jobs	add complete production profile	SATISFIED
R32	no scientific contract mutation	TASK86C_V2_SCIENTIFIC_HANDOFF.md	Ansible-only paths/config/service changes; frozen binary unchanged	SATISFIED	no Go files modified in this task; JobID graph accepted	retain firewall	SATISFIED
