page_id	physical_leaf	visual_code	visual_class	source	ambiguity	inclusion_status	currier	scribe	quire	token_count	line_count
f1r	f1r	T	Text	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	221	28
f1v	f1v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	92	10
f2r	f2r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	109	15
f2v	f2v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	61	8
f3r	f3r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	114	20
f3v	f3v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	85	14
f4r	f4r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	65	13
f4v	f4v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	84	14
f5r	f5r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	56	7
f5v	f5v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	50	6
f6r	f6r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	86	14
f6v	f6v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	117	21
f7r	f7r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	66	10
f7v	f7v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	78	9
f8r	f8r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	155	21
f8v	f8v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	A	122	17
f9r	f9r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	87	10
f9v	f9v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	86	12
f10r	f10r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	94	12
f10v	f10v	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	57	7
f11r	f11r	H	Herbal	Task79 strict IVTFF $I alignment	none_recorded	INCLUDED	A	1	B	62	7
