artifact	experiment	metric_or_result	granularity	has_page_id	has_section_id	has_visual_class	has_currier	has_scribe	usable_without_recompute	relevance	notes
experiments/voynich-v1/outputs/dataset/structural_analysis.yaml	baseline-stage3	structural token classes	corpus/token_type	false	false	false	false	false	true	INDIRECTLY_RELEVANT	No page-keyed occurrences
experiments/voynich-v1/outputs/sequence_analysis.yaml	baseline-stage4	token bigram/trigram candidates	corpus/candidate	false	false	false	false	false	true	INDIRECTLY_RELEVANT	Cannot validly aggregate by page
experiments/voynich-v1/outputs/begin_end_top.tsv	baseline-stage5	begin/end tendencies	candidate	false	false	false	false	false	true	INDIRECTLY_RELEVANT	Corpus-level candidate ranking
experiments/voynich-v1/outputs/normalization_comparison.yaml	baseline-stage7	structural normalization sensitivity	corpus	false	false	false	false	false	true	CONTROL_VARIABLE	Reliability context
experiments/voynich-v1/outputs/structural_profile_stability.yaml	baseline-stage9	profile stability	fold/corpus	false	false	false	false	false	true	CONTROL_VARIABLE	No page rows
experiments/voynich-v1/outputs/structural_reliability.yaml	baseline-stage10	structural reliability	fold/corpus	false	false	false	false	false	true	CONTROL_VARIABLE	No page rows
experiments/voynich-v1/outputs/distance_context_top.tsv	baseline-stage14	distance-context candidates	candidate	false	false	false	false	false	true	INDIRECTLY_RELEVANT	No page-keyed raw profile
experiments/voynich-v1/outputs/global_distributional_windows.tsv	baseline-stage18	blind window distribution profiles	token_window	false	false	false	false	false	true	INDIRECTLY_RELEVANT	May be joined only via original token coordinates
experiments/voynich-v1/outputs/metadata_validation_report.md	baseline-stage19	blind boundary overlap with folio/Currier/hand/quire	boundary/window	true	false	false	true	true	true	CONTROL_VARIABLE	Section was not a tested metadata kind
experiments/voynich-v1/outputs/cluster_metadata_association.tsv	baseline-stage20	cluster association with Currier/hand	window	false	false	false	true	true	true	CONTROL_VARIABLE	Strong Currier association
experiments/voynich-v1/outputs/conditional-regimes/conditional_regime_report.md	baseline-stage21	residual regimes after Currier/hand	window/block	false	false	false	true	true	true	CONTROL_VARIABLE	Weak/inconclusive residual structure
experiments/voynich-v1/outputs/residual-diagnostics/residual_diagnostic_report.md	baseline-stage22	centered/whitened metadata residuals	window/block	false	false	false	true	true	true	CONTROL_VARIABLE	No visual descriptor
experiments/voynich-v1/outputs/positional-continuation/line_vs_block_position.tsv	baseline-stage26	line/block positional continuation	occurrence/block	false	false	false	false	false	true	INDIRECTLY_RELEVANT	Position control
experiments/voynich-v1/outputs/transition-network/transition_block_effects.tsv	baseline-stage27	transition network block effects	block	false	false	false	true	true	true	INDIRECTLY_RELEVANT	Not page fingerprint
experiments/local-regime-topology-v1/METADATA_EFFECTS.tsv	task65	between versus within page-profile distance	page/section	true	true	true	true	true	true	DIRECTLY_TESTS_VISUAL_CONTEXT	Seven of eight sections follow prediction
experiments/local-regime-topology-v1/HIERARCHICAL_VARIANCE.tsv	task65	one-factor variance shares	page/metadata	true	true	true	true	true	true	CONTROL_VARIABLE	Not a simultaneous causal model
experiments/local-regime-topology-v1/LOCAL_EFFECT_BY_REGION.tsv	task65	local effect by section/Currier/hand	window/region	false	true	true	true	true	true	DIRECTLY_TESTS_VISUAL_CONTEXT	Section-stratified local effect
experiments/local-regime-topology-v1/METADATA_CONDITIONED_DECAY.tsv	task65	decay conditional on section/Currier/hand/page	window/page	true	true	true	true	true	true	CONTROL_VARIABLE	Local signal survives same-page conditioning
experiments/fingerprint-v2-task79-v1/canonical-out/line_profiles.json	task79	line fingerprint summaries	line	true	true	true	true	true	true	DIRECTLY_TESTS_VISUAL_CONTEXT	Primary reusable source for page aggregation
experiments/fingerprint-v2-task79-v1/canonical-out/occurrence_metadata.jsonl	task79	strict aligned metadata	token_occurrence	true	true	true	true	true	true	CONTROL_VARIABLE	Frozen taxonomy and confounder join
experiments/fingerprint-v2-task79-v1/canonical-out/metric_registry.json	task79	HR1_SECTION_VARIANCE_SHARE	line/section	true	true	true	true	true	true	DIRECTLY_TESTS_VISUAL_CONTEXT	0.125259; p=.000999; q=.001306
experiments/fingerprint-v2-task79-v1/canonical-out/metric_registry.json	task79	LC5_IVTFF_I_NMI	token/section	true	true	true	true	true	true	DIRECTLY_TESTS_VISUAL_CONTEXT	0.008452; p=.000999; q=.001306
experiments/fingerprint-v2-task79-v1/canonical-out/metric_registry.json	task79	HR6_CURRIER_SECTION_NMI	token/metadata	true	true	true	false	true	true	CONTROL_VARIABLE	0.648621; operational field is IVTFF $C not Currier A/B $L; metadata alias warning only
experiments/fingerprint-v2-task79-v1/canonical-out/metric_registry.json	task79	PF2_FOLIO_COHERENCE	folio	true	true	true	true	true	true	INDIRECTLY_RELEVANT	0.173040; p=.000999; q=.001306
research/structure_catalog/SECTION_RULES.tsv	structure-catalog	family/token section enrichment	token/family/section	false	true	true	false	false	true	INDIRECTLY_RELEVANT	Token occurrences are not independent pages
research/comparative_notation/VM_REFERENCE_V2.tsv	comparative-notation	generic VM fingerprint	corpus	false	false	false	false	false	true	NOT_RELEVANT	Definitions only; no section contrast
research/phase2/task83b/artifacts/zl/fingerprint.json	task83b	cs4/family-section and cs5/regime	corpus	false	false	false	false	false	true	NOT_RELEVANT	NOT_APPLICABLE because IVTFF was unbound in that run
data/ZL3b-n.txt	IVTFF-source	$I visual taxonomy and $Q/$H/$L metadata	page/locus	true	true	true	true	true	true	CONTROL_VARIABLE	Independent source taxonomy; baseline hash in manifests
