model_class	candidate_id	parameters_json	deterministic	generative	applicable_metrics	applicable_ablations
M5	M5-001	"{""inventory_cap"":64,""min_support"":2,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-002	"{""inventory_cap"":128,""min_support"":2,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-003	"{""inventory_cap"":64,""min_support"":5,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-004	"{""inventory_cap"":128,""min_support"":5,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-005	"{""inventory_cap"":64,""min_support"":10,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-006	"{""inventory_cap"":128,""min_support"":10,""slot_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-007	"{""inventory_cap"":64,""min_support"":2,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-008	"{""inventory_cap"":128,""min_support"":2,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-009	"{""inventory_cap"":64,""min_support"":5,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-010	"{""inventory_cap"":128,""min_support"":5,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-011	"{""inventory_cap"":64,""min_support"":10,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-012	"{""inventory_cap"":128,""min_support"":10,""slot_count"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-013	"{""inventory_cap"":64,""min_support"":2,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-014	"{""inventory_cap"":128,""min_support"":2,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-015	"{""inventory_cap"":64,""min_support"":5,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-016	"{""inventory_cap"":128,""min_support"":5,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-017	"{""inventory_cap"":64,""min_support"":10,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M5	M5-018	"{""inventory_cap"":128,""min_support"":10,""slot_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
