expression	occurrence_count_excluding_this_registry	audit_disposition	reason
TBD	0	PASS	absent
TODO	0	PASS	absent
choose	5	PASS	four occurrences describe an exact stochastic or tie operation and one prohibits Task86R interpretation
appropriate	0	PASS	absent
reasonable	0	PASS	absent
suitable	0	PASS	absent
as needed	0	PASS	absent
if useful	0	PASS	absent
stable enough	0	PASS	absent
standard method	0	PASS	absent
similar unresolved language	0	PASS	all conditional branches have numeric predicates and actions
