model_class	candidate_id	parameters_json	deterministic	generative	applicable_metrics	applicable_ablations
M4	M4-001	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-002	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-003	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-004	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-005	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-006	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-007	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-008	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-009	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-010	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-011	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-012	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-013	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-014	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-015	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-016	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-017	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-018	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.05}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-019	"{""alpha"":0.01,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-020	"{""alpha"":0.1,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-021	"{""alpha"":0.5,""max_states"":64,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-022	"{""alpha"":0.01,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-023	"{""alpha"":0.1,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-024	"{""alpha"":0.5,""max_states"":128,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-025	"{""alpha"":0.01,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-026	"{""alpha"":0.1,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
M4	M4-027	"{""alpha"":0.5,""max_states"":256,""merge_js_threshold"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A6
