gap_id	source	affected_artifact	affected_model_or_metric	missing_definition	scientific_effect	proposed_resolution	resolution_basis	target_blind	status
B01	Task86 blocker 1	G1_EXECUTABLE_CONTRACT.json	M0,M1	finite smoothing estimator and grid	candidate selection	additive closed forms and grids	conventional estimator	TRUE	RESOLVED
B02	Task86 blocker 2	G1_EXECUTABLE_CONTRACT.json;M2_HYPERPARAMETER_GRID.tsv	M2	unique variable-order algorithm and finite grid	model identity and selection	PPM-C with depth/support grid	methodological precedent	TRUE	RESOLVED
B03	Task86 blocker 3	G1_EXECUTABLE_CONTRACT.json;M4_HYPERPARAMETER_GRID.tsv	M3,M4	state merge, caps, probabilities, generation	fit and structural validation	greedy JS merge, shared topology, uniform M3 and fitted M4 draws	simplest sufficient implementation	TRUE	RESOLVED
B04	Task86 blocker 4	G1_EXECUTABLE_CONTRACT.json;M5_HYPERPARAMETER_GRID.tsv	M5	component boundaries, rules, finite grid	model identity and complexity	deterministic substring inventory and slot induction	simplest sufficient implementation	TRUE	RESOLVED
B05	Task86 blocker 5	G1_CALIBRATION_CONTRACT.md	MFC0-MFC2	exact generators, populations, null functional	all thresholds	fixed artificial generators and robust q0.95	statistical convention	TRUE	RESOLVED
B06	Task86 blocker 6	G1_STABILITY_CONTRACT.md	generation	checkpoint, tolerance, scale grid	stability and compute	4,8,16,32; three scales; fixed mixed tolerance	computational feasibility	TRUE	RESOLVED
B07	Task86 blocker 7	G1_TRANSCRIPTION_STABILITY_CONTRACT.md	all primary metrics	numeric transcription tolerance	robustness verdict	20 percent relative-effect rule	target-blind operational completion	TRUE	RESOLVED
B08	Task86 blocker 8	G1_FAILURE_THRESHOLDS.tsv	failure registry	numeric instability, growth, memorization	failure disposition	frozen float, robust slope, MFC-gap and code-ratio rules	convention and inherited complexity	TRUE	RESOLVED
B09	Task86 blocker 9	NEGATIVE_TOKEN_PROTOCOL.md;PM6_DISCRIMINATION_SPEC.md	PM6	deterministic sampler and glyph class	negative discrimination	quartile classes, matched mutation, exact AUC	simplest nontrivial matched control	TRUE	RESOLVED
B10	Task86 blocker 10	PM5_CALIBRATION_SPEC.md	PM5	bins and error functional	predictive adequacy	fixed ten-bin top-label ECE	standard calibration functional	TRUE	RESOLVED
