model_class	candidate_id	parameters_json	deterministic	generative	applicable_metrics	applicable_ablations
M0	M0-001	"{""alpha"":0.1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A5
M0	M0-002	"{""alpha"":0.5}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A5
M0	M0-003	"{""alpha"":1.0}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	A5
M1	M1-001	"{""alpha"":0.01,""order"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-002	"{""alpha"":0.1,""order"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-003	"{""alpha"":0.5,""order"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-004	"{""alpha"":0.01,""order"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-005	"{""alpha"":0.1,""order"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-006	"{""alpha"":0.5,""order"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-007	"{""alpha"":0.01,""order"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-008	"{""alpha"":0.1,""order"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-009	"{""alpha"":0.5,""order"":3}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-010	"{""alpha"":0.01,""order"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-011	"{""alpha"":0.1,""order"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-012	"{""alpha"":0.5,""order"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-013	"{""alpha"":0.01,""order"":5}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-014	"{""alpha"":0.1,""order"":5}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-015	"{""alpha"":0.5,""order"":5}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-016	"{""alpha"":0.01,""order"":6}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-017	"{""alpha"":0.1,""order"":6}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M1	M1-018	"{""alpha"":0.5,""order"":6}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-001	"{""max_depth"":2,""min_context_count"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-002	"{""max_depth"":2,""min_context_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-003	"{""max_depth"":2,""min_context_count"":4}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-004	"{""max_depth"":4,""min_context_count"":1}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
M2	M2-005	"{""max_depth"":4,""min_context_count"":2}"	TRUE	TRUE	PM0,PM1,PM2,PM4,PM5,PM6;PM3_WHERE_UNIT_MATCHED;G1_F2	NONE
