rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x018496	x037859	0.385581	0.931034	page	0.059259	0.296296	0.151754	4.274252	0.00990099	22.500000	0.000000	0.981617	5	6
2	x041258	x037856	0.357152	0.777778	page	0.114286	0.528571	0.492857	3.096807	0.00990099	19.783784	0.000000	1.040158	3	2
3	x000106	x025392	0.355092	0.905213	page	0.047120	0.298429	0.182429	3.940471	0.00990099	21.456140	0.000000	0.771833	3	3
4	x018496	x025393	0.339912	0.906542	page	0.025926	0.166667	0.037801	4.041154	0.00990099	21.866667	0.000000	0.891623	2	1
5	x041257	x037856	0.332159	0.761905	page	0.062500	0.468750	0.435020	3.343636	0.019802	23.133333	0.000000	1.076352	0	0
6	x037862	x037857	0.330906	0.862069	page	0.048000	0.504000	0.383917	2.504440	0.019802	23.111111	0.000000	1.056122	5	4
7	x016896	x037858	0.326136	0.793814	page	0.051948	0.389610	0.324215	2.943835	0.00990099	22.466667	0.000000	0.905069	3	1
8	x042104	x001428	0.323999	0.824561	page	0.031915	0.202128	0.110525	2.397194	0.019802	22.210526	0.000000	0.499973	1	0
9	x037858	x037859	0.323334	0.944290	page	0.035422	0.313351	0.056714	3.349765	0.00990099	24.982609	0.000000	0.960397	6	9
10	x041113	x038536	0.320786	0.837398	page	0.048544	0.330097	0.246764	2.981644	0.019802	21.294118	0.000000	0.665855	3	1
11	x041117	x025397	0.317921	0.718310	page	0.019608	0.196078	0.160364	3.293757	0.00990099	24.300000	0.000000	0.409447	1	0
12	x016898	x037861	0.315206	0.743590	page	0.034483	0.310345	0.285714	2.403793	0.019802	28.388889	0.000000	0.653185	1	0
13	x018873	x037859	0.314444	0.873418	page	0.086957	0.289855	0.207259	2.504752	0.00990099	19.575000	0.200000	0.885951	4	1
14	x016896	x025395	0.312145	0.793814	page	0.025974	0.181818	0.152232	2.630044	0.019802	22.285714	0.000000	0.617815	1	0
15	x005072	x018499	0.311370	0.729730	page	0.037037	0.259259	0.222896	2.571956	0.029703	26.071429	0.071429	0.515053	1	0
16	x000108	x017889	0.309682	0.837398	page	0.016000	0.144000	0.105165	3.093109	0.00990099	25.000000	0.000000	0.588125	2	0
17	x000109	x020016	0.309565	0.840000	page	0.009524	0.190476	0.120412	2.255424	0.019802	23.000000	0.000000	0.564703	2	0
18	x037856	x001424	0.305501	0.931034	page	0.055556	0.244048	-0.041138	3.624972	0.00990099	22.691057	0.000000	1.030683	6	12
19	x025397	x037862	0.305166	0.807692	page	0.047619	0.190476	0.134476	2.517302	0.019802	18.937500	0.187500	0.502034	2	0
20	x025394	x001424	0.303973	0.904306	page	0.058201	0.269841	0.143915	3.025016	0.00990099	21.647059	0.000000	0.817430	2	2
21	x001426	x037857	0.301448	0.919028	page	0.083700	0.414097	0.236043	2.432427	0.029703	22.712766	0.021277	1.029462	6	11
