section	k	pair_count
Astronomical	5	0
Astronomical	6	0
Astronomical	7	0
Astronomical	8	0
Astronomical	9	0
Astronomical	10	0
Astronomical	11	0
Astronomical	12	0
Astronomical	13	0
Astronomical	14	0
Astronomical	15	0
Biological	5	0
Biological	6	0
Biological	7	0
Biological	8	0
Biological	9	0
Biological	10	0
Biological	11	0
Biological	12	0
Biological	13	0
Biological	14	0
Biological	15	171
Cosmological	5	0
Cosmological	6	0
Cosmological	7	0
Cosmological	8	0
Cosmological	9	0
Cosmological	10	0
Cosmological	11	0
Cosmological	12	0
Cosmological	13	15
Cosmological	14	0
Cosmological	15	0
Herbal	5	0
Herbal	6	0
Herbal	7	0
Herbal	8	0
Herbal	9	0
Herbal	10	0
Herbal	11	0
Herbal	12	0
Herbal	13	7503
Herbal	14	0
Herbal	15	0
Pharmaceutical	5	0
Pharmaceutical	6	0
Pharmaceutical	7	0
Pharmaceutical	8	0
Pharmaceutical	9	0
Pharmaceutical	10	0
Pharmaceutical	11	0
Pharmaceutical	12	0
Pharmaceutical	13	55
Pharmaceutical	14	0
Pharmaceutical	15	0
Stars	5	0
Stars	6	0
Stars	7	0
Stars	8	0
Stars	9	0
Stars	10	0
Stars	11	0
Stars	12	0
Stars	13	300
Stars	14	0
Stars	15	0
Text	5	0
Text	6	0
Text	7	0
Text	8	0
Text	9	0
Text	10	0
Text	11	0
Text	12	0
Text	13	10
Text	14	0
Text	15	0
Zodiac	5	0
Zodiac	6	0
Zodiac	7	0
Zodiac	8	0
Zodiac	9	0
Zodiac	10	0
Zodiac	11	0
Zodiac	12	0
Zodiac	13	0
Zodiac	14	0
Zodiac	15	10
