section	block_size	exchangeable_blocks	legal_permutations	evaluated	mode
Astronomical	3	1	1	10000	EXACT
Astronomical	5	1	1	10000	EXACT
Biological	2	9	MONTE_CARLO	10000	MONTE_CARLO
Biological	1	1	1	10000	EXACT
Cosmological	1	5	120	10000	EXACT
Cosmological	2	3	6	10000	EXACT
Herbal	2	59	MONTE_CARLO	10000	MONTE_CARLO
Herbal	1	3	6	10000	EXACT
Herbal	4	2	2	10000	EXACT
Pharmaceutical	2	4	24	10000	EXACT
Pharmaceutical	4	2	2	10000	EXACT
Stars	2	12	MONTE_CARLO	10000	MONTE_CARLO
Stars	1	1	1	10000	EXACT
Text	1	5	120	10000	EXACT
Text	2	1	1	10000	EXACT
Zodiac	2	3	6	10000	EXACT
Zodiac	6	1	1	10000	EXACT
