target_a	target_b	control_rank	control_a	control_b	frequency_match_score	regime_js	distance_js_1_5	regime_concentration_a	regime_concentration_b
x009968	x020557	1	x008944	x015852	0	0.8268331913677994	0.15357433046399846	0.002794864829054104	0.0027313843436783305
x009968	x020557	2	x008944	x015853	0	0.7788534723245482	0.12226738649772606	0.002794864829054104	0.0028722781658738353
x009968	x020557	3	x015852	x020628	0	0.8053517356495468	0.09711312150883829	0.0027313843436783305	0.002905558311116674
x009969	x020557	1	x008944	x015852	0	0.8268331913677994	0.15357433046399846	0.002794864829054104	0.0027313843436783305
x009969	x020557	2	x015852	x020628	0	0.8053517356495468	0.09711312150883829	0.0027313843436783305	0.002905558311116674
x009969	x020557	3	x008944	x015853	0	0.7788534723245482	0.12226738649772606	0.002794864829054104	0.0028722781658738353
x009969	x020558	1	x015852	x020628	0	0.8053517356495468	0.09711312150883829	0.0027313843436783305	0.002905558311116674
x009969	x020558	2	x015852	x020629	0	0.7956864516181128	0.11368066009666652	0.0027313843436783305	0.002895025992438548
x009969	x020558	3	x008706	x015852	0	0.8115491637096899	0.14740195203344053	0.002898695284631411	0.0027313843436783305
x009436	x012697	1	x000053	x015852	0	0.855854727584245	0.1316628646832302	0.0027516556699601876	0.0027313843436783305
x009436	x012697	2	x009249	x015853	0	0.8348718556599011	0.1395441476156735	0.002729192132927469	0.0028722781658738353
x009436	x012697	3	x008944	x015852	0	0.8268331913677994	0.15357433046399846	0.002794864829054104	0.0027313843436783305
x009970	x020556	1	x008944	x015852	0	0.8268331913677994	0.15357433046399846	0.002794864829054104	0.0027313843436783305
x009970	x020556	2	x015852	x018931	0	0.8465922640733582	0.16428335040347233	0.0027313843436783305	0.0028317289046151826
x009970	x020556	3	x008944	x015853	0	0.7788534723245482	0.12226738649772606	0.002794864829054104	0.0028722781658738353
x009970	x020558	1	x015852	x020628	0	0.8053517356495468	0.09711312150883829	0.0027313843436783305	0.002905558311116674
x009970	x020558	2	x015852	x020629	0	0.7956864516181128	0.11368066009666652	0.0027313843436783305	0.002895025992438548
x009970	x020558	3	x008706	x015852	0	0.8115491637096899	0.14740195203344053	0.002898695284631411	0.0027313843436783305
x009971	x020556	1	x018931	x020105	0	0.7717631994563597	0.11165857694182561	0.0028317289046151826	0.0028892307406304884
x009971	x020556	2	x000714	x012123	0	0.7681988098643372	0.09398549010467024	0.002897837113361107	0.00306151380670612
x009971	x020556	3	x012698	x020720	0	0.7634146457412501	0.12556316027782757	0.0028278413110851153	0.002898681640624958
