contract_section	normative_artifact	normative_path_or_key	scientific_operation	implementation_package	implementation_symbol	test	evidence_type	status	notes
§13/M0	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M0-iid-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM0	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M0	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M0-iid-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM0	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M0	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M0-iid-0p5	fit/model serialization/generation/complexity	internal/g1v2science	fitM0	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M0	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M0-iid-1	fit/model serialization/generation/complexity	internal/g1v2science	fitM0	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-1-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-1-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-1-0p5	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-1-1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-2-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-2-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-2-0p5	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-2-1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-3-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-3-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-3-0p5	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M1	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M1-markov-3-1	fit/model serialization/generation/complexity	internal/g1v2science	fitM1	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-2-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-2-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-2-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-4-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-4-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-4-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-6-0	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-6-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M2	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M2-pst-6-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM2	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-exact-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-exact-3	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-approx-4-0p01	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-approx-4-0p05	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-approx-8-0p01	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M3	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M3-approx-8-0p05	fit/model serialization/generation/complexity	internal/g1v2science	fitM3	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-2-0p01	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-2-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-3-0p01	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-3-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-4-0p01	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M4	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M4-hmm-4-0p1	fit/model serialization/generation/complexity	internal/g1v2science	fitM4	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p01-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p01-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p05-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p05-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p1-2	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§13/M5	G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	M5-grammar-0p1-5	fit/model serialization/generation/complexity	internal/g1v2science	fitM5	TestAll43Candidates; open goldens	fit,fitted_model,complexity,generation	PASS	V1.2.1 repaired closure
§20-24	V1.2.1/I2/E3 + frozen registries	corpus/numerics/RNG	corpus/numerics/RNG	internal/g1v2science;internal/g1v2	NewCorpus;Split;Vocabulary;Neumaier;QuantileType7;RNG	go test ./internal/g1v2science ./internal/g1v2	fit,predictive_metric	PASS	no implementer scientific choice
§25-29	V1.2.1/I2/E3 + frozen registries	generation	generation	internal/g1v2science;internal/g1v2	DirectCDF;ExponentialRace;WalkerAlias;GenerateFitted;SerializeCorpus	go test ./internal/g1v2science ./internal/g1v2	generation	PASS	no implementer scientific choice
