kind	identity	count	status
status	PASS	1	PASS
status	FAIL	1	PASS
status	NOT_ASSESSABLE	1	PASS
status	FIT_SUCCESS	1	PASS
status	GENERATION_SUCCESS	1	PASS
status	COMPLEXITY_SUCCESS	1	PASS
status	AGGREGATION_SUCCESS	1	PASS
status	FIT_FAILURE	1	PASS
status	NUMERICAL_FAILURE	1	PASS
status	INDUCTION_CAP	1	PASS
status	GENERATION_FAILURE	1	PASS
status	PROTOCOL_VETO	1	PASS
status	NOT_REACHED	1	PASS
stage	FIT	1	PASS
stage	PREDICTIVE	1	PASS
stage	GENERATION	1	PASS
stage	F2_METRIC	1	PASS
stage	COMPLEXITY	1	PASS
stage	CANDIDATE_AGGREGATION	1	PASS
stage	CONTROL_AGGREGATION	1	PASS
direct_transitions	V2	45	PASS
