candidate_id	model_class	route	fit_status	model_sha256	validation
M0-iid-0	M0	iid	FIT_SUCCESS	166deef05c3db3b8e96cbf863653fe252c878efe7581ec12c02ff31e2ef6c3af	PASS
M0-iid-0p1	M0	iid	FIT_SUCCESS	8da58e2b26b19ce39c786570882e4ab17382e53f0a94f056170394394b7a17f8	PASS
M0-iid-0p5	M0	iid	FIT_SUCCESS	e9d7de82456a33c6f65b4b7a0e43841346b2ed68f3c5db25b1843afe1b715b12	PASS
M0-iid-1	M0	iid	FIT_SUCCESS	5794fd4b22ca972e89423377fc0ab965cdee40be9819f0105f47728cb821567e	PASS
M1-markov-1-0	M1	markov	FIT_SUCCESS	f4fdd80df3f4b1b0e2177103643e53ed7946818b046a4d5fada2bf6ec71ec385	PASS
M1-markov-1-0p1	M1	markov	FIT_SUCCESS	39cdf37bc6e43ae47946281f65c58adb7941fde8b0468caf814b7f4eecd607d9	PASS
M1-markov-1-0p5	M1	markov	FIT_SUCCESS	f2db49c9ca3df20ecfc7c2e87a03f0fdbb5d7e6f96656549ee7cff800213d119	PASS
M1-markov-1-1	M1	markov	FIT_SUCCESS	e05461291124d95f927c33962d928dd6288309055e0711026b55e7a81f5c4644	PASS
M1-markov-2-0	M1	markov	FIT_SUCCESS	764109fc78c74da5a902b4deab590d915d6ff87885caf676dc96ee7bba4582cb	PASS
M1-markov-2-0p1	M1	markov	FIT_SUCCESS	f39a4c27deb4f2418c0a6fbf51fb26eee89e2373dfa983eed5d7316af6f08f19	PASS
M1-markov-2-0p5	M1	markov	FIT_SUCCESS	c388c83874b237f2f9c03a0b48b6f3e8a2b464707811d83da2d906ce6ec86265	PASS
M1-markov-2-1	M1	markov	FIT_SUCCESS	1444220fbcbcaf1d57063f86551335146e14fc2c4de49bd3740604e281cc637b	PASS
M1-markov-3-0	M1	markov	FIT_SUCCESS	18284675f50acb6b74ad8eb8a92befeaf9949f53f772338a3f6f986b70bced28	PASS
M1-markov-3-0p1	M1	markov	FIT_SUCCESS	d0bbb4380e5ad2ffe03e9aa9c7a41f5e8e90e4f917d3cf88e9e4461d4719ae24	PASS
M1-markov-3-0p5	M1	markov	FIT_SUCCESS	284185b444be7715e6a5eed0c3d71646b5d6e18bce1780e7b90d90c0f258807b	PASS
M1-markov-3-1	M1	markov	FIT_SUCCESS	d0462b2c1f0164dc5255a19c7f458259cf42383b5270663117bc6d0541c037fb	PASS
M2-pst-2-0	M2	pst	FIT_SUCCESS	dc0c03ca657b9c45ffcf8d68b0bee7a1085a347f7c7bc0643d08226938383941	PASS
M2-pst-2-2	M2	pst	FIT_SUCCESS	d3030012e27f92ed0cff51a98f11499e9daaaed99dee8ce290c2b4949a3254e4	PASS
M2-pst-2-5	M2	pst	FIT_SUCCESS	bacf5a5996018556296776eecfabf46f6126b0a3cc313e11f8d7cd3945875cf9	PASS
M2-pst-4-0	M2	pst	FIT_SUCCESS	02941a9092577b39cfbc7e3cd3312f391fcdd06ae8a6010bbff458fb27c1a1bd	PASS
M2-pst-4-2	M2	pst	FIT_SUCCESS	f56733d31bb4b5ef6a1332cf64b339bceefebce15a4c13778a9e31e20f83ab98	PASS
M2-pst-4-5	M2	pst	FIT_SUCCESS	64c90dba8949f79dd0e0932decb05d4088c39a12cc5e6dcdf623b7bd0fb19551	PASS
M2-pst-6-0	M2	pst	FIT_SUCCESS	335cd288446f7b34924dd95aba2727bdcaf688fc1ac9a40e2f733a8bf09c46a5	PASS
M2-pst-6-2	M2	pst	FIT_SUCCESS	cd3bb7a62b59b5c31114c22d76bd22f315fb54efcc0cdad2725f0eebe55cd5ac	PASS
M2-pst-6-5	M2	pst	FIT_SUCCESS	333338e8e6e816769d11ad95c3abc8c9582263d67de4bef43d529e6d313f5408	PASS
