transcription	class_a	class_b	median_a	median_b	p025_a	p975_a	p025_b	p975_b	intervals_overlap	evidence_advantage	basis
ZL3b	FONTANA	SHORTHAND	1.247039	0.921503	0.550498	1.261052	0.762027	1.053722	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	FONTANA	SHORTHAND	1.239497	0.930485	0.550521	1.261075	0.771008	1.062703	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	FONTANA	EXTRACTION	1.247039	1.237889	0.550498	1.261052	0.614905	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	FONTANA	EXTRACTION	1.239497	1.246870	0.550521	1.261075	0.623886	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	FONTANA	NATURAL	1.247039	0.674952	0.550498	1.261052	0.663794	1.070450	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	FONTANA	NATURAL	1.239497	0.683933	0.550521	1.261075	0.672775	1.079431	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	FONTANA	SIMPLE_NULL	1.247039	1.110219	0.550498	1.261052	0.550498	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	FONTANA	SIMPLE_NULL	1.239497	1.102676	0.550521	1.261075	0.550521	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	SHORTHAND	EXTRACTION	0.921503	1.237889	0.762027	1.053722	0.614905	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	SHORTHAND	EXTRACTION	0.930485	1.246870	0.771008	1.062703	0.623886	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	SHORTHAND	NATURAL	0.921503	0.674952	0.762027	1.053722	0.663794	1.070450	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	SHORTHAND	NATURAL	0.930485	0.683933	0.771008	1.062703	0.672775	1.079431	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	SHORTHAND	SIMPLE_NULL	0.921503	1.110219	0.762027	1.053722	0.550498	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	SHORTHAND	SIMPLE_NULL	0.930485	1.102676	0.771008	1.062703	0.550521	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	EXTRACTION	NATURAL	1.237889	0.674952	0.614905	1.261052	0.663794	1.070450	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	EXTRACTION	NATURAL	1.246870	0.683933	0.623886	1.261075	0.672775	1.079431	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	EXTRACTION	SIMPLE_NULL	1.237889	1.110219	0.614905	1.261052	0.550498	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	EXTRACTION	SIMPLE_NULL	1.246870	1.102676	0.623886	1.261075	0.550521	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
ZL3b	NATURAL	SIMPLE_NULL	0.674952	1.110219	0.663794	1.070450	0.550498	1.261052	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
IT2a	NATURAL	SIMPLE_NULL	0.683933	1.102676	0.672775	1.079431	0.550521	1.261075	true	NO_CLEAR_ADVANTAGE	Neither class passes the frozen multi-family support gate.
