transcription	frozen_family	n_strata	median_adjusted_distance	p025	p975	aggregation	support_gate	family_support
IT2a	F01_LITERAL_ROTATIONAL_STORAGE	36	1.244171	1.239497	1.248179	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
IT2a	F08_ORDERED_POSITIONAL_STORAGE	18	1.244207	1.239642	1.246490	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
IT2a	F11_INDEXED_OPAQUE_CUE	36	1.102676	0.859021	1.102676	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
IT2a	F12_TEMPORAL_ASSOCIATIVE_CUE	18	0.599715	0.570410	0.647320	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
IT2a	M_RESTRICTED_ROTATION_INDEX	36	1.261075	0.550521	1.261075	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
IT2a	M_RESTRICTED_STORAGE_ASSOCIATION	36	1.261075	0.550521	1.261075	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	F01_LITERAL_ROTATIONAL_STORAGE	36	1.251714	1.247039	1.255721	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	F08_ORDERED_POSITIONAL_STORAGE	18	1.251750	1.247184	1.254033	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	F11_INDEXED_OPAQUE_CUE	36	1.110219	0.850039	1.110219	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	F12_TEMPORAL_ASSOCIATIVE_CUE	18	0.599691	0.570386	0.647296	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	M_RESTRICTED_ROTATION_INDEX	36	1.261052	0.550498	1.261052	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
ZL3b	M_RESTRICTED_STORAGE_ASSOCIATION	36	1.261052	0.550498	1.261052	FAMILY_BALANCED_WITHIN_FROZEN_FAMILY	FAILED_3_OF_13_CORE_ONE_FAMILY	NO_MULTI_FAMILY_SUPPORT
