transcription	object_id	corpus	null_kind	cosine_similarity	direction_agreement	magnitude_ratio	metric_n	upstream_min_p_value	minimum_null_replicates	resolution	any_metric_p_le_0_05
IT2a	combined	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.986673	1.000000	0.505214	3	0.250000	3	LOW_RESOLUTION	false
IT2a	combined	BDD	NULL_POSITION_MATCHED	0.987992	1.000000	0.534349	3	0.250000	3	LOW_RESOLUTION	false
IT2a	combined	BDD	NULL_RANDOM_DELETION_MATCHED	0.989664	1.000000	0.536036	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-06.xml	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.947793	1.000000	0.479832	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-06.xml	BDD	NULL_POSITION_MATCHED	0.945889	1.000000	0.484450	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-06.xml	BDD	NULL_RANDOM_DELETION_MATCHED	0.969748	1.000000	0.481371	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-07.xml	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.976361	1.000000	0.478578	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-07.xml	BDD	NULL_POSITION_MATCHED	0.975504	1.000000	0.501866	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-07.xml	BDD	NULL_RANDOM_DELETION_MATCHED	0.980179	1.000000	0.490707	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-11.xml	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.925506	0.666667	0.480823	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-11.xml	BDD	NULL_POSITION_MATCHED	0.919747	0.666667	0.496201	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-11.xml	BDD	NULL_RANDOM_DELETION_MATCHED	0.924105	0.666667	0.505193	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-12.xml	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.982388	1.000000	0.497797	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-12.xml	BDD	NULL_POSITION_MATCHED	0.986087	1.000000	0.480125	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-12.xml	BDD	NULL_RANDOM_DELETION_MATCHED	0.989434	1.000000	0.510181	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-13.xml	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.759232	0.666667	0.506860	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-13.xml	BDD	NULL_POSITION_MATCHED	0.625800	0.666667	0.557931	3	0.250000	3	LOW_RESOLUTION	false
IT2a	koeln-edd-c-119-13.xml	BDD	NULL_RANDOM_DELETION_MATCHED	0.714760	0.666667	0.512392	3	0.250000	3	LOW_RESOLUTION	false
ZL3b	combined	BDD	NULL_FREQUENCY_MATCHED_DELETION	0.988169	1.000000	0.509746	3	0.250000	3	LOW_RESOLUTION	false
ZL3b	combined	BDD	NULL_POSITION_MATCHED	0.990144	1.000000	0.539142	3	0.250000	3	LOW_RESOLUTION	false
