block	transitions	log_loss_m1	log_loss_m2	delta_m1_minus_m2
G0/generic#0	87	5.908875928	6.462429492	-0.5535535643
G1/generic#0	68	6.064755135	6.475377303	-0.410622168
G2/generic#0	105	6.106598779	6.474882711	-0.368283932
G3/generic#0	92	5.862191098	6.451346544	-0.5891554458
G0/generic#1	84	6.115691036	6.476115882	-0.3604248453
G1/generic#1	84	5.924467177	6.449526855	-0.5250596783
G2/generic#1	113	6.044260763	6.475033504	-0.4307727416
G3/generic#1	77	6.072123054	6.460782041	-0.3886589875
G0/generic#2	114	6.072138769	6.465737782	-0.393599013
G1/generic#2	73	6.159103167	6.474649912	-0.315546745
G2/generic#2	104	6.063781343	6.464567829	-0.4007864861
G3/generic#2	128	6.165233123	6.475016999	-0.3097838756
G0/generic#3	157	6.037360728	6.468616323	-0.4312555948
G1/generic#3	132	6.062781684	6.450272871	-0.3874911876
G2/generic#3	106	6.082960325	6.475225352	-0.3922650272
G3/generic#3	95	5.954019357	6.475411436	-0.5213920789
G0/generic#4	151	6.053163138	6.468140111	-0.4149769723
G1/generic#4	91	5.824809727	6.439227464	-0.6144177375
G2/generic#4	99	6.071664444	6.464191024	-0.3925265804
G3/generic#4	141	6.025848475	6.475479931	-0.4496314565
G0/generic#5	129	6.064517962	6.457907521	-0.3933895592
G1/generic#5	92	6.057701189	6.451412512	-0.3937113228
G2/generic#5	122	6.040710583	6.465944643	-0.4252340596
G3/generic#5	93	5.912261688	6.463334703	-0.5510730147
G0/generic#6	110	6.088931486	6.465159882	-0.3762283964
G1/generic#6	96	6.115439167	6.474978593	-0.3595394261
G2/generic#6	106	5.919536708	6.464252792	-0.5447160838
G3/generic#6	63	5.805698248	6.457673341	-0.6519750929
G0/generic#7	102	6.130286956	6.453375296	-0.3230883397
G1/generic#7	98	5.96873214	6.453133279	-0.4844011392
G2/generic#7	64	5.993789988	6.474611344	-0.4808213557
G3/generic#7	87	6.04046022	6.462288996	-0.4218287757
G0/generic#8	100	5.879610741	6.45911462	-0.5795038791
G1/generic#8	101	5.9269359	6.453839706	-0.5269038055
G2/generic#8	83	5.986036123	6.475737551	-0.4897014288
G3/generic#8	80	6.100510755	6.474890467	-0.3743797124
G0/generic#9	98	6.079048568	6.452349838	-0.3733012703
G1/generic#9	106	5.864417976	6.428946308	-0.5645283319
G2/generic#9	125	5.948459556	6.466455162	-0.5179956064
G3/generic#9	113	5.971886384	6.455806794	-0.4839204108
G0/generic#10	160	5.958207572	6.451483504	-0.4932759325
G1/generic#10	115	6.124959977	6.456121061	-0.331161084
G2/generic#10	75	5.852899778	6.475326287	-0.6224265094
G3/generic#10	126	6.133069653	6.457380373	-0.3243107202
G0/generic#11	112	6.043428178	6.465098779	-0.4216706013
G1/generic#11	114	6.132042262	6.465360242	-0.3333179804
G2/generic#11	114	6.053692435	6.475347865	-0.4216554292
G3/generic#11	183	6.073757455	6.463277151	-0.3895196962
G0/generic#12	112	5.812254251	6.465784461	-0.6535302106
G1/generic#12	111	6.041116544	6.46532301	-0.4242064655
G2/generic#12	147	6.033251794	6.467860438	-0.4346086448
G3/generic#12	167	6.032025398	6.468839277	-0.4368138794
G0/generic#13	124	6.026715465	6.46609781	-0.4393823449
G1/generic#13	143	6.040790507	6.459471387	-0.4186808801
G2/generic#13	174	6.052748704	6.46250044	-0.409751736
G3/generic#13	170	6.055053467	6.474760036	-0.4197065685
G0/generic#14	139	6.107198177	6.475325642	-0.3681274647
G1/generic#14	137	6.020703587	6.467286332	-0.446582746
G2/generic#14	143	5.936917256	6.467301595	-0.5303843389
G3/generic#14	137	5.982637028	6.443206844	-0.4605698162
G0/generic#15	149	6.191912617	6.460444682	-0.2685320655
G1/generic#15	185	6.133045871	6.469066987	-0.336021116
G2/generic#15	192	5.973829104	6.458071483	-0.4842423791
G3/generic#15	63	6.170559831	6.474915968	-0.3043561367
