block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#0	G0	generic	G0/generic	x000078	x002772	6	1	1	6	648	0.004545454545	0.001543209877	2.945454545	1.558490289	preferred
G2/generic#0	G2	generic	G2/generic	x000078	x002772	11	0	0	11	676	0.001492537313	0.0005	2.985074627	1.577766999	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x002772	6	0	0	6	667	0.001515151515	0.0005045408678	3.003030303	1.586419033	preferred
G0/generic#2	G0	generic	G0/generic	x000078	x002772	5	0	0	5	745	0.001519756839	0.0004677268475	3.249240122	1.700102364	preferred
G1/generic#2	G1	generic	G1/generic	x000078	x002772	7	0	0	7	681	0.001510574018	0.0004975124378	3.036253776	1.602292379	preferred
G2/generic#2	G2	generic	G2/generic	x000078	x002772	6	0	0	6	685	0.001515151515	0.0004955401388	3.057575758	1.612388245	preferred
G3/generic#2	G3	generic	G3/generic	x000078	x002772	6	0	0	6	719	0.001515151515	0.0004793863854	3.160606061	1.660201228	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x002772	9	0	0	9	812	0.001501501502	0.0004401408451	3.411411411	1.770368752	preferred
G1/generic#3	G1	generic	G1/generic	x000078	x002772	5	0	0	5	814	0.001519756839	0.0004393673111	3.458966565	1.790341069	preferred
G2/generic#3	G2	generic	G2/generic	x000078	x002772	6	0	0	6	719	0.001515151515	0.0004793863854	3.160606061	1.660201228	preferred
G0/generic#4	G0	generic	G0/generic	x000078	x002772	6	0	0	6	684	0.001515151515	0.000496031746	3.054545455	1.610957709	preferred
G2/generic#4	G2	generic	G2/generic	x000078	x002772	7	0	0	7	636	0.001510574018	0.0005208333333	2.900302115	1.536203189	preferred
G3/generic#4	G3	generic	G3/generic	x000078	x002772	5	0	0	5	636	0.001519756839	0.0005208333333	2.917933131	1.544946822	preferred
G1/generic#5	G1	generic	G1/generic	x000078	x002772	8	0	0	8	607	0.001506024096	0.000537056928	2.804216867	1.487597926	preferred
G0/generic#6	G0	generic	G0/generic	x000078	x002772	7	0	0	7	744	0.001510574018	0.000468164794	3.226586103	1.690008525	preferred
G3/generic#6	G3	generic	G3/generic	x000078	x002772	6	1	0	6	592	0.001515151515	0.001637554585	0.9252525253	-0.1120809269	depleted
G1/generic#7	G1	generic	G1/generic	x000078	x002772	9	0	0	9	710	0.001501501502	0.0004835589942	3.105105105	1.634642103	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x002772	7	0	0	7	629	0.001510574018	0.0005246589717	2.879154079	1.525644997	preferred
G0/generic#12	G0	generic	G0/generic	x000078	x002772	5	0	0	5	698	0.001519756839	0.0004892367906	3.106382979	1.635235707	preferred
G3/generic#12	G3	generic	G3/generic	x000078	x002772	5	1	0	5	844	0.001519756839	0.001284246575	1.183383992	0.2429182844	preferred
G0/generic#14	G0	generic	G0/generic	x000078	x002772	9	0	0	9	805	0.001501501502	0.0004428697963	3.39039039	1.761451404	preferred
G1/generic#14	G1	generic	G1/generic	x000078	x002772	6	0	0	6	845	0.001515151515	0.0004277159966	3.542424242	1.824737	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x002772	9	0	0	9	845	0.001501501502	0.0004277159966	3.510510511	1.811680847	preferred
G0/generic#15	G0	generic	G0/generic	x000078	x002772	5	0	0	5	699	0.001519756839	0.0004887585533	3.109422492	1.636646656	preferred
G1/generic#15	G1	generic	G1/generic	x000078	x002772	9	0	0	9	891	0.001501501502	0.0004115226337	3.648648649	1.867362231	preferred
G2/generic#15	G2	generic	G2/generic	x000078	x002772	6	0	0	6	811	0.001515151515	0.0004405286344	3.439393939	1.782154368	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x003546	6	0	0	6	648	0.001515151515	0.0005144032922	2.945454545	1.558490289	preferred
G2/generic#0	G2	generic	G2/generic	x000078	x003546	11	0	0	11	676	0.001492537313	0.0005	2.985074627	1.577766999	preferred
G0/generic#1	G0	generic	G0/generic	x000078	x003546	6	1	0	6	667	0.001515151515	0.001513622603	1.001010101	0.00145653222	preferred
G0/generic#2	G0	generic	G0/generic	x000078	x003546	5	0	0	5	745	0.001519756839	0.0004677268475	3.249240122	1.700102364	preferred
G1/generic#2	G1	generic	G1/generic	x000078	x003546	7	0	0	7	681	0.001510574018	0.0004975124378	3.036253776	1.602292379	preferred
G2/generic#2	G2	generic	G2/generic	x000078	x003546	6	0	0	6	685	0.001515151515	0.0004955401388	3.057575758	1.612388245	preferred
G3/generic#2	G3	generic	G3/generic	x000078	x003546	6	1	0	6	719	0.001515151515	0.001438159156	1.053535354	0.07523872755	preferred
G0/generic#3	G0	generic	G0/generic	x000078	x003546	9	0	0	9	812	0.001501501502	0.0004401408451	3.411411411	1.770368752	preferred
G1/generic#3	G1	generic	G1/generic	x000078	x003546	5	0	0	5	814	0.001519756839	0.0004393673111	3.458966565	1.790341069	preferred
G2/generic#3	G2	generic	G2/generic	x000078	x003546	6	1	0	6	719	0.001515151515	0.001438159156	1.053535354	0.07523872755	preferred
G0/generic#4	G0	generic	G0/generic	x000078	x003546	6	0	0	6	684	0.001515151515	0.000496031746	3.054545455	1.610957709	preferred
G2/generic#4	G2	generic	G2/generic	x000078	x003546	7	0	0	7	636	0.001510574018	0.0005208333333	2.900302115	1.536203189	preferred
G3/generic#4	G3	generic	G3/generic	x000078	x003546	5	0	0	5	636	0.001519756839	0.0005208333333	2.917933131	1.544946822	preferred
G1/generic#5	G1	generic	G1/generic	x000078	x003546	8	0	0	8	607	0.001506024096	0.000537056928	2.804216867	1.487597926	preferred
G0/generic#6	G0	generic	G0/generic	x000078	x003546	7	0	0	7	744	0.001510574018	0.000468164794	3.226586103	1.690008525	preferred
G3/generic#6	G3	generic	G3/generic	x000078	x003546	6	0	0	6	592	0.001515151515	0.0005458515284	2.775757576	1.472881574	preferred
G1/generic#7	G1	generic	G1/generic	x000078	x003546	9	0	0	9	710	0.001501501502	0.0004835589942	3.105105105	1.634642103	preferred
G0/generic#10	G0	generic	G0/generic	x000078	x003546	7	0	0	7	629	0.001510574018	0.0005246589717	2.879154079	1.525644997	preferred
G0/generic#12	G0	generic	G0/generic	x000078	x003546	5	0	0	5	698	0.001519756839	0.0004892367906	3.106382979	1.635235707	preferred
G3/generic#12	G3	generic	G3/generic	x000078	x003546	5	0	0	5	844	0.001519756839	0.0004280821918	3.550151976	1.827880785	preferred
G0/generic#14	G0	generic	G0/generic	x000078	x003546	9	0	0	9	805	0.001501501502	0.0004428697963	3.39039039	1.761451404	preferred
G1/generic#14	G1	generic	G1/generic	x000078	x003546	6	0	0	6	845	0.001515151515	0.0004277159966	3.542424242	1.824737	preferred
G2/generic#14	G2	generic	G2/generic	x000078	x003546	9	0	0	9	845	0.001501501502	0.0004277159966	3.510510511	1.811680847	preferred
G0/generic#15	G0	generic	G0/generic	x000078	x003546	5	0	0	5	699	0.001519756839	0.0004887585533	3.109422492	1.636646656	preferred
G1/generic#15	G1	generic	G1/generic	x000078	x003546	9	0	0	9	891	0.001501501502	0.0004115226337	3.648648649	1.867362231	preferred
G2/generic#15	G2	generic	G2/generic	x000078	x003546	6	0	0	6	811	0.001515151515	0.0004405286344	3.439393939	1.782154368	preferred
G0/generic#0	G0	generic	G0/generic	x000078	x010069	6	0	0	6	648	0.001515151515	0.0005144032922	2.945454545	1.558490289	preferred
