source	target	relation	eligible_blocks	joint_classes	currier_classes	hands	median_log2_enrichment	sign_consistency	transfer_fraction	empirical_p	fdr_q	status
x000079	x030474	preferred	26	4	G0,G1,G2,G3	generic	1.549410099	0.8846153846	0.8846153846	0.000599940006	0.0498839005	BACKBONE_PREFERRED
x000080	x012338	preferred	14	4	G0,G1,G2,G3	generic	1.534544114	0.9285714286	0.9285714286	0.000599940006	0.0498839005	BACKBONE_PREFERRED
x000080	x025682	preferred	14	4	G0,G1,G2,G3	generic	1.558221235	0.8571428571	0.8571428571	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x000082	x016892	preferred	4	4	G0,G1,G2,G3	generic	1.364231752	0.75	0.75	0.000399960004	0.0498839005	BACKBONE_PREFERRED
x013872	x000954	preferred	38	4	G0,G1,G2,G3	generic	1.532072641	0.8947368421	0.8947368421	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x013872	x024745	preferred	38	4	G0,G1,G2,G3	generic	1.568756457	0.8947368421	0.8947368421	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x013873	x018498	preferred	30	4	G0,G1,G2,G3	generic	1.513878621	0.8666666667	0.8666666667	0.000299970003	0.04489551045	BACKBONE_PREFERRED
x013873	x025058	preferred	30	4	G0,G1,G2,G3	generic	1.540568381	0.8333333333	0.8333333333	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x013874	x000954	preferred	23	4	G0,G1,G2,G3	generic	1.54246257	0.8695652174	0.8695652174	0.000499950005	0.0498839005	BACKBONE_PREFERRED
x013875	x008298	preferred	13	4	G0,G1,G2,G3	generic	1.582036141	0.9230769231	0.9230769231	0.000199980002	0.04081410041	BACKBONE_PREFERRED
x013875	x024746	preferred	13	4	G0,G1,G2,G3	generic	1.582036141	0.9230769231	0.9230769231	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x019046	x001046	preferred	18	4	G0,G1,G2,G3	generic	1.559113041	0.8333333333	0.8333333333	0.000599940006	0.0498839005	BACKBONE_PREFERRED
x028393	x018554	preferred	57	4	G0,G1,G2,G3	generic	1.553030321	0.8771929825	0.8771929825	0.000299970003	0.04489551045	BACKBONE_PREFERRED
x028902	x016844	preferred	30	4	G0,G1,G2,G3	generic	1.637163813	1	1	9.9990001e-05	0.02805969403	BACKBONE_PREFERRED
x032102	x003937	preferred	3	2	G2,G3	generic	1.362570079	1	1	0.000499950005	0.0498839005	BACKBONE_PREFERRED
