sequence	n	token_validity	sequence_status	shuffle_block_p	shuffle_block_fdr_q	markov_block_p
x000026 x005446	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4785214785214785
x000026 x010159	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6943056943056943
x000027 x004066 x002340	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.060939060939060936
x000027 x005446	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5244755244755245
x000356 x000026	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.06793206793206794	0.07071616907682482	0.6143856143856143
x000356 x000027	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.24675324675324675	0.25272308336824467	0.4115884115884116
x000356 x004353	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.016983016983016984	0.017899113334797982	0.3876123876123876
x000356 x004624	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4225774225774226
x000356 x004625	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.003996003996003996	0.004319085170149	0.4855144855144855
x000356 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.27172827172827174	0.2760759240759241	0.6113886113886113
x000356 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.6313686313686314	0.6313686313686314	0.5764235764235764
x000357 x000026	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.25074925074925075	0.25578437626630396	0.7522477522477522
x000357 x004624	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.47952047952047955
x000357 x004625	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6743256743256744
x000357 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.19880119880119881	0.20443524087248785	0.5464535464535465
x000357 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.3916083916083916	0.3931562508637607	0.3826173826173826
x000526 x000027	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5634365634365635
x000526 x004352	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.36363636363636365
x000526 x004625	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0022064891630109024	0.6623376623376623
x000527 x000026	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.44955044955044954
x000527 x004352	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4695304695304695
x000584 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5254745254745254
x000584 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6333666333666333
x000585 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3046953046953047
x000585 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.45354645354645357
x001268 x004624	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6013986013986014
x001268 x004624 x006166	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.000999000999000999
x001269 x004624	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3696303696303696
x001269 x004625	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.47052947052947053
x001276 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5044955044955045
x001276 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.35264735264735264
x001277 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4945054945054945
x001908 x009462 x004625	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.01098901098901099
x002078 x006233	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.45454545454545453
x002571 x006232	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.43656343656343655
x002766 x009316	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5214785214785215
x002767 x009317	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.43156843156843155
x002794 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.43756243756243757
x003706 x000026	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4435564435564436
x003706 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.34865134865134867
x003706 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.001998001998001998	0.0022064891630109024	0.39760239760239763
x003820 x009464	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6313686313686314
x003820 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.43456543456543456
x003821 x009465	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5134865134865135
x004225 x000798	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5064935064935064
x004225 x000799	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5514485514485514
x004344 x000798	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.38461538461538464
x004345 x000798	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.44955044955044954
x004345 x000799	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.7662337662337663
x004352 x004224	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4275724275724276
x004352 x004225	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5834165834165834
x004352 x007926	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6503496503496503
x004352 x010278	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6733266733266733
x004352 x010279	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.7762237762237763
x004353 x004224	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.39760239760239763
x004353 x004225	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5964035964035964
x004353 x010278	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6523476523476524
x004353 x010279	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3006993006993007
x004624 x000318	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6563436563436563
x004624 x000319	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6463536463536463
x004624 x001312	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6323676323676324
x004624 x001908 x009462	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.46553446553446554
x004624 x001908 x009462 x004625	4	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.002997002997002997
x004624 x002078	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5064935064935064
x004624 x002078 x006233	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3386613386613387
x004624 x002078 x008111	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.04995004995004995
x004624 x002079	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5474525474525475
x004624 x002767 x009316	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.43156843156843155
x004624 x002767 x009317	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5054945054945055
x004624 x004224	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5904095904095904
x004624 x004224 x006201	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.002997002997002997
x004624 x004225	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4945054945054945
x004624 x004344	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5524475524475524
x004624 x004344 x000027	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.07792207792207792
x004624 x004345	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5604395604395604
x004624 x004345 x000799	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.16983016983016982
x004624 x008353	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.2917082917082917
x004624 x009399 x010701	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.0979020979020979
x004624 x009514 x009462	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.06593406593406594
x004624 x010278	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.002997002997002997	0.003267119146947473	0.8111888111888111
x004624 x010279	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.004995004995004995	0.0053759799522511385	0.5284715284715285
x004625 x000318	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.2947052947052947
x004625 x000319	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6363636363636364
x004625 x002078	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3676323676323676
x004625 x002078 x006232	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.15084915084915085
x004625 x002079	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4485514485514486
x004625 x002079 x008111	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.024975024975024976
x004625 x002766 x009316	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4125874125874126
x004625 x004224	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6063936063936064
x004625 x004225	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.2977022977022977
x004625 x004225 x004369	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.003996003996003996
x004625 x004344	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.35564435564435565
x004625 x004345	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.34965034965034963
x004625 x008248	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.5014985014985015
x004625 x010278	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.04495504495504495	0.04699004699004699	0.6503496503496503
x004625 x010279	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.8211788211788211
x004640 x010701 x010484	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.003996003996003996
x004641 x004624	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.3926073926073926
x004718 x000026	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.6753246753246753
x004718 x000349 x004551	3	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.003996003996003996
x004718 x004472	2	ambiguous-transcription	TRANSCRIPTION_AMBIGUOUS	0.000999000999000999	0.001122771034275459	0.4995004995004995
