relation	eligible_blocks	joint_classes	currier_classes	hands	mean_similarity	median_similarity	min_similarity	transfer_success	raw_p	fdr_q	frozen_threshold	fraction_above_threshold	failed_classification_conditions
x003821 / x010055	0	0	0	0	0	0	0	0	1	1	20	0	
x004624 / x010315	1	1	1	1	0.08950343987426174	0.08950343987426174	0.08950343987426174	0	0.000999000999000999	0.025974025974025976	20	0	eligible_blocks<3;joint_classes<2;profile_stability<0.7;transfer_success<0.67;no_cross_group_transfer
x004625 / x010314	0	0	0	0	0	0	0	0	1	1	20	0	
x004718 / x010054	0	0	0	0	0	0	0	0	1	1	20	0	
x004718 / x010055	0	0	0	0	0	0	0	0	1	1	20	0	
x004718 / x010526	0	0	0	0	0	0	0	0	1	1	20	0	
x004719 / x010526	0	0	0	0	0	0	0	0	1	1	20	0	
x004719 / x010527	0	0	0	0	0	0	0	0	1	1	20	0	
x004929 / x010054	0	0	0	0	0	0	0	0	1	1	20	0	
x004984 / x010279	0	0	0	0	0	0	0	0	1	1	20	0	
x004985 / x010279	0	0	0	0	0	0	0	0	1	1	20	0	
x005730 / x010485	0	0	0	0	0	0	0	0	1	1	20	0	
x005730 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x005731 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x005842 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x005843 / x010616	0	0	0	0	0	0	0	0	1	1	20	0	
x005843 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x006050 / x010484	0	0	0	0	0	0	0	0	1	1	20	0	
x006348 / x010055	0	0	0	0	0	0	0	0	1	1	20	0	
x006383 / x010054	0	0	0	0	0	0	0	0	1	1	20	0	
x006383 / x010055	0	0	0	0	0	0	0	0	1	1	20	0	
x008248 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x008352 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x008353 / x010617	0	0	0	0	0	0	0	0	1	1	20	0	
x009496 / x010315	0	0	0	0	0	0	0	0	1	1	20	0	
x009497 / x010315	0	0	0	0	0	0	0	0	1	1	20	0	
