candidate_id	full_effect	min_jackknife_effect	max_jackknife_effect	jackknife_sd	max_jackknife_raw_p	significance_survives_each_block_removal	max_block_observation_fraction	max_block_effect_contribution
distance-profile:x003821:x010055	0	0	0	0	0	false	0	0
distance-profile:x004624:x010315	0.03378940304642815	0	0	0	0.000999000999000999	false	0.5238095238095238	1
distance-profile:x004625:x010314	0	0	0	0	0	false	0	0
distance-profile:x004718:x010054	0	0	0	0	0	false	0	0
distance-profile:x004718:x010055	0	0	0	0	0	false	0	0
distance-profile:x004718:x010526	0	0	0	0	0	false	0	0
distance-profile:x004719:x010526	0	0	0	0	0	false	0	0
distance-profile:x004719:x010527	0	0	0	0	0	false	0	0
distance-profile:x004929:x010054	0	0	0	0	0	false	0	0
distance-profile:x004984:x010279	0	0	0	0	0	false	0	0
distance-profile:x004985:x010279	0	0	0	0	0	false	0	0
distance-profile:x005730:x010485	0	0	0	0	0	false	0	0
distance-profile:x005730:x010617	0	0	0	0	0	false	0	0
distance-profile:x005731:x010617	0	0	0	0	0	false	0	0
distance-profile:x005842:x010617	0	0	0	0	0	false	0	0
distance-profile:x005843:x010616	0	0	0	0	0	false	0	0
distance-profile:x005843:x010617	0	0	0	0	0	false	0	0
distance-profile:x006050:x010484	0	0	0	0	0	false	0	0
distance-profile:x006348:x010055	0	0	0	0	0	false	0	0
distance-profile:x006383:x010054	0	0	0	0	0	false	0	0
distance-profile:x006383:x010055	0	0	0	0	0	false	0	0
distance-profile:x008248:x010617	0	0	0	0	0	false	0	0
distance-profile:x008352:x010617	0	0	0	0	0	false	0	0
distance-profile:x008353:x010617	0	0	0	0	0	false	0	0
distance-profile:x009496:x010315	0	0	0	0	0	false	0	0
distance-profile:x009497:x010315	0	0	0	0	0	false	0	0
