Corpus	Matrix	Transition	Count
Voynich	SUBSTITUTION	l->N	19
Voynich	SUBSTITUTION	K->C	1
Voynich	SUBSTITUTION	v->r	1
Voynich	SUBSTITUTION	i->h	2
Voynich	SUBSTITUTION	l->e	1
Voynich	SUBSTITUTION	r->o	1
Voynich	SUBSTITUTION	A->a	1
Voynich	SUBSTITUTION	y->S	1
Voynich	SUBSTITUTION	a->H	1
Voynich	SUBSTITUTION	o->s	3
Voynich	SUBSTITUTION	h->y	1
Voynich	SUBSTITUTION	q->o	3
Voynich	SUBSTITUTION	H->s	4
Voynich	SUBSTITUTION	s->g	1
Voynich	SUBSTITUTION	d->S	4
Voynich	SUBSTITUTION	l->d	7
Voynich	SUBSTITUTION	A->y	12
Voynich	SUBSTITUTION	H->l	1
Voynich	SUBSTITUTION	C->K	2
Voynich	SUBSTITUTION	s->S	2
Voynich	SUBSTITUTION	H->S	23
Voynich	SUBSTITUTION	d->P	1
Voynich	SUBSTITUTION	H->o	8
Voynich	SUBSTITUTION	m->l	2
Voynich	SUBSTITUTION	n->N	1
Voynich	SUBSTITUTION	q->t	1
Voynich	SUBSTITUTION	d->l	2
Voynich	SUBSTITUTION	C->y	1
Voynich	SUBSTITUTION	o->y	12
Voynich	SUBSTITUTION	g->m	1
Voynich	SUBSTITUTION	x->k	5
Voynich	SUBSTITUTION	3->4	1
Voynich	SUBSTITUTION	d->K	3
Voynich	SUBSTITUTION	k->a	1
Voynich	SUBSTITUTION	A->N	1
Voynich	SUBSTITUTION	y->k	1
Voynich	SUBSTITUTION	S->t	3
Voynich	SUBSTITUTION	c->f	1
Voynich	SUBSTITUTION	P->s	1
Voynich	SUBSTITUTION	k->f	1
Voynich	SUBSTITUTION	d->e	1
Voynich	SUBSTITUTION	t->f	1
Voynich	SUBSTITUTION	K->y	1
Voynich	SUBSTITUTION	f->s	1
Voynich	SUBSTITUTION	C->H	9
Voynich	SUBSTITUTION	a->o	20
Voynich	SUBSTITUTION	N->m	14
Voynich	SUBSTITUTION	S->P	2
Voynich	SUBSTITUTION	v->t	4
Voynich	SUBSTITUTION	l->H	1
Voynich	SUBSTITUTION	p->r	1
Voynich	SUBSTITUTION	H->F	1
Voynich	SUBSTITUTION	s->y	11
Voynich	SUBSTITUTION	y->o	18
Voynich	SUBSTITUTION	q->H	4
Voynich	SUBSTITUTION	o->v	1
