Corpus	Forward	ForwardCount	ReverseCount	Asymmetry
Voynich	0->1	4	0	1.000000000
Voynich	1->2	1	0	1.000000000
Voynich	2->3	1	0	1.000000000
Voynich	3->4	1	0	1.000000000
Voynich	A->H	1	1	0.000000000
Voynich	A->N	1	0	1.000000000
Voynich	A->a	1	0	1.000000000
Voynich	A->l	1	2	-0.333333333
Voynich	A->o	2	0	1.000000000
Voynich	A->r	2	13	-0.733333333
Voynich	A->y	12	7	0.263157895
Voynich	C->H	9	15	-0.250000000
Voynich	C->K	2	1	0.333333333
Voynich	C->S	1	1	0.000000000
Voynich	C->d	7	2	0.555555556
Voynich	C->g	1	0	1.000000000
Voynich	C->k	2	1	0.333333333
Voynich	C->t	2	0	1.000000000
Voynich	C->y	1	1	0.000000000
Voynich	E->H	5	2	0.428571429
Voynich	E->d	1	0	1.000000000
Voynich	E->e	29	31	-0.033333333
Voynich	E->k	1	0	1.000000000
Voynich	E->o	2	2	0.000000000
Voynich	E->s	1	0	1.000000000
Voynich	F->H	1	1	0.000000000
Voynich	F->d	1	0	1.000000000
Voynich	H->A	1	1	0.000000000
Voynich	H->C	15	9	0.250000000
Voynich	H->E	2	5	-0.428571429
Voynich	H->F	1	1	0.000000000
Voynich	H->K	5	2	0.428571429
Voynich	H->P	1	0	1.000000000
Voynich	H->S	23	21	0.045454545
Voynich	H->d	12	2	0.714285714
Voynich	H->e	4	0	1.000000000
Voynich	H->k	11	8	0.157894737
Voynich	H->l	1	1	0.000000000
Voynich	H->o	8	5	0.230769231
Voynich	H->q	1	4	-0.600000000
Voynich	H->r	1	1	0.000000000
Voynich	H->s	4	5	-0.111111111
Voynich	H->t	2	3	-0.200000000
Voynich	H->y	2	1	0.333333333
Voynich	K->C	1	2	-0.333333333
Voynich	K->H	2	5	-0.428571429
Voynich	K->S	1	0	1.000000000
Voynich	K->d	1	3	-0.500000000
Voynich	K->e	1	1	0.000000000
Voynich	K->k	3	0	1.000000000
Voynich	K->t	1	1	0.000000000
Voynich	K->y	1	0	1.000000000
Voynich	N->g	1	0	1.000000000
Voynich	N->l	32	19	0.254901961
Voynich	N->m	14	0	1.000000000
Voynich	N->n	1	1	0.000000000
Voynich	N->r	20	35	-0.272727273
Voynich	P->S	1	2	-0.333333333
Voynich	P->d	1	1	0.000000000
Voynich	P->s	1	0	1.000000000
Voynich	S->A	1	0	1.000000000
