rank	opening_candidate	closing_candidate	score	reliability	ranking_scope	line_probability	page_probability	directionality	ranking_z_score	permutation_p	mean_distance	adjacent_share	page_balance_stddev	AABB	ABAB
1	x020629	x018928	0.431287	0.813084	page	0.057471	0.540230	0.500020	4.394209	0.00990099	22.127660	0.000000	1.183488	2	2
2	x012767	x018930	0.365992	0.687500	page	0.295455	0.636364	0.601641	3.644335	0.00990099	15.642857	0.321429	1.320484	2	0
3	x009248	x012697	0.361950	0.933333	page	0.050505	0.228956	0.078956	4.138858	0.00990099	21.500000	0.000000	1.026572	3	2
4	x018979	x020556	0.350862	0.726027	page	0.075472	0.245283	0.186889	3.892978	0.00990099	17.769231	0.307692	0.514815	1	0
5	x008707	x000715	0.347539	0.896907	page	0.045977	0.333333	0.226804	3.433286	0.00990099	24.551724	0.034483	0.862689	3	2
6	x012121	x021052	0.340615	0.836066	page	0.029412	0.166667	0.147059	3.575113	0.00990099	19.882353	0.000000	0.516231	2	0
7	x021403	x018928	0.338290	0.876543	page	0.063380	0.288732	0.255516	2.742315	0.00990099	19.585366	0.000000	1.322901	2	0
8	x000054	x012696	0.336744	0.930796	page	0.045455	0.286713	0.108275	3.569161	0.00990099	22.768293	0.000000	0.853140	4	6
9	x012764	x018930	0.333704	0.705882	page	0.145833	0.416667	0.397569	2.821768	0.019802	18.500000	0.200000	1.346428	2	0
10	x000053	x000714	0.333060	0.926471	page	0.063492	0.285714	0.148009	3.434144	0.00990099	20.875000	0.000000	0.905186	3	2
11	x008997	x000714	0.330955	0.677419	page	0.023810	0.380952	0.361280	3.098054	0.00990099	22.062500	0.000000	0.855330	1	0
12	x020631	x019269	0.329416	0.818182	page	0.033333	0.322222	0.265485	2.327693	0.00990099	24.862069	0.000000	0.732105	3	0
13	x018924	x019269	0.328154	0.889503	page	0.024845	0.273292	0.181093	3.249722	0.00990099	26.522727	0.000000	0.740668	4	3
14	x018927	x018925	0.327446	0.886364	page	0.018519	0.154321	0.058167	2.612657	0.019802	25.960000	0.000000	0.653336	2	0
15	x020733	x018928	0.327122	0.687500	page	0.068182	0.545455	0.506993	1.838407	0.0594059	18.375000	0.000000	1.146087	2	0
16	x008689	x018928	0.325399	0.801980	page	0.074074	0.395062	0.365341	2.219947	0.019802	22.437500	0.000000	1.222431	3	0
17	x020630	x018931	0.324619	0.816514	page	0.067416	0.494382	0.416121	2.058864	0.039604	22.681818	0.000000	1.216766	2	0
18	x004159	x018929	0.324069	0.692308	page	0.111111	0.577778	0.534588	1.670891	0.0594059	18.846154	0.000000	1.273495	2	0
19	x012402	x018929	0.323464	0.756098	page	0.048387	0.451613	0.408424	1.664818	0.039604	21.178571	0.000000	1.303180	2	0
20	x001168	x018928	0.320940	0.811321	page	0.220930	0.546512	0.460847	2.499337	0.029703	15.787234	0.212766	1.119302	1	1
21	x012765	x018929	0.318408	0.726027	page	0.226415	0.603774	0.568890	2.888019	0.00990099	15.218750	0.343750	1.292375	2	1
22	x009250	x019268	0.316051	0.929577	page	0.060510	0.245223	0.048253	3.221836	0.00990099	20.493506	0.000000	0.891795	7	4
23	x020559	x000715	0.315739	0.885057	page	0.045455	0.357143	0.247177	2.805732	0.029703	24.454545	0.000000	0.772020	4	4
24	x001052	x000054	0.314030	0.797980	page	0.075949	0.354430	0.305479	3.369205	0.00990099	22.142857	0.107143	0.750651	1	3
25	x012696	x018929	0.313150	0.930796	page	0.137546	0.490706	0.249843	2.352046	0.019802	19.143939	0.143939	1.131432	6	14
26	x012402	x010008	0.312346	0.756098	page	0.032258	0.209677	0.187455	2.790202	0.00990099	20.692308	0.000000	0.582170	1	0
27	x009439	x018929	0.312203	0.900990	page	0.131868	0.461538	0.328648	2.217485	0.029703	19.285714	0.166667	1.217487	4	2
28	x012402	x018930	0.309247	0.756098	page	0.096774	0.451613	0.404738	1.337396	0.108911	19.071429	0.000000	1.327498	2	0
29	x020557	x019268	0.308190	0.870130	page	0.067164	0.335821	0.229760	2.759918	0.019802	22.244444	0.022222	0.735478	1	7
30	x012773	x018931	0.307372	0.696970	page	0.173913	0.586957	0.545217	2.700408	0.00990099	22.481481	0.000000	1.252671	0	0
31	x001054	x020631	0.307017	0.797980	page	0.037975	0.177215	0.154993	4.310575	0.00990099	22.571429	0.142857	0.502057	0	0
32	x001171	x018928	0.306864	0.793814	page	0.142857	0.532468	0.483516	2.201521	0.039604	20.536585	0.073171	1.175439	0	2
33	x012464	x007413	0.306805	0.705882	page	0.020833	0.166667	0.166667	4.806681	0.00990099	19.125000	0.000000	0.382972	0	0
34	x000696	x019271	0.305718	0.615385	page	0.031250	0.437500	0.409388	2.942269	0.00990099	17.000000	0.000000	0.695655	1	0
35	x015810	x018928	0.305305	0.672131	page	0.048780	0.512195	0.491216	1.638872	0.0792079	26.380952	0.000000	1.209192	1	0
36	x021403	x008688	0.305059	0.824561	page	0.042254	0.154930	0.101738	3.242608	0.00990099	14.227273	0.045455	0.558388	1	0
37	x001052	x001055	0.303975	0.797980	page	0.075949	0.151899	0.114399	2.507574	0.00990099	15.416667	0.000000	0.462009	1	0
38	x012764	x018928	0.303494	0.705882	page	0.270833	0.541667	0.517191	3.176572	0.00990099	11.307692	0.307692	1.200901	0	0
39	x009970	x018929	0.302575	0.856115	page	0.058824	0.378151	0.315028	2.646342	0.019802	26.155556	0.044444	1.348279	2	3
40	x000714	x019270	0.302489	0.937107	page	0.029508	0.278689	0.110903	2.660714	0.00990099	22.411765	0.011765	0.944061	6	2
41	x009250	x018929	0.302458	0.940120	page	0.060510	0.328025	0.190152	2.433229	0.00990099	21.281553	0.000000	1.360455	9	6
42	x020829	x019269	0.301289	0.787234	page	0.094595	0.337838	0.295285	2.620162	0.029703	17.880000	0.000000	0.713963	1	0
43	x018924	x018928	0.301050	0.889503	page	0.093168	0.409938	0.296302	2.105970	0.019802	23.166667	0.015152	1.135385	4	3
44	x001489	x018930	0.300988	0.797980	page	0.101266	0.417722	0.363902	1.945042	0.019802	19.636364	0.000000	1.324197	2	0
45	x012767	x018928	0.300974	0.687500	page	0.181818	0.454545	0.435315	1.987838	0.049505	14.500000	0.300000	1.208716	1	0
46	x020559	x018930	0.300560	0.885057	page	0.123377	0.467532	0.358157	1.992278	0.039604	22.180556	0.013889	1.237418	8	8
47	x020630	x018929	0.300404	0.816514	page	0.134831	0.550562	0.479133	1.789888	0.049505	21.020408	0.000000	1.218947	3	4
48	x008691	x009437	0.299650	0.793814	page	0.025974	0.207792	0.172908	2.327087	0.019802	23.062500	0.000000	0.605414	1	0
49	x021400	x000055	0.299559	0.867550	page	0.022901	0.213740	0.157600	1.697648	0.0693069	25.892857	0.000000	0.923545	1	0
50	x021403	x012697	0.299207	0.876543	page	0.049296	0.225352	0.178924	3.234231	0.00990099	20.500000	0.000000	0.895124	1	1
51	x021400	x018928	0.298477	0.867550	page	0.083969	0.320611	0.266415	2.722483	0.019802	21.714286	0.000000	1.298525	1	2
52	x009248	x018929	0.297437	0.936909	page	0.060606	0.360269	0.222396	2.374190	0.00990099	23.065421	0.000000	1.370856	5	10
53	x020630	x000053	0.297227	0.816514	page	0.022472	0.224719	0.204878	2.666477	0.00990099	29.750000	0.000000	0.756711	1	0
54	x008690	x000055	0.295771	0.819820	page	0.021978	0.230769	0.206208	2.580068	0.00990099	23.619048	0.000000	0.867191	1	0
55	x009438	x001055	0.295250	0.800000	page	0.018868	0.106918	0.056918	2.676901	0.019802	25.058824	0.000000	0.583213	1	0
56	x020630	x019268	0.294773	0.816514	page	0.033708	0.292135	0.235317	1.992248	0.049505	26.269231	0.000000	0.765847	2	0
57	x021402	x000713	0.294433	0.871795	page	0.014706	0.198529	0.156276	1.695462	0.049505	21.296296	0.037037	0.943188	1	0
58	x008688	x000054	0.294231	0.824561	page	0.085106	0.212766	0.191787	3.541572	0.00990099	16.050000	0.100000	0.826713	0	1
59	x010010	x018929	0.292867	0.902439	page	0.108108	0.394595	0.271671	2.196927	0.00990099	20.520548	0.000000	1.293854	4	6
60	x009248	x009251	0.291387	0.936909	page	0.084175	0.309764	0.099408	2.742721	0.00990099	19.565217	0.010870	0.870543	5	7
61	x001052	x012697	0.291319	0.797980	page	0.025316	0.278481	0.228481	1.665333	0.0792079	25.045455	0.000000	0.798393	2	0
62	x000696	x018930	0.290258	0.615385	page	0.062500	0.500000	0.475694	2.119721	0.0594059	22.812500	0.000000	1.346338	1	0
63	x021402	x018928	0.290250	0.871795	page	0.080882	0.316176	0.260232	1.397948	0.118812	17.744186	0.000000	1.303831	5	0
64	x002553	x018928	0.289895	0.615385	page	0.156250	0.656250	0.635271	2.888443	0.00990099	20.142857	0.142857	1.196571	0	1
65	x020107	x018928	0.289631	0.649123	page	0.135135	0.567568	0.551833	2.837760	0.00990099	17.047619	0.000000	1.199785	0	1
