target_a	target_b	control_rank	control_a	control_b	frequency_match_score	regime_js	distance_js_1_5	regime_concentration_a	regime_concentration_b
x009968	x020559	1	x008945	x009971	0	0.7938105526835162	0.14340533528196642	0.002425635855369469	0.0023743091425618788
x009968	x020559	2	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009968	x020559	3	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
x009971	x020558	1	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009971	x020558	2	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
x009971	x020558	3	x015853	x021400	0	0.8365162560726673	0.11314209624176583	0.0023468471703532705	0.002331021395328407
x009970	x020559	1	x008945	x009971	0	0.7938105526835162	0.14340533528196642	0.002425635855369469	0.0023743091425618788
x009970	x020559	2	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009970	x020559	3	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
x009971	x020556	1	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009971	x020556	2	x015853	x021400	0	0.8365162560726673	0.11314209624176583	0.0023468471703532705	0.002331021395328407
x009971	x020556	3	x015855	x021400	0	0.8253658462836503	0.11749747073576991	0.0022563247736136233	0.002331021395328407
x009969	x020558	1	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009969	x020558	2	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
x009969	x020558	3	x015853	x021400	0	0.8365162560726673	0.11314209624176583	0.0023468471703532705	0.002331021395328407
x009970	x020556	1	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009970	x020556	2	x015853	x021400	0	0.8365162560726673	0.11314209624176583	0.0023468471703532705	0.002331021395328407
x009970	x020556	3	x015855	x021400	0	0.8253658462836503	0.11749747073576991	0.0022563247736136233	0.002331021395328407
x009971	x020559	1	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009971	x020559	2	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
x009971	x020559	3	x008707	x015853	0	0.7960223923518291	0.09031237485293638	0.0024199654926126022	0.0023468471703532705
x009970	x020558	1	x008945	x009971	0	0.7938105526835162	0.14340533528196642	0.002425635855369469	0.0023743091425618788
x009970	x020558	2	x008688	x012121	0	0.8076966219408299	0.10748294575775377	0.002409894536555047	0.0023898710832371437
x009970	x020558	3	x008706	x015853	0	0.7991103959876842	0.11257617657670367	0.002375654109164314	0.0023468471703532705
