job_id	branch	corpus_id	generator_variant	scale	replicate	tokens	protocol_layer	seed	config_sha256	input_path	input_sha256
j-97e4883b61fb0c87d8e6	S	s-9cd898e03523	1	SMALL	0	512	HISTORICAL_REPLICATION	2893170267363792783	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r00.txt	52cfeb0e2522667e0eb16d1c0ea7b13a4b5adb02ed5ca58c212c842831365c01
j-6153045364a12302bede	S	s-9cd898e03523	1	SMALL	1	512	HISTORICAL_REPLICATION	12166122804673930339	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r01.txt	0294ec4c0ec8ae2cc06ba7c5f0d7c9e5d710d8eeece7f5bc805e70a64a8d70c3
j-26bfc51381f969befea5	S	s-9cd898e03523	1	SMALL	2	512	HISTORICAL_REPLICATION	152922701493645734	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r02.txt	78486f7faaa1dba394bdee9859c3f1fe2edaca123bbbce10f08ab5f37dd1fb4d
j-2a9ad64190c9e6d60257	S	s-9cd898e03523	1	SMALL	3	512	HISTORICAL_REPLICATION	2718526796746178301	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r03.txt	f02fbc2e0b62c20fc305cc19ede172508e219f5068887b2cf7f537d5c103a043
j-884e0c5866153c1c4e28	S	s-9cd898e03523	1	SMALL	4	512	HISTORICAL_REPLICATION	11830176574981122473	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r04.txt	76b3055eed824a55c101bd5e1b7613884ac223d87b6b7bd094fb3f7f0cb34614
j-06d54e6b2703a3e9fc12	S	s-9cd898e03523	1	SMALL	5	512	HISTORICAL_REPLICATION	12009113777480840219	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r05.txt	8ed058af453ee43f4f7edc46ac9e59e0e73e75700d064997fff8eb2c0e30f6db
j-3d040ab4d14d99ceb316	S	s-9cd898e03523	1	SMALL	6	512	HISTORICAL_REPLICATION	11291475190264637695	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r06.txt	b4319eacc82f193dbd8fc3e11aebd6d8e5561facd398a374725099681830e8e7
j-839940c0e23c5de9819e	S	s-9cd898e03523	1	SMALL	7	512	HISTORICAL_REPLICATION	15066619668972747372	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/small/r07.txt	708a37165499c39f8bdb88fbd99c0365793897113cd0613d526f1afb79fa3ffb
j-4c69fcb20eedb0049144	S	s-9cd898e03523	1	MEDIUM	0	2048	HISTORICAL_REPLICATION	4425826291417588787	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/medium/r00.txt	e557c083f6dde2e32f84d7036df2e09ed0be78612448498d91bb71f280e806be
j-0d1861caae203af0281c	S	s-9cd898e03523	1	MEDIUM	1	2048	HISTORICAL_REPLICATION	8969964256844675245	0b7675863c073b6e8a95656a1680d1dc0b7f4b59b30f089f52a21b9971559d9d	research/phase3/task86c/inputs/s-9cd898e03523/medium/r01.txt	acecdc237ab710d8cd67b1b479ca2c7fc4ea21c275c94d2036694c014bbc81fb
