opaque_id	generator_variant	scale	tokens	replicate	path
s-9cd898e03523	1	SMALL	512	0	research/phase3/task86c/inputs/s-9cd898e03523/small/r00.txt
s-9cd898e03523	1	SMALL	512	1	research/phase3/task86c/inputs/s-9cd898e03523/small/r01.txt
s-9cd898e03523	1	SMALL	512	2	research/phase3/task86c/inputs/s-9cd898e03523/small/r02.txt
s-9cd898e03523	1	SMALL	512	3	research/phase3/task86c/inputs/s-9cd898e03523/small/r03.txt
s-9cd898e03523	1	SMALL	512	4	research/phase3/task86c/inputs/s-9cd898e03523/small/r04.txt
s-9cd898e03523	1	SMALL	512	5	research/phase3/task86c/inputs/s-9cd898e03523/small/r05.txt
s-9cd898e03523	1	SMALL	512	6	research/phase3/task86c/inputs/s-9cd898e03523/small/r06.txt
s-9cd898e03523	1	SMALL	512	7	research/phase3/task86c/inputs/s-9cd898e03523/small/r07.txt
s-9cd898e03523	1	MEDIUM	2048	0	research/phase3/task86c/inputs/s-9cd898e03523/medium/r00.txt
s-9cd898e03523	1	MEDIUM	2048	1	research/phase3/task86c/inputs/s-9cd898e03523/medium/r01.txt
s-9cd898e03523	1	MEDIUM	2048	2	research/phase3/task86c/inputs/s-9cd898e03523/medium/r02.txt
s-9cd898e03523	1	MEDIUM	2048	3	research/phase3/task86c/inputs/s-9cd898e03523/medium/r03.txt
s-9cd898e03523	1	MEDIUM	2048	4	research/phase3/task86c/inputs/s-9cd898e03523/medium/r04.txt
s-9cd898e03523	1	MEDIUM	2048	5	research/phase3/task86c/inputs/s-9cd898e03523/medium/r05.txt
s-9cd898e03523	1	MEDIUM	2048	6	research/phase3/task86c/inputs/s-9cd898e03523/medium/r06.txt
s-9cd898e03523	1	MEDIUM	2048	7	research/phase3/task86c/inputs/s-9cd898e03523/medium/r07.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	0	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r00.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	1	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r01.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	2	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r02.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	3	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r03.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	4	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r04.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	5	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r05.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	6	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r06.txt
s-9cd898e03523	1	VOYNICH_SCALE	38000	7	research/phase3/task86c/inputs/s-9cd898e03523/voynich_scale/r07.txt
s-9cd898e03523	1	LARGE	65536	0	research/phase3/task86c/inputs/s-9cd898e03523/large/r00.txt
s-9cd898e03523	1	LARGE	65536	1	research/phase3/task86c/inputs/s-9cd898e03523/large/r01.txt
s-9cd898e03523	1	LARGE	65536	2	research/phase3/task86c/inputs/s-9cd898e03523/large/r02.txt
s-9cd898e03523	1	LARGE	65536	3	research/phase3/task86c/inputs/s-9cd898e03523/large/r03.txt
s-9cd898e03523	1	LARGE	65536	4	research/phase3/task86c/inputs/s-9cd898e03523/large/r04.txt
s-9cd898e03523	1	LARGE	65536	5	research/phase3/task86c/inputs/s-9cd898e03523/large/r05.txt
s-9cd898e03523	1	LARGE	65536	6	research/phase3/task86c/inputs/s-9cd898e03523/large/r06.txt
s-9cd898e03523	1	LARGE	65536	7	research/phase3/task86c/inputs/s-9cd898e03523/large/r07.txt
s-aab291e34c5e	2	SMALL	512	0	research/phase3/task86c/inputs/s-aab291e34c5e/small/r00.txt
s-aab291e34c5e	2	SMALL	512	1	research/phase3/task86c/inputs/s-aab291e34c5e/small/r01.txt
s-aab291e34c5e	2	SMALL	512	2	research/phase3/task86c/inputs/s-aab291e34c5e/small/r02.txt
s-aab291e34c5e	2	SMALL	512	3	research/phase3/task86c/inputs/s-aab291e34c5e/small/r03.txt
s-aab291e34c5e	2	SMALL	512	4	research/phase3/task86c/inputs/s-aab291e34c5e/small/r04.txt
s-aab291e34c5e	2	SMALL	512	5	research/phase3/task86c/inputs/s-aab291e34c5e/small/r05.txt
s-aab291e34c5e	2	SMALL	512	6	research/phase3/task86c/inputs/s-aab291e34c5e/small/r06.txt
s-aab291e34c5e	2	SMALL	512	7	research/phase3/task86c/inputs/s-aab291e34c5e/small/r07.txt
s-aab291e34c5e	2	MEDIUM	2048	0	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r00.txt
s-aab291e34c5e	2	MEDIUM	2048	1	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r01.txt
s-aab291e34c5e	2	MEDIUM	2048	2	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r02.txt
s-aab291e34c5e	2	MEDIUM	2048	3	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r03.txt
s-aab291e34c5e	2	MEDIUM	2048	4	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r04.txt
s-aab291e34c5e	2	MEDIUM	2048	5	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r05.txt
s-aab291e34c5e	2	MEDIUM	2048	6	research/phase3/task86c/inputs/s-aab291e34c5e/medium/r06.txt
