job_id	opaque_corpus_id	scale	seed	adequate_models	minimal_class	token_formation_depth	requested_negatives	constructible_negatives	PM6_available	failure_reasons
j-0024f9af1c5807209dfc	n-7c11b2253ac5	SMALL	14288481470233014151		NONE	NOT_IDENTIFIABLE	103	103	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01d4ab1f26075c2f7425	n-184e645d098d	LARGE	16300054289431364723		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-057ab57a9944883fa101	n-7c11b2253ac5	VOYNICH_SCALE	17049714771898073397		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-06fd18612fea6c153886	n-9983e806e6a4	MEDIUM	4064643027668033560		NONE	NOT_IDENTIFIABLE	410	410	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-077d167ca6c8ea9d86da	n-9983e806e6a4	LARGE	1563752772964917035		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-092a7b0c1abcfdcbbb88	n-9983e806e6a4	VOYNICH_SCALE	2631091996672434364		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09dd602f4d4f0826c4de	n-9983e806e6a4	MEDIUM	17716580807201181214		NONE	NOT_IDENTIFIABLE	410	410	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0d452011cf538cf9106c	n-9983e806e6a4	MEDIUM	14488984407143124965		NONE	NOT_IDENTIFIABLE	410	410	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-109269e463a31e656fb2	n-7c11b2253ac5	LARGE	14537102242132938579		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-1d6c4f58ab8ed5003e6a	n-9983e806e6a4	LARGE	3527203754346031176		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-1ed28b5a8b4a1af1a6d6	n-9983e806e6a4	SMALL	12251322932730192498		NONE	NOT_IDENTIFIABLE	103	103	true	M0:COMPLEXITY_UNBOUNDED;M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-2368c0dd2e8530e6b854	n-9983e806e6a4	MEDIUM	14766523393028816642		NONE	NOT_IDENTIFIABLE	410	410	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-2dbf95f111305bd65567	n-184e645d098d	LARGE	2448953414204859170		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-3256271c7ea4dbfa7b32	n-7c11b2253ac5	LARGE	10876670462645709693		NONE	NOT_IDENTIFIABLE	13108	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-32a0d678f36dc547ac34	n-184e645d098d	MEDIUM	15318136871272225886		NONE	NOT_IDENTIFIABLE	410	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-352d4280c0319c2c9e2e	n-7c11b2253ac5	MEDIUM	8465806400560675334		NONE	NOT_IDENTIFIABLE	410	410	true	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-3572cc64f8d5877c5516	n-7c11b2253ac5	VOYNICH_SCALE	11213217320552322271		NONE	NOT_IDENTIFIABLE	7600	0	false	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
