scale	ground_truth	M0	M1	M2	M3	M4	M5	NONE	INCONCLUSIVE
LARGE	M0	0	0	0	0	0	0	24	0
LARGE	M1	0	0	0	0	0	0	24	0
LARGE	M2	0	0	0	0	0	0	24	0
LARGE	M3	0	0	0	0	0	0	24	0
LARGE	M4	0	0	0	0	0	0	24	0
LARGE	M5	0	0	0	0	0	0	24	0
MEDIUM	M0	0	0	0	0	0	0	24	0
MEDIUM	M1	0	0	0	0	0	0	24	0
MEDIUM	M2	0	0	0	0	0	0	24	0
MEDIUM	M3	0	0	0	0	0	0	24	0
MEDIUM	M4	0	0	0	0	0	0	24	0
MEDIUM	M5	0	0	0	0	0	0	24	0
SMALL	M0	0	0	0	0	0	0	24	0
SMALL	M1	0	0	0	0	0	0	24	0
SMALL	M2	0	0	0	0	0	0	24	0
SMALL	M3	0	0	0	0	0	0	24	0
SMALL	M4	0	0	0	0	0	0	24	0
SMALL	M5	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M0	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M1	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M2	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M3	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M4	0	0	0	0	0	0	24	0
VOYNICH_SCALE	M5	0	0	0	0	0	0	24	0
