opaque_id	ground_truth_class	theoretical_minimal_class	implementation	variant
s-9cd898e03523	M0	M0	INDEPENDENT	1
s-aab291e34c5e	M0	M0	INDEPENDENT	2
s-09791ffb8ffa	M0	M0	INDEPENDENT	3
s-2af7a06b0667	M1	M1	INDEPENDENT	1
s-3b27442e22a6	M1	M1	INDEPENDENT	2
s-1d31695c4e69	M1	M1	INDEPENDENT	3
s-f4054cfa9ec9	M2	M2	INDEPENDENT	1
s-5a165cc265b7	M2	M2	INDEPENDENT	2
s-e98255971d80	M2	M2	INDEPENDENT	3
s-e2cc3e1401d3	M3	M3	INDEPENDENT	1
s-c13a20c1b1a6	M3	M3	INDEPENDENT	2
s-614cdbd81cbf	M3	M3	INDEPENDENT	3
s-8f8dc60ab0b4	M4	M4	INDEPENDENT	1
s-47b9317c1ee7	M4	M4	INDEPENDENT	2
s-4a57d700bac6	M4	M4	INDEPENDENT	3
s-7991a2a78396	M5	M5	INDEPENDENT	1
s-665090602867	M5	M5	INDEPENDENT	2
s-b64b9d917e62	M5	M5	INDEPENDENT	3
