job_id	branch	corpus	scale	failure_classes
j-0024f9af1c5807209dfc	N	n-7c11b2253ac5	SMALL	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-005d1f8c3789eec58d39	S	s-1d31695c4e69	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-011e192a0487150406fc	S	s-614cdbd81cbf	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0183c25414e43b3d67e9	S	s-614cdbd81cbf	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-018ef319605a204ad28c	S	s-47b9317c1ee7	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01a41d387e12c344be8f	S	s-8f8dc60ab0b4	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01d3220f816378b870d0	S	s-f4054cfa9ec9	SMALL	M0:COMPLEXITY_UNBOUNDED;M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01d4ab1f26075c2f7425	N	n-184e645d098d	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-01e16589a0b5d86ed10c	S	s-aab291e34c5e	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M5:NEGATIVE_EXHAUSTED
j-0214dc7c32bafb01a5e4	S	s-4a57d700bac6	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-02529b43cdfc6f5a3b3e	S	s-7991a2a78396	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-02b68a5f29d3a6b245a8	S	s-3b27442e22a6	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-04f51bbc4eda2a979c0b	S	s-614cdbd81cbf	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-052b0d81865b51c5c6d8	S	s-7991a2a78396	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-054770589fb40ca63844	S	s-47b9317c1ee7	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-057ab57a9944883fa101	N	n-7c11b2253ac5	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-065b27687e83559fa883	S	s-8f8dc60ab0b4	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0673d9982d28d4024507	S	s-8f8dc60ab0b4	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-067fd495f31882f90627	S	s-e2cc3e1401d3	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-06d54e6b2703a3e9fc12	S	s-9cd898e03523	SMALL	M0:NEGATIVE_EXHAUSTED;M1:NEGATIVE_EXHAUSTED;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M5:NEGATIVE_EXHAUSTED
j-06fd18612fea6c153886	N	n-9983e806e6a4	MEDIUM	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-07285375e79939a4e232	S	s-665090602867	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-077d167ca6c8ea9d86da	N	n-9983e806e6a4	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-078b86ba85425f0157a3	S	s-7991a2a78396	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-07b3e152b58ad5a06c2a	S	s-c13a20c1b1a6	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0906a166d58ef13dab6b	S	s-b64b9d917e62	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-092a7b0c1abcfdcbbb88	N	n-9983e806e6a4	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0974407dd8bcff0b56d7	S	s-e98255971d80	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED
j-09a7b7261556707822db	S	s-3b27442e22a6	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED
j-09ae0e0083558b9322f9	S	s-b64b9d917e62	MEDIUM	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09ae983e73510328fe3a	S	s-c13a20c1b1a6	SMALL	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:NEGATIVE_EXHAUSTED;M3:NUMERICALLY_UNSTABLE;M4:NEGATIVE_EXHAUSTED;M4:NUMERICALLY_UNSTABLE;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09dd602f4d4f0826c4de	N	n-9983e806e6a4	MEDIUM	M0:NUMERICALLY_UNSTABLE;M1:NUMERICALLY_UNSTABLE;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-09eb4e5fa6a2c1b6e3a3	S	s-5a165cc265b7	LARGE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
j-0a1637495e92866bc0fb	S	s-2af7a06b0667	VOYNICH_SCALE	M0:NEGATIVE_EXHAUSTED;M0:NUMERICALLY_UNSTABLE;M1:NEGATIVE_EXHAUSTED;M1:NUMERICALLY_UNSTABLE;M2:NEGATIVE_EXHAUSTED;M2:NUMERICALLY_UNSTABLE;M3:TRAINING_FAILED;M4:TRAINING_FAILED;M5:NEGATIVE_EXHAUSTED;M5:NUMERICALLY_UNSTABLE
