job_id	node	attempt	infrastructure_status	scientific_status	result_sha256	started_utc	finished_utc
j-0024f9af1c5807209dfc	cognition	1	OK	OK	c8f21743cb3f0394df4dbbb11f4c43bfec33c68d965f36652360e0beae1d6bfb	2026-08-26T12:28:56.346972076Z	2026-08-26T12:29:12.976826579Z
j-005d1f8c3789eec58d39	adelie	1	OK	OK	7b36c1de56a3784a62a23cf2ed52cc24a10c4cf4f7181d4344519d1bb17a79ae	2026-08-26T11:22:03.810739082Z	2026-08-26T12:01:35.857373969Z
j-011e192a0487150406fc	cognition	1	OK	OK	217c6ca697cdea2b654a6151c5f94020006cad30ecd10ccd549f5787db80c418	2026-08-26T11:57:10.300568757Z	2026-08-26T11:57:26.03790593Z
j-0183c25414e43b3d67e9	adelie	1	OK	OK	00773e18227e14144ec89bf1b2b57ce35f2a294fbbf4dcbad1cd7d206c9f7171	2026-08-26T13:57:07.620595594Z	2026-08-26T13:57:28.001543303Z
j-018ef319605a204ad28c	cognition	1	OK	OK	598720a687356d0c038f8fb4974b52f1749d62ce609bbb456edf4c9e6664ed84	2026-08-26T12:05:11.231120806Z	2026-08-26T12:05:33.900420217Z
j-01a41d387e12c344be8f	adelie	1	OK	OK	dfad4448bb3887e0513e5d272888a86e1aae50a17aa83bf65990bc05b82006ae	2026-08-26T14:07:35.777068216Z	2026-08-26T14:07:48.079830235Z
j-01d3220f816378b870d0	cognition	1	OK	OK	a2b3c3ba8574b65266352bec22148db7cba06b97c187e89937311f59b24e72b4	2026-08-26T10:43:24.296240943Z	2026-08-26T10:43:32.991709189Z
j-01d4ab1f26075c2f7425	adelie	1	OK	OK	6f05ee12cf1bf2c433aafa492885758b5908a25e693262ccd340ed3d451188a2	2026-08-26T15:02:23.092465788Z	2026-08-26T15:36:10.09939453Z
j-01e16589a0b5d86ed10c	adelie	1	OK	OK	cfdb18cf419b17aa21c1273a7c549dfa8fed78471885563bcbe4e0715b549c29	2026-08-26T09:57:18.554682436Z	2026-08-26T09:58:55.323420151Z
j-0214dc7c32bafb01a5e4	cognition	1	OK	OK	6003c8d1b9f3abddbc2057cd51de2a6d6ab9bd774c311b19b52a6806a4e4b685	2026-08-26T12:08:34.454904174Z	2026-08-26T12:08:44.148576739Z
j-02529b43cdfc6f5a3b3e	adelie	1	OK	OK	8c185cd26dcdf9b045a9a2814491e80ec744cdd74de6d440366933c1761731e5	2026-08-26T14:35:36.286433891Z	2026-08-26T14:45:31.121101864Z
j-02b68a5f29d3a6b245a8	adelie	1	OK	OK	bb7e2eb1a3508b2cd1abb7c66db28161bef0c1585c44e94a3b4f45f89e6204ff	2026-08-26T10:43:57.956136565Z	2026-08-26T11:25:57.355022589Z
