mechanism_id	parameter_set_id	replicate	observable_checksum	distinct_preimages	preimage_ids	job_ids
f11_arismetricum_core	f11-core-default	0	5f9e37d00484aec4ce4f056bdc52ed5cd7240c8c202dc88ac483f01bdd8077cb	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	1f99f12fe85982d774ffaf061b43ed26,c3cb748b35edf1ea75934b96d6502325,d1b6f04bb985788dcec13bc61fc23d07
f11_arismetricum_core	f11-core-default	1	5f9e37d00484aec4ce4f056bdc52ed5cd7240c8c202dc88ac483f01bdd8077cb	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	03060572e90c37c17f0b954b10f27a8c,5580d2db896ba541eb9cceca3eaf9ffc,c197256ee4be217768a3ffdbb1c9988e
f12_horalogius_core	f12-cycle-default	0	d510ff86073ab1d4823ade3eeffff4c20b3786909966218aa5a83e37d319bc82	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	4a71625a87030756903327018ec93cd4,59feb492b5387bd14531f5c8539d203b,f5829bbdd88488f322ef2d84936409e7
f12_horalogius_core	f12-cycle-default	1	d510ff86073ab1d4823ade3eeffff4c20b3786909966218aa5a83e37d319bc82	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	9e2394d3f135485cd537841e37f8571d,e7a44c4e80d6b2e479f0683c4c2d6105,ff7b07a12f2330dd83047be8d8c9394b
m_restricted_rotation_index	rotation-index-small	0	8587671c55454d46d709cdece69ef2852972f47627d215d87f11f84107685e08	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	0caa51b52e10e4c6656d04653a0749bc,630dc8810c67418dd5db1c4820a33a08,9c61c99c288d3f3121de9408e886bcae
m_restricted_rotation_index	rotation-index-small	1	8587671c55454d46d709cdece69ef2852972f47627d215d87f11f84107685e08	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	314244f919388b2d0a396996879d4546,ca56876e96e2eddfa96edd1230640799,cdf5dfe7305735e3bdf8c95fcfc0279e
m_restricted_storage_associate	storage-associate-small	0	fc96b28b101a452737e691170d074f14321202dab8474e8230df9d7af616d1e1	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	89d431934119ce141f86a4c528c0df3d,c570c6e98ac8dfa8c1973ae66f77a953,fc60dc622fb66e4f5d46b8ae513ab7eb
m_restricted_storage_associate	storage-associate-small	1	fc96b28b101a452737e691170d074f14321202dab8474e8230df9d7af616d1e1	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	2dc7ceaf83de7dc2dec9877bb24962e8,56c3c4b6d3258beb43392dd32e50c92c,f143c72224c0b5df2ebd017d2a323d87
negative_randomized_cue_association	f12-cycle-default	0	ef575303b248fe092990762c09dab82239e76617c66c5903dc19bc3631b776ae	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	1594ee4b628265ee5a899e6039493b0c,4a8113cafd5afbe6fed140688e31b8b8,55fe095d8a2e9aa845a23d2e84db7361
negative_randomized_cue_association	f12-cycle-default	1	ef575303b248fe092990762c09dab82239e76617c66c5903dc19bc3631b776ae	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	1c458aa7832973e37d17055a35d701cb,6f2cc21626d7a3197c32455982af16c7,fa014c7b98894389ef51fd175ec4fb2a
negative_randomized_index_mapping	f11-core-default	0	9df67953e2718e8d272c9ced27d98dc8648b9d32c6326b623a3c9f2e22e60c8e	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	b8321a2045304ff658720ab8feed1953,e187c5c9cb496141e78f5a25e3cdbabb,fb156d95831d432ded6d0d0dff7e2c00
negative_randomized_index_mapping	f11-core-default	1	9df67953e2718e8d272c9ced27d98dc8648b9d32c6326b623a3c9f2e22e60c8e	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	2dc7c0076629096f77852b3e94e46bf1,3880bfde781b6265d693308de5313076,97f172d0f2662b45808596033582aca3
synthetic_ambiguous	storage-associate-small	0	01217e8ee3131f7c4436e53eaf1c478536f1295916023e72e8a5128322387197	3	0b260c8ae9ee7dcfd8c334e174b32ec433d37792ecfa783137b0bd38a956cc80,550dc8eccbc3f4192abec83fbc738b352512d437adc5759b38229719f786980a,95bdc2940f56a69e28ac912245d40a601ae329fc42aeec489a3557fc7416c398	732a4b420b5a5c7895a47f4588c89730,74094516a8021532eb924baa45ccffa5,a5525f1f4aea4b07bad26da04898e29d
