family	mechanism_count	mechanisms	r0_exact_rate	r0_mean_recovery
F01_LITERAL_ROTATIONAL_STORAGE	2	f01_speculum_core,f01_speculum_profile_latin23_r12	1.000000	1.000000
F08_ORDERED_POSITIONAL_STORAGE	1	f08_serpens_core	1.000000	1.000000
F11_INDEXED_OPAQUE_CUE	1	f11_arismetricum_core	1.000000	1.000000
F12_TEMPORAL_ASSOCIATIVE_CUE	1	f12_horalogius_core	1.000000	1.000000
GENERIC_AMBIGUOUS	1	synthetic_ambiguous	1.000000	1.000000
GENERIC_CUE_BASED	1	synthetic_cue_based	1.000000	1.000000
GENERIC_CYCLIC_STATE	1	synthetic_cyclic_state	0.000000	0.000000
GENERIC_INDEXED_LOOKUP	1	synthetic_indexed_lookup	1.000000	1.000000
GENERIC_LITERAL_STORAGE	1	synthetic_literal_storage	1.000000	1.000000
M_RESTRICTED_ROTATION_INDEX	1	m_restricted_rotation_index	1.000000	1.000000
M_RESTRICTED_STORAGE_ASSOCIATION	1	m_restricted_storage_associate	1.000000	1.000000
NEGATIVE_RANDOMIZED_CONVENTION	1	negative_randomized_convention	0.000000	0.000000
NEGATIVE_RANDOMIZED_CUE_ASSOCIATION	1	negative_randomized_cue_association	0.000000	0.000000
NEGATIVE_RANDOMIZED_INDEX_MAPPING	1	negative_randomized_index_mapping	0.000000	0.000000
NEGATIVE_RANDOMIZED_PATH	1	negative_randomized_path	0.000000	0.166667
