job_id	mechanism_id	corpus_id	condition	H_M_semantics	H_X_plugin_bits	H_M_given_X_semantics	H_M_given_X_proxy_bits	retained_count_proxy	lost_count_proxy	estimator_warning
7370f36035a3bdf53fc64a5c2329a14f	f01_speculum_core	Doyle	R0_FULL_KNOWLEDGE	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
a93d11335071d0d27b0f9ccccb05f146	f01_speculum_core	Doyle	R1_NO_CONTEXT	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
cfe13d0d20394c5718aa0129192c1431	f01_speculum_core	Doyle	R2_NO_CONVENTION	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
10906a5a11bd3ae92864a98878747e0b	f01_speculum_core	Doyle	R3_NO_PATH_GEOMETRY	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
3fa2e45fcf8421ccdf847a49f1203ee5	f01_speculum_core	Doyle	R4_NO_HISTORY	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
d71467105909ad6b6511bde5675b9c93	f01_speculum_core	Doyle	R5_NO_INTERNAL_MEMORY	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
5e7cacea749d61ff7733ec739bde8278	f01_speculum_core	Doyle	R6_OBSERVABLE_ONLY	NOT_ESTIMATED_SINGLE_INPUT	3.584963	LOG2_AMBIGUITY_CARDINALITY_PROXY	4.584963	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
8ecf62ae84a25da509dd9ae642a3a0c9	f01_speculum_core	Doyle	R0_FULL_KNOWLEDGE	NOT_ESTIMATED_SINGLE_INPUT	3.251629	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
017c4aee433cee6e080d8389ca3078a4	f01_speculum_core	Doyle	R1_NO_CONTEXT	NOT_ESTIMATED_SINGLE_INPUT	3.251629	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
d28c03bb01ff777a707760d76c6b5dba	f01_speculum_core	Doyle	R2_NO_CONVENTION	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
720a39353153d0e3f7eb9c38bf51640d	f01_speculum_core	Doyle	R3_NO_PATH_GEOMETRY	NOT_ESTIMATED_SINGLE_INPUT	3.418296	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
198ea35e04b336b52886e4bf6144cfad	f01_speculum_core	Doyle	R4_NO_HISTORY	NOT_ESTIMATED_SINGLE_INPUT	3.084963	LOG2_AMBIGUITY_CARDINALITY_PROXY	0.000000	8.000000	0.000000	bounded empirical descriptors; not population Shannon quantities
