mechanism_id	parameter_set_id	corpus_id	replicate	r0_score	delta_context	delta_convention	delta_geometry	delta_history	delta_internal_memory	seed_pairing_warning
f01_speculum_core	f01-core-bounded	Doyle	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_core	f01-core-bounded	Longfellow	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_core	f01-core-bounded	Longfellow	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_core	f01-core-bounded	Astafiev	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_core	f01-core-bounded	Astafiev	1	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
f01_speculum_core	f01-core-bounded	Doyle	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
m_restricted_rotation_index	rotation-index-small	Doyle	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_rotation_index	rotation-index-small	Doyle	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_rotation_index	rotation-index-small	Longfellow	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_rotation_index	rotation-index-small	Longfellow	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_rotation_index	rotation-index-small	Astafiev	0	1.000000	0.500000	1.000000	NA	NA	NA	NA
m_restricted_rotation_index	rotation-index-small	Astafiev	1	1.000000	0.500000	1.000000	NA	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Longfellow	0	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Longfellow	1	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Astafiev	0	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Astafiev	1	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Doyle	0	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_literal_storage	f08-centre-edge-small	Doyle	1	1.000000	NA	0.900000	0.833333	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Astafiev	0	0.000000	NA	NA	NA	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Astafiev	1	0.000000	NA	NA	NA	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Doyle	0	0.000000	NA	NA	NA	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Doyle	1	0.000000	NA	NA	NA	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Longfellow	0	0.000000	NA	NA	NA	NA	NA	NA
synthetic_cyclic_state	f12-cycle-default	Longfellow	1	0.000000	NA	NA	NA	NA	NA	NA
f12_horalogius_core	f12-cycle-default	Doyle	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
f12_horalogius_core	f12-cycle-default	Doyle	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
f12_horalogius_core	f12-cycle-default	Longfellow	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
f12_horalogius_core	f12-cycle-default	Longfellow	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
f12_horalogius_core	f12-cycle-default	Astafiev	0	1.000000	0.500000	NA	NA	NA	1.000000	NA
f12_horalogius_core	f12-cycle-default	Astafiev	1	1.000000	0.500000	NA	NA	NA	1.000000	NA
negative_randomized_convention	f01-core-bounded	Longfellow	0	0.000000	NA	-0.041667	NA	NA	NA	condition-specific seeds
negative_randomized_convention	f01-core-bounded	Longfellow	1	0.000000	NA	-0.041667	NA	NA	NA	condition-specific seeds
negative_randomized_convention	f01-core-bounded	Astafiev	0	0.000000	NA	-0.041667	NA	NA	NA	condition-specific seeds
negative_randomized_convention	f01-core-bounded	Astafiev	1	0.000000	NA	-0.041667	NA	NA	NA	condition-specific seeds
negative_randomized_convention	f01-core-bounded	Doyle	0	0.000000	NA	-0.043478	NA	NA	NA	condition-specific seeds
negative_randomized_convention	f01-core-bounded	Doyle	1	0.000000	NA	-0.041667	NA	NA	NA	condition-specific seeds
f01_speculum_profile_latin23_r12	f01-profile-latin23-r12	Astafiev	0	1.000000	0.000000	1.000000	NA	NA	NA	condition-specific seeds
