surface	status	result
vocabulary	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
UNK mapping	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
EOS counting	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
BOS treatment	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
additive alpha	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
fitting	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
fitted serialization	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
VALIDATION prediction	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
HELDOUT prediction	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
PM inputs	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
generation	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
Generator A	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
Generator B	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
categorical order	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
admissible filtering	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
generation renormalization	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
token termination	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
complexity	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
evidence fixtures	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
model goldens	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
generation goldens	PASS	explicit in G1V2_M0_SEMANTICS.json or unchanged transitive authority
