artifact	sha256	v1_2_literal_count	classification	disposition
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	1	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.json	29e39e0c25dc8033f784480fdc537e3ede9eeb69baa0607c9f249d796d6b42dc	3	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-g/G1V2_GENERATION_SEMANTICS_V1.json	45d533f8b83b24c77a96836fa5c2ef95f9b948003bd2ed725fc2ea97e010b310	2	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-g/G1V2_GENERATION_GOLDEN_SUITE_V1.json	143954667073a2c10f1bd59ce98b9c93dd84b50632bb67ea80d0d92449480acb	1	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c/golden/G1V2_GOLDEN_SUITE.json	62236164f737ea56c55c061d9c320248af4be8e02c242263a096ec651cb694a1	0	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-c/registries/G1V2_CANDIDATE_REGISTRY.tsv	96b618ab324db77b8402081075241b275f8925c45cdab058ba741e4beed29b58	0	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-i/G1V2_V1_2_INTEGRATION_SUPPLEMENT_I1.json	35ecf0bfc9a9c27bb63d33b074bc399dd9256692620ee06a54e592e0d1e867b2	8	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-i/G1V2_EXECUTION_IDENTITY_ERRATUM_E2.json	cfaa8c1cb787380baca5a391d077e5d2b855df8bba767ad5b601457e06eb0070	2	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-i/G1V2_V1_2_EVIDENCE_SCHEMA_REGISTRY.json	b89f3e2e0a0d30d8526951717c03527b845687ceebd3f7741c762d0503fe8ca9	16	HISTORICAL_CORRECT	new authority emitted separately; immutable parent preserved
research/phase3/task85c-j/G1_V2_EXECUTABLE_CONTRACT_V1_2_1.json	b1eb452dd9994d63108cae37a19b1945bac3b78b4a2af3a0c080074eff8a5028	6	MUST_REBIND_TO_NEW_CONTRACT	current authority uses exact V1.2.1 identity; parent references explicit provenance only
research/phase3/task85c-j/G1V2_V1_2_1_EVIDENCE_SCHEMA_REGISTRY.json	a1d7af1805a3b0ae1e39003ec7fac12897aad44f29b4e65bee668ea241c9765b	16	MUST_REBIND_TO_NEW_CONTRACT	current authority uses exact V1.2.1 identity; parent references explicit provenance only
research/phase3/task85c-j/G1V2_EXECUTION_IDENTITY_ERRATUM_E3.json	adaa38dbf2a857a0671927cf45e3e8cd31c97bf5a4d445051878ddf3af764d12	3	MUST_REBIND_TO_NEW_CONTRACT	current authority uses exact V1.2.1 identity; parent references explicit provenance only
research/phase3/task85c-j/G1V2_V1_2_1_INTEGRATION_SUPPLEMENT_I2.json	cc84d7f8564d0c196607d22b42bddd60c85905d3d15abd5dd7c485bcb19e9333	2	MUST_REBIND_TO_NEW_CONTRACT	current authority uses exact V1.2.1 identity; parent references explicit provenance only
