artifact	artifact_sha256	section_path_key	rule_golden_id	semantic_role	current_behavior	h_sc03_relevance	repair_required	resulting_authority
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:10:byte:65	outcome	M0 semantic/golden	define their own order; mappings use NFC UTF-8 key order; fitted outcomes are	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:11:byte:47	UNK	M0 semantic/golden	ordinary glyphs in NFC UTF-8 order followed by UNK and EOS. State constraints	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:15:byte:13	M0	M0 semantic/golden	constructed: M0/M2/M3/M5 use a fully ordered exponential race, M1 uses the	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:39:byte:143	UNK	M0 semantic/golden	s. A token is an ordered sequence of Unicode scalar-value glyphs. `<BOS>`, `<EOS>`, and `<UNK>` are reserved ASCII strings impossible as corpus glyphs. The vocabulary is the sorted UTF-8 byte order of DEVELOPMENT glyphs plus `<UNK>` and `<EOS>`; `<BOS>` is context-only. A non-DEVELOPMENT glyph maps to 	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:39:byte:280	UNK	M0 semantic/golden	corpus glyphs. The vocabulary is the sorted UTF-8 byte order of DEVELOPMENT glyphs plus `<UNK>` and `<EOS>`; `<BOS>` is context-only. A non-DEVELOPMENT glyph maps to `<UNK>`. Each token starts with fresh BOS context and contributes one EOS prediction. Empty training data or a nonpositive/invalid normal	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:39:byte:358	UNK	M0 semantic/golden	yphs plus `<UNK>` and `<EOS>`; `<BOS>` is context-only. A non-DEVELOPMENT glyph maps to `<UNK>`. Each token starts with fresh BOS context and contributes one EOS prediction. Empty training data or a nonpositive/invalid normalization constant is `FIT_FAILURE`; a scored zero probability is `NOT_ASSESSABL	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:45:byte:3	M0	M0 semantic/golden	## M0	AUDITED	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:0	M0	M0 semantic/golden	M0 is glyph IID. For outcome `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly th	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:21	outcome	M0 semantic/golden	M0 is glyph IID. For outcome `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid.	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
research/phase3/task85c-g/G1_V2_EXECUTABLE_CONTRACT_V1_2.md	ec60bb23e55ce157fe954b5cafc63d22ab70ecec390822cb63f9ae273142c639	line:47:byte:47	outcome	M0 semantic/golden	M0 is glyph IID. For outcome `x` in vocabulary outcomes `O=A_dev union {UNK,EOS}`, `p(x)=(c(x)+alpha)/(sum_y c(y)+alpha|O|)`. Counts include glyph occurrences and one EOS per token, never BOS. Alpha is exactly the candidate registry grid. Alpha zero with an unseen	YES	NO	G1V2_M0_SEMANTICS.json / V1.2.1 closure
