sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000004 x000032	2	8	8	5	4	4	1	0.375	2.1556390622295662	GROUP_CONSISTENT	ambiguous-transcription	403,187	false	false	true	
x000004 x000046	2	9	9	8	3	3	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	403,118	false	false	true	
x000004 x000048	2	7	7	7	4	4	1	0.14285714285714285	2.807354922057604	GROUP_CONSISTENT	ambiguous-transcription	403,130	false	false	true	
x000004 x000058	2	9	9	8	4	4	1	0.2222222222222222	2.9477027792200903	GROUP_CONSISTENT	ambiguous-transcription	403,115	false	false	true	
x000004 x000059	2	10	10	9	3	3	1	0.2	3.121928094887362	GROUP_CONSISTENT	ambiguous-transcription	403,127	false	false	true	
x000004 x000060	2	7	7	6	2	2	1	0.2857142857142857	2.521640636343318	GROUP_CONSISTENT	ambiguous-transcription	403,101	false	false	true	
x000004 x000134 x000185	3	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	403,34,42	false	false	true	
x000004 x000135	2	11	11	10	4	4	1	0.18181818181818182	3.277613436819116	GROUP_CONSISTENT	ambiguous-transcription	403,57	false	false	true	
x000004 x000261	2	12	12	11	3	3	1	0.16666666666666666	3.418295834054489	GROUP_CONSISTENT	ambiguous-transcription	403,28	false	false	true	
x000004 x000286	2	10	10	9	4	4	1	0.2	3.1219280948873624	GROUP_CONSISTENT	ambiguous-transcription	403,22	false	false	true	
x000005 x000033	2	11	11	9	4	4	1	0.2727272727272727	3.027169118440619	GROUP_CONSISTENT	ambiguous-transcription	436,207	false	false	true	
x000005 x000046	2	9	9	9	4	4	1	0.1111111111111111	3.169925001442312	GROUP_CONSISTENT	ambiguous-transcription	436,118	false	false	true	
x000005 x000047	2	9	9	8	3	3	1	0.2222222222222222	2.94770277922009	GROUP_CONSISTENT	ambiguous-transcription	436,109	false	false	true	
x000005 x000058	2	10	10	10	4	4	1	0.1	3.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	436,115	false	false	true	
x000005 x000059	2	14	14	12	4	4	1	0.14285714285714285	3.521640636343319	GROUP_CONSISTENT	ambiguous-transcription	436,127	false	false	true	
