metric_id	final_classification	metric_version	family	estimator	uncertainty	null_models	weight_policy	missing_data_behavior	stability_status	transcription_stability	comparison_eligibility
2DL1_LAYOUT_POSITION_MI	CORE	task79-v1	2D-LITE	NMI(glyph-length class, normalized line-position class)	permutation null: mean 0.00135884, SD 0.000193337, n=1000	HN1	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	STABLE	CORPUS_COMPARABLE
BP1_BOUNDARY_TOKEN_NMI	CORE	task79-v1	boundary	NMI(token identity, initial/interior/final boundary class)	permutation null: mean 0.048001, SD 0.000416952, n=1000	HN5	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
EF1_GIANT_COMPONENT_SHARE	CORE	lp-ef-v1	edit family	Share of vocabulary types in the largest edit component	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
EF1_ISOLATE_SHARE	SUPPORTING	lp-ef-v1	edit family	Share of isolated vocabulary types in edit graph	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
EF2_GLOBAL_CLUSTERING	CORE	lp-ef-v1	edit family	Global edit-graph clustering coefficient	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	CORE	lp-ef-v1	edit family	Spearman correlation of edit degree and log frequency	see task75/task77 null distributions in raw_results.json	task75/task77 registered nulls	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
HR1_FOLIO_VARIANCE_SHARE	CORE	task79-v1	hierarchy	Between-folio share of line-length variance	permutation null: mean 0.0421272, SD 0.00416596, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
HR1_LOCUS_VARIANCE_SHARE	SUPPORTING	task79-v1	hierarchy	Between-locus share of line-length variance	permutation null: mean 1, SD 8.45575e-15, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	CORPUS_COMPARABLE
HR1_SECTION_VARIANCE_SHARE	CORE	task79-v1	hierarchy	Between-section share of line-length variance	permutation null: mean 0.00131102, SD 0.000715374, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	TASK79C_STABLE_OR_DIRECTION_STABLE	DIRECTION_STABLE	CORPUS_COMPARABLE
HR6_CURRIER_SECTION_NMI	SUPPORTING	task79-v1	hierarchy	NMI for Currier/section metadata association with token length/regime class	permutation null: mean 0.457389, SD 0.000504824, n=1000	HN6	family-balanced (no independent per-metric weight; FINGERPRINT_V2_DISTANCE.md section 3)	exclude missing metadata from inferential contrasts (unchanged from Task79)	UNCHANGED_FROM_TASK79	NOT_IN_SCOPE (SUPPORTING; outside Task79c CORE battery)	VOYNICH_ONLY_CONTEXT
