level	existing_metrics	existing_controls	reliability	known_limitations	missing_properties	expected_discriminating_value	source_artifacts	data_availability_note
glyph	alphabet inventory/frequency (Stage2/3); positional glyph shares init/medial/final (Task59, 6 near-strict specialists); glyph-edge MI last-to-first (Task58); Shannon conditional entropy h1-h4 continuous/boundary-symbol/within-token modes (Task61)	within-token permutation+FDR; natural corpora (Doyle/Longfellow/Astafiev); corrected position-independent H2/H4/H8 homophony; glyph/token/line shuffles	HIGH for positional specialization; MEDIUM for entropy (representation-sensitive, h4 coverage only 0.116)	frequent-glyph subset only (frozen near-strict threshold); coarse 3-way position class (init/medial/final), not full internal-position curve; plug-in entropy estimator, no finite-sample bias correction; single parser/transcription (ZL3b family)	glyph n-gram distributions beyond bigram with explicit coverage reporting; full internal-position-index dependency (not just init/med/final); glyph substitution neighborhoods; length-conditioned and regime-conditioned glyph entropy; prefix/suffix dependency at glyph grain	HIGH — already central to disfavoring simple homophony; extensions mainly sharpen mechanism-space discrimination rather than open new hypothesis space	docs/phase1/VOYNICH_FINGERPRINT_V1.md rows 1-2; experiments/glyph-position-v1/REPORT.md; experiments/character-entropy-v1/REPORT.md	full glyph stream and boundary markers available in canonical parsed corpus; no independent second transcription in-repo for cross-transcription check
within-token	within-token entropy mode (Task61); held-out position-dependent first-order formation model POSITION_MARKOV_1 (Task62, test CE 2.360985 bits/glyph); boundary-conditioned entropy (Task61 boundary-symbol mode)	length/frequency-matched controls; copy/mutate; structured-token positive controls; natural-language controls; validation-only model selection with held-out test blocks	MEDIUM — Task62 status is LOCAL_FORMATION: PARTIAL, SEQUENCE: SEPARATE_SEQUENCE_RULE_REQUIRED	single bounded model class (position-Markov order 1); no explicit prefix/core/suffix decomposition; formation model is global, not conditioned on lexical family or local regime; near-repeat rate under-generated (0.0234 vs TEST 0.0395)	prefix/core/suffix dependency structure; token-length-conditioned formation; family-conditioned and local-regime-conditioned formation; token novelty rate as its own tracked statistic; held-out predictive likelihood reported per condition, not only aggregate CE	HIGH — this is the level at which "how global vs context-dependent is token formation" is decided, a stated central question for v2	docs/phase1/VOYNICH_FINGERPRINT_V1.md implicit via token row; experiments/token-formation-v1/REPORT.md; experiments/token-formation-v1/MODEL_SELECTION.tsv	corpus supports line/regime/Currier/hand conditioning already (internal/metadatavalidation.TokenMetadata); family/paradigm labels do not yet exist (depends on task73b lexical-paradigm design)
token	type/length/rank distributions and vocabulary growth V(N) (baseline Stage2/3/28); corrected adjacent token-identity MI (Task58, 0.090736 bits corrected, 1.099% share)	stage-specific token/block permutations; natural and transformed corpora; 100 within-line shuffles	HIGH for marginals; HIGH for the specific corrected-MI estimate	MI is adjacent-only (lag 1) on a single segmentation convention; capped-entropy normalization is estimator-specific; marginals are well covered so by themselves carry low discriminating value	joint token-length x frequency x position distributions; token novelty/type-recurrence dynamics beyond V(N); held-out predictive likelihood of the token stream itself (not just formation-internal)	MEDIUM for marginals alone (already WELL_COVERED); HIGH when reframed as conditioning variables for joint/cross-scale metrics	docs/phase1/VOYNICH_FINGERPRINT_V1.md row 3; experiments/rozanova-temerev-v1/KEY_100_RESULTS.tsv	token stream and metadata already fully available; no changes needed to reuse as conditioning variable
lexical	adjacent edit-distance<=1 rate with three null families (Task60, 0.058656 vs global 0.025631/line-null 0.050938/matched 0.034936); edit-operation position tabulation (insert/delete concentrate at BEGIN); label-subset near-repeat tabulation (170 pairs, low power)	global shuffle; within-line shuffle; frequency/length matching; natural corpora; corrected H2/H4/H8 homophony dose-response (monotonically away from Voynich)	HIGH for the specific measured adjacency/position statistics; the underlying paradigm-productivity question is UNMEASURED, not merely uncertain	edit-distance proximity is treated as a pairwise geometric fact, never tested for productive, repeated transformation structure; label subset is low-power; no notion of "family", "paradigm" or "productivity" exists in current artifacts	productive token-family identification; repeated prefix/suffix substitution paradigms; insertion/deletion paradigm structure beyond position-only tabulation; paradigm productivity and family branching/depth/overlap/locality; separation of accidental edit-proximity from statistically productive systems	VERY HIGH — this is the single largest explicitly named Phase I gap (WEAKLY_COVERED in v1) and directly feeds H_L vs H_G discrimination	docs/phase1/FINGERPRINT_COVERAGE.md row "lexical paradigms"; experiments/token-repetition-v1/REPORT.md; experiments/token-repetition-v1/EDIT_OPERATION_POSITION.tsv	edit-distance pair data exists; no paradigm/family labeling infrastructure exists yet (task73b/c must specify it)
edit-family	implicit near-repeat pair graph underlying Task60 (adjacent/global/line-null distance<=1 pairs); internal/graphemic package exists for edit/graphemic family construction, used as an input utility rather than analyzed for graph geometry	same null families as the lexical row (global/line/frequency-length shuffles)	LOW for graph-geometry claims specifically — no degree/clustering/component/motif/centrality statistic is reported anywhere in Phase I artifacts read for this audit	report text explicitly warns "graph families are not morphemes"; graph is used as a data structure, not characterized statistically; no test of whether the giant family is simply a consequence of a small, constrained token grammar	degree distribution; clustering coefficient; connected-component size distribution; path-length distribution; local motif census; edit-direction asymmetry; family centrality vs token frequency; spatial/local (line/page) concentration of family membership; regime-conditioned graph structure; grammar-boundedness null (finite alphabet + length cap reference graph)	HIGH — directly tests the "giant edit family is a trivial consequence of constrained formation" alternative explanation named in section 8 of the parent task	docs/phase1/PHASE1_RESEARCH_REPORT.md section 6 caution note; internal/graphemic (code, not a report)	pairwise edit-distance<=1 data is reproducible from existing pipelines; graph-metric computation is new analysis, not new data collection
adjacent sequence	corrected adjacent token-identity MI (Task58); adjacent vs matched-nonadjacent same-line near-form rate (Task63, ~0.05855 vs ~0.05663, FORM_DEPENDENCE_ONLY/PARTIAL); exact adjacent equality and short runs (Task60)	100 within-line shuffles; length-pair matching; global/within-line shuffles; natural corpora	HIGH for the specific MI and matched-rate estimates; effect sizes are small	MI reduces order to a single scalar; matched-rate test is a two-condition comparison, not a full conditional-entropy or lag curve; run statistics are simple counts (max run 4, 11 runs>=3)	conditional token entropy at lag 1 as a distribution, not a scalar; run-length distribution beyond raw counts; transition persistence (does an elevated-similarity state persist across more than one step)	MEDIUM-HIGH — needed to connect the well-established "weak order but real adjacency signal" finding to the sequence and cross-scale levels	docs/phase1/VOYNICH_FINGERPRINT_V1.md rows 3,13; experiments/token-transition-v1/REPORT.md	adjacency-indexed corpus already available; no new data required
longer sequence	frozen-candidate FDR + cross-block replication (51/104 sequences robust above frequency null); n>=3 deep-dive (2 candidates insufficient support, 1 reclassified NO_POSITIONAL_STRUCTURE)	frequency and first-order Markov nulls; leave-one-block-out; jackknife; positional stratification	MEDIUM, and explicitly sparse: "evidence for general higher-order rules is weak and candidate-specific"	candidate set is frozen from an earlier discovery step, not a systematic n-gram sweep; low counts limit power; position-sensitivity of the one surviving-looking candidate undermined it under cross-block audit	systematic (not frozen-candidate-only) lag-dependency curves for n=2..5; family-to-family transition statistics (as opposed to raw token-identity transition); longer-range conditional dependence with explicit power/coverage reporting; recurrence statistics distinguished from the specific Task65 distant-window test	MEDIUM — real but historically weak signal; useful mainly in conjunction with cross-scale conditioning (regime, family) rather than as a marginal target	docs/phase1/PHASE1_RESEARCH_REPORT.md section 7 (Task63); experiments/voynich-v1/outputs/replicated-local-structure/replicated_local_structure_report.md	frozen candidate inventory already exists; a from-scratch systematic sweep (not reusing the frozen candidate list) is new work
line/local	same-line nonadjacent near-form rate vs same-page matched control (Task64, +0.007939, CI [0.004600,0.012813]); scale comparison across physical line vs shifted-line-sized windows vs fixed windows vs page (Task64, BROADER_LOCAL_REGIME); lag-1 within-page persistence and drift/state topology (Task65, MIXED_DRIFT_AND_STATES)	same-page/different-page matched pairs; line-membership destruction and shuffle; shifted/fixed window construction; stationary/smooth/discrete/mixed synthetic controls	HIGH for the specific scale-comparison and topology classification results	physical line is shown not to be uniquely privileged, but the "broader local regime" itself has no independent operational definition beyond the shifted-window construction used to detect it; K=5 clustering is a selected descriptive resolution, not validated	explicit disentangling of physical-line effect vs line-sized locality vs sub-page regime vs slow drift vs discrete states as separately estimated components (not a single collapsed "line effect"); page-composition metrics (how many lines/paragraphs per page relate to regime boundaries)	HIGH — task73 explicitly calls for not collapsing this into one "line effect"; this is where H_C (copying/layout) and H_G (generation with local memory) diverge most	docs/phase1/VOYNICH_FINGERPRINT_V1.md rows 17-20; experiments/line-regime-v1/REPORT.md; experiments/local-regime-topology-v1/REPORT.md	line, page and locus-type metadata already parsed (internal/metadatavalidation.TokenMetadata: LineID, LocusID, IndexInLine, IndexInFolio); disentangling requires new joint modeling, not new data
page/2D	within-page lag-1 excess similarity (Task65, 0.0609062); same-page vs different-page matched comparisons (Task64) used as a scale reference, not as a 2-D layout model	metadata conditioning; synthetic stationary/drift/state controls	MEDIUM for the one-dimensional "same page" comparisons that exist; LOW/absent for any genuine two-dimensional layout claim	all existing page-level results treat the page as a bag or a longer 1-D sequence, never as a 2-D coordinate space; no analysis uses IVTFF locus-type (paragraph vs label vs circular/radial), quire, foliation, bifolio or intra-line token index as an explicit spatial feature set	explicit 2-D-flavored representation: line-number-within-page, relative vertical position, intra-line token ordinal (as a token-horizontal-position proxy), locus-type (paragraph/label/radial/circular), page-boundary effects, spatial neighborhood measures built from these fields	VERY HIGH — named a "major Phase I gap" in the parent report and explicitly WEAKLY_COVERED in v1	docs/phase1/FINGERPRINT_COVERAGE.md row "page/2-D structure"; experiments/local-regime-topology-v1/REPORT.md	CONFIRMED AVAILABLE (checked directly against data/ZL3b-n.txt for this audit): per-page header variables $Q (quire) $P (page-in-quire) $F (foliation) $B (bifolio) $I (illustration/content-type code, values A/B/C/H/P/S/T/Z observed) $H (hand) $L (Currier language A/B) $X (text-block-position code, values C/M/O/S/V observed); per-locus type letter (P=paragraph running text, L=label, R=radial/circular locus, C=circular text) via locus IDs like P0/Pb/Pr/L0/La/Lt/Ri/Ro/Cc; internal/metadatavalidation.ParseIVTFF already captures all of this generically into Document.PageVariables plus first-class Currier/Hand/Quire/LocusType/IndexInLine/IndexInFolio fields, but $I and $X are not yet surfaced past the raw map and are unused analytically. NOT_AVAILABLE: pixel/vector coordinates of glyphs or tokens, image-region bounding boxes, diagram/illustration content identity — none of this exists in the IVTFF transcription and none should be hand-coded (parent task section 12)
regime	local-regime topology: lag decay, cluster/stability sweep, dwell/transition diagnostics, change points, distant recurrence (Task65)	stationary/smooth/discrete/mixed simulations; natural corpora; Task62 stationary G-only baseline; corrected shuffled-position recurrence null	MEDIUM — LOCAL_STRUCTURE CONFIRMED, TOPOLOGY MIXED_DRIFT_AND_STATES, METADATA PARTIALLY_METADATA_EXPLAINED; distant recurrence explicitly NOT supported after correction	cluster labels are descriptive, not causal states ("no semantic identity"); K=5 is a selected resolution; metadata association is only partial and its residual is unexplained	regime definition robust to K and to window choice; regime-conditioned versions of glyph/token/lexical/sequence metrics (this level should mainly function as a conditioning variable for other levels, per section 4/14 of the parent task); explicit test of whether regimes align with Currier/hand/quire/illustration-type boundaries versus content-position boundaries	HIGH as a conditioning axis for cross-scale metrics; MEDIUM as a standalone marginal property (already reasonably characterized)	docs/phase1/VOYNICH_FINGERPRINT_V1.md rows 19-22; experiments/local-regime-topology-v1/REPORT.md; TASK64_SPLIT_DIAGNOSIS.tsv; DISTANT_REGIME_RECURRENCE.tsv	regime assignments (K=5 clustering) exist as a frozen artifact and can be reused/extended as a stratification variable
