metric_id	family	canonical_value	alternate_value	abs_difference	standardized_difference	canonical_status	alternate_status	direction_agreement	verdict_agreement	classification
2DL1_LAYOUT_POSITION_MI	2D-LITE	0.0047065461	0.0048816415	0.0001750954	0.906	SUPPORTED	SUPPORTED	TRUE	TRUE	STABLE
BP1_BOUNDARY_TOKEN_NMI	boundary	0.0842192025	0.0853387714	0.0011195689	2.685	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
EF1_GIANT_COMPONENT_SHARE	edit family	0.8669173844	0.8745817326	0.0076643481	N/A (no null SD in registry; see raw_results.json)	CONSISTENT_WITH_GRAMMAR_BOUND	CONSISTENT_WITH_GRAMMAR_BOUND	TRUE	TRUE	DIRECTION_STABLE
EF2_GLOBAL_CLUSTERING	edit family	0.2872703354	0.2791630329	0.0081073025	N/A (no null SD in registry; see raw_results.json)	REPRODUCED	REPRODUCED	TRUE	TRUE	DIRECTION_STABLE
EF3_DEGREE_FREQUENCY_SPEARMAN	edit family	0.6390073570	0.6337498173	0.0052575397	N/A (no null SD in registry; see raw_results.json)	REPRODUCED	REPRODUCED	TRUE	TRUE	DIRECTION_STABLE
HR1_FOLIO_VARIANCE_SHARE	hierarchy	0.2732690627	0.2789117697	0.0056427070	1.354	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
HR1_SECTION_VARIANCE_SHARE	hierarchy	0.1252589995	0.1320227529	0.0067637534	9.455	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
LC1_LOCUS_TYPE_NMI	locus	0.0075883532	0.0088518733	0.0012635201	7.168	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
LC2_LABEL_TEXT_NMI	locus	0.0048485589	0.0049205233	0.0000719644	0.438	SUPPORTED	SUPPORTED	TRUE	TRUE	STABLE
LS2_POSITIONAL_LEXICON_NMI	line	0.1105889244	0.1125197421	0.0019308177	4.700	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
LS3_BOUNDARY_LENGTH_ASYMMETRY	line	0.3606483566	0.4619577561	0.1013093995	5.082	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
PF2_FOLIO_COHERENCE	folio	0.1730395953	0.1717786283	0.0012609669	0.254	SUPPORTED	SUPPORTED	TRUE	TRUE	STABLE
PF5_WITHIN_FOLIO_PROGRESSION	folio	0.3637001412	0.3803684796	0.0166683384	1.630	SUPPORTED	SUPPORTED	TRUE	TRUE	DIRECTION_STABLE
