glyph	total_count	initial_count	internal_count	final_count	singleton_count	second_count	penultimate_count	p_initial_given_glyph	p_final_given_glyph	corpus_rules
0	31	0	13	18	0	13	13	0	0.5806451613	NEVER_INITIAL
1	161	138	6	17	0	6	6	0.8571428571	0.1055900621	
2	67	36	0	31	0	0	0	0.5373134328	0.4626865672	NEVER_INTERNAL
3	58	0	37	21	0	37	37	0	0.3620689655	NEVER_INITIAL
4	38	0	25	13	0	25	25	0	0.3421052632	NEVER_INITIAL
5	28	0	12	16	0	12	12	0	0.5714285714	NEVER_INITIAL
6	45	0	20	25	0	20	20	0	0.5555555556	NEVER_INITIAL
7	40	0	30	10	0	30	30	0	0.25	NEVER_INITIAL
8	23	0	11	12	0	11	11	0	0.5217391304	NEVER_INITIAL
9	31	0	20	11	0	20	20	0	0.3548387097	NEVER_INITIAL
I	1	1	0	1	1	0	0	1	1	NEVER_INTERNAL
a	14829	2179	12549	116	15	3712	5940	0.1469418032	0.007822509947	
b	15	0	0	15	0	0	0	0	1	NEVER_INITIAL|NEVER_INTERNAL|FINAL_ONLY
c	13379	7063	6291	75	50	1993	83	0.5279168847	0.005605800135	
d	13215	3678	8934	676	73	441	6990	0.2783200908	0.05115399168	
e	20430	172	20141	125	8	1010	5235	0.008418991679	0.006118453255	
f	503	121	359	33	10	168	27	0.24055666	0.06560636183	
g	154	17	10	142	15	10	4	0.1103896104	0.9220779221	
h	18012	62	17822	133	5	9398	2940	0.003442149678	0.007383966245	
i	11969	27	11909	36	3	1001	6734	0.002255827555	0.003007770073	
j	14	2	8	4	0	2	5	0.1428571429	0.2857142857	
k	11095	1285	9720	110	20	3884	822	0.115817936	0.009914375845	
l	10659	1463	3392	6000	196	2217	791	0.137254902	0.5629045877	
m	1071	14	39	1031	13	124	16	0.01307189542	0.9626517274	
n	6186	5	93	6093	5	11	34	0.000808276754	0.9849660524	
o	25661	8939	15550	1395	223	6896	6719	0.3483496356	0.05436265149	
p	1676	547	1099	37	7	641	54	0.326372315	0.02207637232	
q	5436	5401	35	13	13	20	62	0.9935614422	0.002391464312	
r	7599	534	1371	5866	172	1211	344	0.07027240426	0.7719436768	
s	7359	4603	1663	1449	356	751	213	0.6254925941	0.196901753	
t	7007	1033	5905	83	14	3594	514	0.1474240046	0.01184529756	
u	9	1	0	9	1	3	0	0.1111111111	1	NEVER_INTERNAL
v	15	15	0	12	12	0	2	1	0.8	NEVER_INTERNAL
x	41	21	12	19	11	6	3	0.512195122	0.4634146341	
y	17919	2021	500	15732	334	555	113	0.1127853117	0.8779507785	
z	9	2	6	1	0	1	4	0.2222222222	0.1111111111	
