metric_id	family	regime	left_c01_expanded	right_c02_diplomatic	delta	status	reason
G01_ALPHABET_SIZE	G		31	60	29	COMPARABLE	
G02_INITIAL_RESTRICTION_DENSITY	G		0.0322580645161	0.233333333333	0.201075268817	COMPARABLE	
G03_FINAL_RESTRICTION_DENSITY	G		0.129032258065	0.166666666667	0.0376344086022	COMPARABLE	
G04_BIGRAM_OCCUPANCY	G		0.43912591051	0.192222222222	-0.246903688288	COMPARABLE	
G05_TRIGRAM_OCCUPANCY	G		0.0804941089591	0.0147314814815	-0.0657626274776	COMPARABLE	
G06_SYMBOL_CONDITIONAL_ENTROPY_NORM	G		0.650274844248	0.580918750898	-0.0693560933498	COMPARABLE	
G07_HIGHER_ORDER_ENTROPY_REDUCTION	G		0.131728547001	0.12684085554	-0.00488769146074	COMPARABLE	
G08_MEAN_SYMBOLS_PER_TOKEN	G		5.56821032825	5.11913602845	-0.449074299795	COMPARABLE	
T01_MEAN_TOKEN_LENGTH	T		5.56821032825	5.11913602845	-0.449074299795	COMPARABLE	
T02_TOKEN_LENGTH_SD	T		2.95511393791	2.8196732797	-0.135440658207	COMPARABLE	
T03_UNIQUE_TOKEN_RATIO	T		0.349414593351	0.377909105172	0.0284945118209	COMPARABLE	
T04_HAPAX_RATIO	T		0.679581151832	0.698865208968	0.0192840571352	COMPARABLE	
T05_PREFIX_DIVERSITY	T		0.00448765893792	0.00636590091337	0.00187824197545	COMPARABLE	
T06_SUFFIX_DIVERSITY	T		0.00403889304413	0.00691945751453	0.0028805644704	COMPARABLE	
T07_EDIT_GRAPH_DENSITY	T		0.000305757013813	0.000309646920913	3.88990709979e-06	COMPARABLE	
T08_EDIT_GRAPH_GIANT_SHARE	T		0.260732984293	0.273733739275	0.0130007549816	COMPARABLE	
T09_EDIT_GRAPH_CLUSTERING	T		0.360076276044	0.377661115216	0.0175848391719	COMPARABLE	
T10_EDIT_DEGREE_FREQUENCY_SPEARMAN	T		0.311833073088	0.349228282842	0.037395209754	COMPARABLE	
T11_POSITIONAL_RESTRICTION_DENSITY	T		0.0860215053763	0.194444444444	0.108422939068	COMPARABLE	
S01_TRANSITION_DENSITY	S	FREQ_GE_5	0.00958124426241	0.00938985404868	-0.000191390213728	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_5	0.990418755738	0.990610145951	0.000191390213728	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	FREQ_GE_5	0.607363354783	0.60770586555	0.000342510767375	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	FREQ_GE_5	0.148148148148	0.1	-0.0481481481481	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	FREQ_GE_5	0.592592592593	0.5	-0.0925925925926	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	FREQ_GE_5	0.311972701553	0.313284254924	0.00131155337136	COMPARABLE	
S01_TRANSITION_DENSITY	S	FREQ_GE_10	0.032971683595	0.0306919642857	-0.00227971930924	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	FREQ_GE_10	0.967028316405	0.969308035714	0.00227971930924	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	FREQ_GE_10	0.638398204063	0.636164455897	-0.00223374816649	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	FREQ_GE_10	0.0869565217391	0.166666666667	0.0797101449275	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	FREQ_GE_10	0.565217391304	0.5	-0.0652173913043	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	FREQ_GE_10	0.346654778465	0.344077487143	-0.00257729132186	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_100	0.0919	0.0828	-0.0091	COMPARABLE	
S02_TRANSITION_ZERO_DENSITY	S	TOP_100	0.9081	0.9172	0.0091	COMPARABLE	
S03_TRANSITION_ENTROPY_NORM	S	TOP_100	0.670355150085	0.667201848591	-0.00315330149348	COMPARABLE	
S06_PREFERRED_TRANSITION_FRACTION	S	TOP_100	0.125	0.166666666667	0.0416666666667	COMPARABLE	
S07_DEPLETED_TRANSITION_FRACTION	S	TOP_100	0.541666666667	0.555555555556	0.0138888888889	COMPARABLE	
S08_HIGHER_ORDER_PREDICTIVE_GAIN	S	TOP_100	0.380517220046	0.378939922498	-0.00157729754838	COMPARABLE	
S01_TRANSITION_DENSITY	S	TOP_250	0.02928	0.0268	-0.00248	COMPARABLE	
