decision_id	classification	source_requirement	previous_wording	new_frozen_definition	reason	expected_scientific_effect	task85b_compatibility
D01	COMPLETION	A01	underspecified Task85b prose	M0 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D02	COMPLETION	A02	underspecified Task85b prose	M1 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D03	COMPLETION	A03	underspecified Task85b prose	M2 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D04	CLARIFICATION	A04	underspecified Task85b prose	M3 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D05	COMPLETION	A05	underspecified Task85b prose	M4 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D06	COMPLETION	A06	underspecified Task85b prose	M5 definition in G1V2_EXECUTABLE_CONTRACT.md	unique implementation required	removes implementation variance	preserves G1-v2 question
D07	COMPLETION	A07	underspecified Task85b prose	RNG definition in G1V2_RNG_DOMAIN_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D08	COMPLETION	A08	underspecified Task85b prose	BASELINES definition in G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D09	COMPLETION	A09	underspecified Task85b prose	PM5 definition in G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D10	COMPLETION	A10	underspecified Task85b prose	PM6 definition in G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D11	COMPLETION	A11	underspecified Task85b prose	STRUCTURAL_THRESHOLDS definition in G1V2_STRUCTURAL_METRIC_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D12	COMPLETION	A12	underspecified Task85b prose	COMPLEXITY definition in G1V2_COMPLEXITY_CONTRACT.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D13	COMPLETION	A13	underspecified Task85b prose	SYNTHETIC_CONTROLS definition in G1V2_CONTROL_REGISTRY.tsv;G1V2_SYNTHETIC_GENERATOR_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D14	COMPLETION	A14	underspecified Task85b prose	NATURAL_LANGUAGE_CORPORA definition in G1V2_CORPUS_REGISTRY.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D15	COMPLETION	A15	underspecified Task85b prose	REACHABILITY definition in G1V2_REACHABILITY_CONTRACT.tsv	unique implementation required	removes implementation variance	preserves G1-v2 question
D16	COMPLETION	A16	underspecified Task85b prose	DAG definition in G1V2_DAG_CONTRACT.json	unique implementation required	removes implementation variance	preserves G1-v2 question
D17	COMPLETION	A17	underspecified Task85b prose	EVIDENCE_SCHEMAS definition in schemas/	unique implementation required	removes implementation variance	preserves G1-v2 question
