upstream_stage	upstream_status	downstream_stage	action	downstream_status	reason_code
FIT	PASS	PREDICTIVE	RUN	PLANNED	UPSTREAM_PASS
FIT	PASS	GENERATION	RUN	PLANNED	UPSTREAM_PASS
FIT	PASS	COMPLEXITY	RUN	PLANNED	UPSTREAM_PASS
FIT	FAIL	PREDICTIVE	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_FAIL
FIT	FAIL	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_FAIL
FIT	FAIL	COMPLEXITY	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_FAIL
FIT	NOT_ASSESSABLE	PREDICTIVE	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_NOT_ASSESSABLE
FIT	NOT_ASSESSABLE	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_NOT_ASSESSABLE
FIT	NOT_ASSESSABLE	COMPLEXITY	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_NOT_ASSESSABLE
FIT	SCIENTIFIC_FAILURE	PREDICTIVE	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_SCIENTIFIC_FAILURE
FIT	SCIENTIFIC_FAILURE	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_SCIENTIFIC_FAILURE
FIT	SCIENTIFIC_FAILURE	COMPLEXITY	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_SCIENTIFIC_FAILURE
PREDICTIVE	PASS	GENERATION	RUN	PLANNED	UPSTREAM_PASS
PREDICTIVE	PASS	AGGREGATION	RUN	PLANNED	UPSTREAM_PASS
PREDICTIVE	FAIL	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_FAIL
PREDICTIVE	FAIL	AGGREGATION	RUN	PLANNED	UPSTREAM_FAIL
PREDICTIVE	NOT_ASSESSABLE	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_NOT_ASSESSABLE
PREDICTIVE	NOT_ASSESSABLE	AGGREGATION	RUN	PLANNED	UPSTREAM_NOT_ASSESSABLE
PREDICTIVE	SCIENTIFIC_FAILURE	GENERATION	EMIT_NOT_REACHED	NOT_REACHED	UPSTREAM_SCIENTIFIC_FAILURE
PREDICTIVE	SCIENTIFIC_FAILURE	AGGREGATION	RUN	PLANNED	UPSTREAM_SCIENTIFIC_FAILURE
GENERATION	PASS	STRUCTURAL	RUN	PLANNED	UPSTREAM_PASS
GENERATION	PASS	AGGREGATION	RUN	PLANNED	UPSTREAM_PASS
GENERATION	FAIL	STRUCTURAL	RUN	PLANNED	UPSTREAM_FAIL
GENERATION	FAIL	AGGREGATION	RUN	PLANNED	UPSTREAM_FAIL
GENERATION	NOT_ASSESSABLE	STRUCTURAL	RUN	PLANNED	UPSTREAM_NOT_ASSESSABLE
GENERATION	NOT_ASSESSABLE	AGGREGATION	RUN	PLANNED	UPSTREAM_NOT_ASSESSABLE
GENERATION	SCIENTIFIC_FAILURE	STRUCTURAL	RUN	PLANNED	UPSTREAM_SCIENTIFIC_FAILURE
GENERATION	SCIENTIFIC_FAILURE	AGGREGATION	RUN	PLANNED	UPSTREAM_SCIENTIFIC_FAILURE
STRUCTURAL	PASS	AGGREGATION	RUN	PLANNED	UPSTREAM_PASS
STRUCTURAL	FAIL	AGGREGATION	RUN	PLANNED	UPSTREAM_FAIL
STRUCTURAL	NOT_ASSESSABLE	AGGREGATION	RUN	PLANNED	UPSTREAM_NOT_ASSESSABLE
STRUCTURAL	SCIENTIFIC_FAILURE	AGGREGATION	RUN	PLANNED	UPSTREAM_SCIENTIFIC_FAILURE
