control_id	role	class_or_language	generator_or_source	blinding	token_counts	replicates	root_seed	scientific_role	independence
DEV_M0_A	DEVELOPMENT	M0	M0_GEN_A	open	8000	1	1919191919191919191919191919191919191919191919191919191919191919	threshold+engineering	specification-authored independent route
DEV_M0_B	DEVELOPMENT	M0	M0_GEN_B	open	8000	1	2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a	threshold+engineering	specification-authored independent route
DEV_M1_A	DEVELOPMENT	M1	M1_GEN_A	open	8000	1	3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b	threshold+engineering	specification-authored independent route
DEV_M1_B	DEVELOPMENT	M1	M1_GEN_B	open	8000	1	4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c	threshold+engineering	specification-authored independent route
DEV_M2_A	DEVELOPMENT	M2	M2_GEN_A	open	8000	1	5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d5d	threshold+engineering	specification-authored independent route
DEV_M2_B	DEVELOPMENT	M2	M2_GEN_B	open	8000	1	6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e6e	threshold+engineering	specification-authored independent route
DEV_M3_A	DEVELOPMENT	M3	M3_GEN_A	open	8000	1	7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f7f	threshold+engineering	specification-authored independent route
DEV_M3_B	DEVELOPMENT	M3	M3_GEN_B	open	8000	1	8080808080808080808080808080808080808080808080808080808080808080	threshold+engineering	specification-authored independent route
DEV_M4_A	DEVELOPMENT	M4	M4_GEN_A	open	8000	1	9191919191919191919191919191919191919191919191919191919191919191	threshold+engineering	specification-authored independent route
DEV_M4_B	DEVELOPMENT	M4	M4_GEN_B	open	8000	1	a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2	threshold+engineering	specification-authored independent route
DEV_M5_A	DEVELOPMENT	M5	M5_GEN_A	open	8000	1	b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3	threshold+engineering	specification-authored independent route
DEV_M5_B	DEVELOPMENT	M5	M5_GEN_B	open	8000	1	c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4	threshold+engineering	specification-authored independent route
BLIND_M0_A	BLIND_SYNTHETIC	M0	M0_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M0_B	BLIND_SYNTHETIC	M0	M0_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M1_A	BLIND_SYNTHETIC	M1	M1_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M1_B	BLIND_SYNTHETIC	M1	M1_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M2_A	BLIND_SYNTHETIC	M2	M2_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M2_B	BLIND_SYNTHETIC	M2	M2_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M3_A	BLIND_SYNTHETIC	M3	M3_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M3_B	BLIND_SYNTHETIC	M3	M3_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M4_A	BLIND_SYNTHETIC	M4	M4_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M4_B	BLIND_SYNTHETIC	M4	M4_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M5_A	BLIND_SYNTHETIC	M5	M5_GEN_A	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
BLIND_M5_B	BLIND_SYNTHETIC	M5	M5_GEN_B	HMAC escrow	2000;8000;32000	4	derived CONTROL_GENERATE	recovery	ground truth only in escrow
NL_EN	NATURAL_CONFIRMATORY	English	CORPUS_EN	visible label	2000;8000;32000	4	CORPUS_WINDOW	applicability	not calibration
NL_LA	NATURAL_CONFIRMATORY	Latin	CORPUS_LA	visible label	2000;8000;32000	4	CORPUS_WINDOW	applicability	not calibration
NL_SA	NATURAL_CONFIRMATORY	Sanskrit	CORPUS_SA	visible label	2000;8000;32000	4	CORPUS_WINDOW	applicability	not calibration
