ambiguity_id	task85b_source	task85c_resolution	resolution_type	normative_artifact	golden_vector	status	notes
A01	research/phase3/task85b	M0 executable closure	COMPLETION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A02	research/phase3/task85b	M1 executable closure	COMPLETION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A03	research/phase3/task85b	M2 executable closure	COMPLETION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A04	research/phase3/task85b	M3 executable closure	CLARIFICATION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A05	research/phase3/task85b	M4 executable closure	COMPLETION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A06	research/phase3/task85b	M5 executable closure	COMPLETION	G1V2_EXECUTABLE_CONTRACT.md	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A07	research/phase3/task85b	RNG executable closure	COMPLETION	G1V2_RNG_DOMAIN_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A08	research/phase3/task85b	BASELINES executable closure	COMPLETION	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A09	research/phase3/task85b	PM5 executable closure	COMPLETION	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A10	research/phase3/task85b	PM6 executable closure	COMPLETION	G1V2_PREDICTIVE_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A11	research/phase3/task85b	STRUCTURAL_THRESHOLDS executable closure	COMPLETION	G1V2_STRUCTURAL_METRIC_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A12	research/phase3/task85b	COMPLEXITY executable closure	COMPLETION	G1V2_COMPLEXITY_CONTRACT.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A13	research/phase3/task85b	SYNTHETIC_CONTROLS executable closure	COMPLETION	G1V2_CONTROL_REGISTRY.tsv;G1V2_SYNTHETIC_GENERATOR_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A14	research/phase3/task85b	NATURAL_LANGUAGE_CORPORA executable closure	COMPLETION	G1V2_CORPUS_REGISTRY.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A15	research/phase3/task85b	REACHABILITY executable closure	COMPLETION	G1V2_REACHABILITY_CONTRACT.tsv	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A16	research/phase3/task85b	DAG executable closure	COMPLETION	G1V2_DAG_CONTRACT.json	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
A17	research/phase3/task85b	EVIDENCE_SCHEMAS executable closure	COMPLETION	schemas/	golden/G1V2_GOLDEN_SUITE.json	CLOSED	no v1 silent inheritance
