pattern_type	length	pattern	token_type_count	token_frequency_count	productivity_class
PREFIX	1	1	61	138	PRODUCTIVE
PREFIX	1	2	24	36	PRODUCTIVE
PREFIX	1	I	1	1	RARE
PREFIX	1	a	321	2179	PRODUCTIVE
PREFIX	1	c	1342	7063	PRODUCTIVE
PREFIX	1	d	609	3678	PRODUCTIVE
PREFIX	1	e	100	172	PRODUCTIVE
PREFIX	1	f	84	121	PRODUCTIVE
PREFIX	1	g	3	17	RARE
PREFIX	1	h	33	62	PRODUCTIVE
PREFIX	1	i	19	27	PRODUCTIVE
PREFIX	1	j	2	2	RARE
PREFIX	1	k	345	1285	PRODUCTIVE
PREFIX	1	l	363	1463	PRODUCTIVE
PREFIX	1	m	2	14	RARE
PREFIX	1	n	1	5	RARE
PREFIX	1	o	1839	8939	PRODUCTIVE
PREFIX	1	p	296	547	PRODUCTIVE
PREFIX	1	q	833	5401	PRODUCTIVE
PREFIX	1	r	126	534	PRODUCTIVE
PREFIX	1	s	868	4603	PRODUCTIVE
PREFIX	1	t	365	1033	PRODUCTIVE
PREFIX	1	u	1	1	RARE
PREFIX	1	v	4	15	RARE
PREFIX	1	x	10	21	PRODUCTIVE
PREFIX	1	y	590	2021	PRODUCTIVE
PREFIX	1	z	2	2	RARE
PREFIX	2	13	10	33	PRODUCTIVE
PREFIX	2	14	6	12	RARE
PREFIX	2	15	8	12	RARE
PREFIX	2	16	9	20	RARE
PREFIX	2	17	9	30	RARE
PREFIX	2	18	10	11	PRODUCTIVE
PREFIX	2	19	9	20	RARE
PREFIX	2	20	7	13	RARE
PREFIX	2	21	6	6	RARE
PREFIX	2	23	4	4	RARE
PREFIX	2	24	7	13	RARE
PREFIX	2	ac	3	3	RARE
PREFIX	2	ad	11	11	PRODUCTIVE
PREFIX	2	ae	1	1	RARE
PREFIX	2	af	1	1	RARE
PREFIX	2	ag	2	2	RARE
PREFIX	2	ai	81	895	PRODUCTIVE
PREFIX	2	aj	2	2	RARE
PREFIX	2	ak	11	15	PRODUCTIVE
PREFIX	2	al	106	514	PRODUCTIVE
PREFIX	2	am	11	98	PRODUCTIVE
PREFIX	2	an	2	6	RARE
PREFIX	2	ao	1	1	RARE
PREFIX	2	ap	3	3	RARE
PREFIX	2	ar	69	584	PRODUCTIVE
PREFIX	2	as	6	17	RARE
PREFIX	2	at	7	7	RARE
PREFIX	2	ax	1	1	RARE
PREFIX	2	ay	1	2	RARE
PREFIX	2	az	1	1	RARE
PREFIX	2	ca	1	1	RARE
PREFIX	2	cf	21	34	PRODUCTIVE
PREFIX	2	ch	1095	6141	PRODUCTIVE
PREFIX	2	ck	63	198	PRODUCTIVE
PREFIX	2	cl	1	1	RARE
PREFIX	2	co	3	3	RARE
PREFIX	2	cp	60	129	PRODUCTIVE
PREFIX	2	cs	1	1	RARE
PREFIX	2	ct	96	505	PRODUCTIVE
PREFIX	2	da	229	2342	PRODUCTIVE
PREFIX	2	dc	100	297	PRODUCTIVE
PREFIX	2	dd	8	10	RARE
PREFIX	2	de	33	44	PRODUCTIVE
PREFIX	2	dg	2	3	RARE
PREFIX	2	di	1	1	RARE
PREFIX	2	dk	19	21	PRODUCTIVE
PREFIX	2	dl	16	40	PRODUCTIVE
PREFIX	2	dm	1	1	RARE
PREFIX	2	do	99	343	PRODUCTIVE
PREFIX	2	dp	3	4	RARE
PREFIX	2	dr	1	1	RARE
PREFIX	2	ds	41	143	PRODUCTIVE
PREFIX	2	dt	7	7	RARE
PREFIX	2	du	1	2	RARE
PREFIX	2	dx	1	1	RARE
PREFIX	2	dy	46	345	PRODUCTIVE
PREFIX	2	ea	2	3	RARE
PREFIX	2	ec	3	4	RARE
PREFIX	2	ed	2	5	RARE
PREFIX	2	ee	46	86	PRODUCTIVE
PREFIX	2	ef	2	2	RARE
PREFIX	2	ek	7	8	RARE
PREFIX	2	eo	12	16	PRODUCTIVE
PREFIX	2	ep	6	6	RARE
PREFIX	2	es	5	8	RARE
PREFIX	2	et	12	18	PRODUCTIVE
PREFIX	2	ey	2	8	RARE
PREFIX	2	fa	11	13	PRODUCTIVE
PREFIX	2	fc	41	63	PRODUCTIVE
PREFIX	2	fd	2	2	RARE
PREFIX	2	fo	18	21	PRODUCTIVE
PREFIX	2	fs	8	9	RARE
PREFIX	2	fy	3	3	RARE
PREFIX	2	gi	1	1	RARE
PREFIX	2	gm	1	1	RARE
PREFIX	2	ha	4	4	RARE
PREFIX	2	hc	1	1	RARE
PREFIX	2	hd	4	5	RARE
PREFIX	2	he	5	10	RARE
PREFIX	2	hh	4	4	RARE
PREFIX	2	hk	1	1	RARE
PREFIX	2	ho	10	12	PRODUCTIVE
PREFIX	2	hs	1	1	RARE
PREFIX	2	hx	1	1	RARE
PREFIX	2	hy	1	18	RARE
PREFIX	2	ih	1	1	RARE
PREFIX	2	ii	6	11	RARE
PREFIX	2	ik	2	2	RARE
PREFIX	2	in	2	3	RARE
PREFIX	2	io	2	2	RARE
PREFIX	2	it	5	5	RARE
PREFIX	2	ja	1	1	RARE
PREFIX	2	je	1	1	RARE
PREFIX	2	ka	51	295	PRODUCTIVE
PREFIX	2	kc	74	253	PRODUCTIVE
PREFIX	2	kd	1	1	RARE
PREFIX	2	ke	101	426	PRODUCTIVE
PREFIX	2	kh	2	2	RARE
PREFIX	2	ki	1	1	RARE
PREFIX	2	kl	1	2	RARE
PREFIX	2	ko	78	174	PRODUCTIVE
PREFIX	2	ks	31	73	PRODUCTIVE
PREFIX	2	ky	4	38	RARE
PREFIX	2	la	14	48	PRODUCTIVE
PREFIX	2	lc	61	317	PRODUCTIVE
PREFIX	2	ld	14	50	PRODUCTIVE
PREFIX	2	le	5	5	RARE
PREFIX	2	lf	8	10	RARE
PREFIX	2	lg	1	1	RARE
PREFIX	2	lk	100	421	PRODUCTIVE
PREFIX	2	ll	11	12	PRODUCTIVE
PREFIX	2	lm	1	1	RARE
PREFIX	2	lo	64	188	PRODUCTIVE
PREFIX	2	lp	12	18	PRODUCTIVE
PREFIX	2	lr	5	14	RARE
PREFIX	2	ls	44	134	PRODUCTIVE
PREFIX	2	lt	20	35	PRODUCTIVE
PREFIX	2	lx	1	1	RARE
PREFIX	2	ly	1	12	RARE
PREFIX	2	mo	1	1	RARE
PREFIX	2	oa	21	76	PRODUCTIVE
PREFIX	2	oc	94	183	PRODUCTIVE
PREFIX	2	od	57	270	PRODUCTIVE
PREFIX	2	oe	85	140	PRODUCTIVE
PREFIX	2	of	66	96	PRODUCTIVE
PREFIX	2	og	2	3	RARE
PREFIX	2	oh	3	3	RARE
PREFIX	2	oi	21	90	PRODUCTIVE
PREFIX	2	ok	395	2545	PRODUCTIVE
PREFIX	2	ol	293	1635	PRODUCTIVE
PREFIX	2	om	2	23	RARE
PREFIX	2	on	2	2	RARE
PREFIX	2	oo	6	7	RARE
PREFIX	2	op	172	399	PRODUCTIVE
PREFIX	2	oq	14	15	PRODUCTIVE
PREFIX	2	or	89	610	PRODUCTIVE
PREFIX	2	os	37	94	PRODUCTIVE
PREFIX	2	ot	461	2501	PRODUCTIVE
PREFIX	2	ox	2	2	RARE
PREFIX	2	oy	16	22	PRODUCTIVE
PREFIX	2	pa	24	40	PRODUCTIVE
PREFIX	2	pc	98	248	PRODUCTIVE
PREFIX	2	pd	13	16	PRODUCTIVE
PREFIX	2	pe	2	2	RARE
PREFIX	2	ph	1	1	RARE
PREFIX	2	po	109	170	PRODUCTIVE
PREFIX	2	ps	34	46	PRODUCTIVE
PREFIX	2	py	14	17	PRODUCTIVE
PREFIX	2	qa	4	6	RARE
PREFIX	2	qc	16	22	PRODUCTIVE
PREFIX	2	qe	45	58	PRODUCTIVE
PREFIX	2	qf	1	1	RARE
PREFIX	2	qk	19	21	PRODUCTIVE
PREFIX	2	qo	737	5269	PRODUCTIVE
PREFIX	2	qp	1	1	RARE
PREFIX	2	qs	3	3	RARE
PREFIX	2	qy	6	7	RARE
PREFIX	2	ra	33	175	PRODUCTIVE
PREFIX	2	rc	25	50	PRODUCTIVE
PREFIX	2	re	1	1	RARE
PREFIX	2	rk	5	5	RARE
PREFIX	2	rl	2	3	RARE
PREFIX	2	ro	44	95	PRODUCTIVE
PREFIX	2	rp	1	1	RARE
PREFIX	2	rs	11	19	PRODUCTIVE
PREFIX	2	rt	1	1	RARE
PREFIX	2	ry	2	12	RARE
PREFIX	2	sa	99	499	PRODUCTIVE
PREFIX	2	sc	36	59	PRODUCTIVE
PREFIX	2	sd	1	1	RARE
PREFIX	2	se	9	9	RARE
PREFIX	2	sf	2	2	RARE
PREFIX	2	sh	544	3243	PRODUCTIVE
PREFIX	2	si	1	1	RARE
PREFIX	2	sk	13	15	PRODUCTIVE
PREFIX	2	sl	1	2	RARE
PREFIX	2	so	135	342	PRODUCTIVE
