metric	value
all_observed_token_transitions	28425
corpus_path	data_work/ZL3b-x7.canonical.txt
corpus_sha256	f46f4190af65b85d145ec5bb957c1f56029b567e4bef12ac7baa1797f358d692
edit_distance_1_edges	29923
edit_families	1183
folio_count	227
folio_exclusive_families	0
folio_metadata_available	true
folio_values	227
frequent_same_line_exclusions	117431
frequent_token_threshold	10
frequent_tokens	553
frequent_transition_constraint_density	0.9604589793
glyph_bigram_constraint_density	0.7075617284
glyph_trigram_constraint_density	0.9663708848
glyph_trigram_observed	1569
glyph_trigram_possible	46656
glyphs_never_final	0
glyphs_never_initial	9
glyphs_never_internal	5
locus_exclusive_families	0
locus_metadata_available	true
locus_type_count	4
locus_values	4
master_rule_count	690751
number_of_glyphs	36
observed_frequent_same_line_pairs	35197
observed_frequent_token_transitions	12092
observed_glyph_bigrams	379
physical_line_count	5385
position_exclusive_tokens	2597
possible_frequent_same_line_pairs	152628
possible_frequent_token_transitions	305809
possible_glyph_bigrams	1296
same_line_constraint_density	0.7693935582
schema_version	vm-structural-catalog-v1
section_count	8
section_exclusive_families	0
section_metadata_available	true
section_values	8
statistically_avoided_or_depleted_same_line_pairs	17
statistically_avoided_or_depleted_transitions	9
statistically_preferred_transitions	3350
token_count	39380
transcription	ZL3b-x7 canonical
unique_token_count	8244
unobserved_frequent_token_transitions	293717
unobserved_glyph_bigrams	917
