context_AB	continuation_C	count_ABC	count_AB	p_C_given_AB	count_BC	count_B_as_predecessor	p_C_given_B	probability_difference	observed_status
130 tol	cthols	1	1	1	1	46	0.02173913043	0.9782608696	OBSERVED
131 os	otol	1	1	1	1	34	0.02941176471	0.9705882353	OBSERVED
132 eol	soc	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
132 hc	133	1	1	1	1	1	1	0	OBSERVED
132 hda	168	1	1	1	1	1	1	0	OBSERVED
132 hdeec	133	1	1	1	1	1	1	0	OBSERVED
132 ho	c	1	1	1	1	3	0.3333333333	0.6666666667	OBSERVED
132 hol	dc	1	1	1	1	1	1	0	OBSERVED
132 holc	133	1	1	1	1	1	1	0	OBSERVED
132 holteedy	c	1	1	1	1	1	1	0	OBSERVED
132 hoo	r	1	1	1	1	1	1	0	OBSERVED
132 hsc	133	1	1	1	1	1	1	0	OBSERVED
133 hain	shosaiin	1	1	1	1	1	1	0	OBSERVED
133 heol	okeor	1	1	1	1	1	1	0	OBSERVED
133 hey	qokol	1	2	0.5	1	4	0.25	0.25	OBSERVED
133 hey	rcheky	1	2	0.5	1	4	0.25	0.25	OBSERVED
133 hody	cthol	1	1	1	1	1	1	0	OBSERVED
133 hoepaiin	oekshy	1	1	1	1	1	1	0	OBSERVED
133 hy	qocfhey	1	3	0.3333333333	1	14	0.07142857143	0.2619047619	OBSERVED
133 hy	qopaiin	1	3	0.3333333333	1	14	0.07142857143	0.2619047619	OBSERVED
133 hy	sheocphy	1	3	0.3333333333	1	14	0.07142857143	0.2619047619	OBSERVED
134 hodoral	shar	1	1	1	1	1	1	0	OBSERVED
135 odaiin	daiin	1	1	1	1	62	0.01612903226	0.9838709677	OBSERVED
135 otchoshor	qoty	1	1	1	1	1	1	0	OBSERVED
136 chdoly	ytaiin	1	1	1	1	1	1	0	OBSERVED
137 chol	shor	1	1	1	1	392	0.002551020408	0.9974489796	OBSERVED
138 aiin	adeeody	1	1	1	1	469	0.002132196162	0.9978678038	OBSERVED
138 chor	or	1	1	1	4	205	0.01951219512	0.9804878049	OBSERVED
138 rch	qokeeeor	1	1	1	1	1	1	0	OBSERVED
139 h	246	1	1	1	1	5	0.2	0.8	OBSERVED
140 okshy	qokchy	1	1	1	1	10	0.1	0.9	OBSERVED
145 kar	chtar	1	1	1	1	56	0.01785714286	0.9821428571	OBSERVED
