token	count	first_count	early_count	middle_count	late_count	last_count	mean_position	median_position	positional_entropy_bits	corpus_rules	first_inferred_status	last_inferred_status	statistical_class
130	1	0	0	1	0	0	0.6666666667	0.6666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
131	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
132	10	0	9	1	0	0	0.1169419469	0.08712121212	0.4689955936	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
133	11	0	2	8	1	0	0.3696672015	0.3	1.095795255	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
134	1	0	0	1	0	0	0.4444444444	0.4444444444	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
135	2	2	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
136	2	0	0	1	1	0	0.7083333333	0.7083333333	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
137	1	0	1	0	0	0	0.1666666667	0.1666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
138	3	1	1	1	0	0	0.2637037037	0.1111111111	1.584962501	NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
139	1	0	0	1	0	0	0.2727272727	0.2727272727	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
140	4	3	0	4	0	3	0.4861111111	0.5	0		EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
145	2	0	1	0	1	0	0.5297619048	0.5297619048	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
146	2	0	1	0	1	0	0.4962121212	0.4962121212	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
147	1	0	0	1	0	0	0.6666666667	0.6666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
148	2	0	0	2	0	0	0.5085470085	0.5085470085	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
149	1	0	0	0	1	0	0.8571428571	0.8571428571	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
150	2	0	0	2	0	0	0.4411764706	0.4411764706	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
151	1	0	1	0	0	0	0.1111111111	0.1111111111	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
152	3	0	0	2	1	0	0.6481481481	0.6	0.9182958341	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
153	1	0	0	1	0	0	0.5	0.5	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
154	2	0	1	1	0	0	0.3055555556	0.3055555556	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
155	1	0	1	0	0	0	0.125	0.125	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
156	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
159	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
161	1	0	0	1	0	0	0.75	0.75	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
162	4	0	0	4	0	0	0.4802650838	0.4325581395	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
163	1	0	0	1	0	0	0.6666666667	0.6666666667	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
164	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
165	1	0	0	1	0	0	0.5833333333	0.5833333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
166	2	0	0	2	0	0	0.5833333333	0.5833333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
167	3	1	1	1	0	0	0.1136363636	0.09090909091	1.584962501	NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
168	2	0	0	2	0	0	0.4318181818	0.4318181818	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
169	5	1	1	3	1	1	0.5056338028	0.5	1.370950594		EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
170	5	0	2	2	1	0	0.4918806959	0.4366197183	1.521928095	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
171	5	0	1	3	1	0	0.561971831	0.5	1.370950594	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
172	6	1	1	3	1	2	0.6353677621	0.6232394366	1.79248125		EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
174	1	0	1	0	0	0	0.125	0.125	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
175	6	0	0	1	0	5	0.9047619048	1	0.6500224216	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
176	3	1	0	1	1	0	0.4757834758	0.5384615385	1.584962501	NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
177	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
178	2	0	0	1	1	0	0.5666666667	0.5666666667	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
179	1	0	1	0	0	0	0.1818181818	0.1818181818	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
180	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
181	1	0	1	0	0	0	0.09090909091	0.09090909091	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
182	1	0	0	0	1	0	0.875	0.875	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
183	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
184	1	0	0	1	0	0	0.35	0.35	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
185	2	0	0	1	1	0	0.6420454545	0.6420454545	1	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
186	1	0	1	0	0	0	0.08333333333	0.08333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
187	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
188	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
189	1	0	0	0	1	0	0.8888888889	0.8888888889	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
190	1	0	0	1	0	0	0.5555555556	0.5555555556	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
191	4	0	0	3	1	0	0.5726495726	0.5085470085	0.8112781245	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
192	4	2	0	4	0	2	0.4861111111	0.5	0		EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
193	1	0	0	1	0	0	0.4545454545	0.4545454545	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
194	1	0	0	1	0	0	0.6363636364	0.6363636364	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
195	1	1	0	1	0	1	0.5	0.5	0	FIRST_ONLY|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
196	5	0	0	5	0	0	0.5116666667	0.6	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
197	2	0	1	0	0	1	0.5151515152	0.5151515152	1	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
199	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
200	1	0	0	1	0	0	0.5	0.5	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
201	1	1	0	0	0	0	0	0	0	NEVER_LAST|FIRST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
203	1	0	0	0	1	0	0.8	0.8	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
204	3	0	1	2	0	0	0.3264704914	0.4146341463	0.9182958341	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
206	4	0	1	0	3	0	0.6359351433	0.8012820513	0.8112781245	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
207	1	0	0	1	0	0	0.2727272727	0.2727272727	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
208	2	0	0	0	1	1	0.9545454545	0.9545454545	1	NEVER_FIRST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
210	1	0	0	0	0	1	1	1	0	NEVER_FIRST|LAST_ONLY	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
211	1	0	0	0	1	0	0.9333333333	0.9333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
212	1	0	1	0	0	0	0.1481481481	0.1481481481	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
213	1	0	0	1	0	0	0.4	0.4	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
214	1	0	0	1	0	0	0.5	0.5	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
216	1	0	1	0	0	0	0.08333333333	0.08333333333	0	NEVER_FIRST|NEVER_LAST	EXPECTED	EXPECTED	POSITIONALLY_NEUTRAL
