operation	from_symbol	to_symbol	position_zero_based	support_edges	examples	interpretation_limit
DELETION	o		0	724	oaiidy→aiidy|oaiil→aiil|oaiin→aiin|oaiir→aiir|oain→ain	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	0	724	aiidy→oaiidy|aiil→oaiil|aiin→oaiin|aiir→oaiir|ain→oain	observed edit-distance-1 relation; not a morphological claim
DELETION	e		2	680	aky→akey|alkeey→alekeey|ase→as|che→ch|chea→cha	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	2	680	akey→aky|alekeey→alkeey|as→ase|ch→che|cha→chea	observed edit-distance-1 relation; not a morphological claim
DELETION	q		0	487	qa→a|qaiin→aiin|qar→ar|qchar→char|qcho→cho	observed edit-distance-1 relation; not a morphological claim
INSERTION		q	0	487	a→qa|aiin→qaiin|ar→qar|char→qchar|cho→qcho	observed edit-distance-1 relation; not a morphological claim
DELETION	e		3	422	alkeain→alkain|alkeedy→alkedy|alkey→alkeey|alky→alkey|cfhey→cfheey	observed edit-distance-1 relation; not a morphological claim
INSERTION		e	3	422	alkain→alkeain|alkedy→alkeedy|alkeey→alkey|alkey→alky|cfheey→cfhey	observed edit-distance-1 relation; not a morphological claim
DELETION	d		0	371	da→a|dadam→adam|dag→ag|dai→ai|daig→aig	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	0	371	a→da|adam→dadam|ag→dag|ai→dai|aig→daig	observed edit-distance-1 relation; not a morphological claim
DELETION	y		0	359	yaiin→aiin|yaiir→aiir|yair→air|yaly→aly|yar→ar	observed edit-distance-1 relation; not a morphological claim
INSERTION		y	0	359	aiin→yaiin|aiir→yaiir|air→yair|aly→yaly|ar→yar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	c	s	0	318	c→s|ch→sh|cha→sha|chaiiin→shaiiin|chaiin→shaiin	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	o	y	0	287	o→y|oaiin→yaiin|oaiir→yaiir|oair→yair|oar→yar	observed edit-distance-1 relation; not a morphological claim
DELETION	o		2	283	alo→al|aloal→alal|alod→ald|alodam→aldam|alodar→aldar	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	2	283	al→alo|alal→aloal|ald→alod|aldam→alodam|aldar→alodar	observed edit-distance-1 relation; not a morphological claim
SUBSTITUTION	k	t	1	283	akaiin→ataiin|akar→atar|aky→aty|ckey→ctey|ckh→cth	observed edit-distance-1 relation; not a morphological claim
DELETION	l		0	272	lag→ag|laiiin→aiiin|laiin→aiin|lain→ain|lair→air	observed edit-distance-1 relation; not a morphological claim
INSERTION		l	0	272	ag→lag|aiiin→laiiin|aiin→laiin|ain→lain|air→lair	observed edit-distance-1 relation; not a morphological claim
DELETION	o		3	269	aiioly→aiily|airy→airoy|cfhoaiin→cfhaiin|chdo→chd|chdody→chddy	observed edit-distance-1 relation; not a morphological claim
INSERTION		o	3	269	aiily→aiioly|airoy→airy|cfhaiin→cfhoaiin|chd→chdo|chddy→chdody	observed edit-distance-1 relation; not a morphological claim
DELETION	d		4	256	aiily→aiildy|aiiny→aiindy|aiird→aiir|aikhy→aikhdy|airoy→airody	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	4	256	aiildy→aiily|aiindy→aiiny|aiir→aiird|aikhdy→aikhy|airody→airoy	observed edit-distance-1 relation; not a morphological claim
DELETION	s		0	240	sa→a|sai→ai|saiidy→aiidy|saiiin→aiiin|saiim→aiim	observed edit-distance-1 relation; not a morphological claim
INSERTION		s	0	240	a→sa|ai→sai|aiidy→saiidy|aiiin→saiiin|aiim→saiim	observed edit-distance-1 relation; not a morphological claim
DELETION	d		3	231	alod→alo|aloy→alody|arod→aro|arol→arodl|aroly→arodly	observed edit-distance-1 relation; not a morphological claim
INSERTION		d	3	231	alo→alod|alody→aloy|aro→arod|arodl→arol|arodly→aroly	observed edit-distance-1 relation; not a morphological claim
DELETION	t		0	227	taiiin→aiiin|taiin→aiin|taikhy→aikhy|taiky→aiky|tail→ail	observed edit-distance-1 relation; not a morphological claim
