physical_line	token_count	glyph_count	first_token	last_token	first_glyph	last_glyph	repeated_token_occurrences	repeated_family_occurrences	token_length_progression	token_family_progression	folio_locus_type_section
1	10	43	fachys	sholdy	f	y	0	8	6|4|2|6|4|5|6|1|3|6	379|1|1|1|1|1|1|1|1|1	f1r|f1r.1|P|T
2	11	43	sory	dan	s	n	1	10	4|5|2|1|4|7|4|3|5|5|3	1|1|1|1|1|1|1|1|1|1|1	f1r|f1r.2|P|T
3	9	44	syaiir	sy	s	y	0	8	6|5|2|6|4|7|5|7|2	1|1|1|1|1|1|1|1|1	f1r|f1r.3|P|T
4	9	44	soiin	okan	s	n	0	7	5|5|5|6|6|5|6|2|4	1|1|1|927|1|1|1|1|1	f1r|f1r.4|P|T
5	6	29	sair	cfhaiin	s	n	0	5	4|1|5|7|5|7	1|1|1|1|1|1	f1r|f1r.5|P|T
6	1	9	ydaraishy	ydaraishy	y	y	0	0	9	1114	f1r|f1r.6|P|T
7	10	38	odar	shodary	o	y	0	9	4|1|1|4|5|5|2|1|8|7	1|1|1|1|1|1|1|1|1|1	f1r|f1r.7|P|T
8	10	45	yshey	kos	y	s	0	9	5|5|6|6|7|2|3|4|4|3	1|1|1|1|1|1|1|1|1|1	f1r|f1r.8|P|T
9	4	19	daiin	shody	d	y	0	3	5|4|5|5	1|1|1|1	f1r|f1r.9|P|T
10	3	11	dain	teody	d	y	0	2	4|2|5	1|1|1	f1r|f1r.10|P|T
11	8	42	ydain	es	y	s	0	6	5|9|3|5|5|6|7|2	1|249|1|1|1|1|1|1	f1r|f1r.11|P|T
12	8	44	oksho	daiin	o	n	0	7	5|5|7|5|4|7|6|5	1|1|1|1|1|1|1|1	f1r|f1r.12|P|T
13	9	45	shoy	d	s	d	0	7	4|5|7|4|10|5|3|6|1	1|1|1|1|251|1|1|1|1	f1r|f1r.13|P|T
14	11	43	dain	kod	d	d	0	10	4|4|4|6|7|4|5|1|1|4|3	1|1|1|1|1|1|1|1|1|1|1	f1r|f1r.14|P|T
15	11	43	daiin	chal	d	l	1	10	5|7|4|1|4|4|3|4|4|3|4	1|1|1|1|1|1|1|1|1|1|1	f1r|f1r.15|P|T
16	10	40	sho	koeam	s	m	1	9	3|4|6|4|4|1|2|8|3|5	1|1|1|1|1|1|1|1|1|1	f1r|f1r.16|P|T
17	8	41	ycho	daictoy	y	y	0	6	4|5|7|4|5|5|4|7	1|1|1|1|1|1|1|263	f1r|f1r.17|P|T
18	9	40	yto	ckhyds	y	s	0	8	3|4|3|7|7|3|3|4|6	1|1|1|1|1|1|1|1|1	f1r|f1r.18|P|T
19	10	48	dchar	dlocto	d	o	0	6	5|9|6|4|3|3|3|3|6|6	1|4|1|1|2|1|2|1|1|335	f1r|f1r.19|P|T
20	5	21	shok	ckhey	s	y	0	4	4|4|4|4|5	1|1|1|1|1	f1r|f1r.20|P|T
21	2	10	otol	daiiin	o	n	0	1	4|6	1|1	f1r|f1r.21|P|T
22	10	50	cpho	dar	c	r	0	7	4|6|9|4|9|4|6|3|2|3	1|1|1|1|1097|1|834|1|1|1	f1r|f1r.22|P|T
23	10	43	ydoin	cthar	y	r	1	9	5|4|4|5|3|5|5|3|4|5	1|1|1|1|1|1|1|1|1|1	f1r|f1r.23|P|T
24	10	46	cho	ctholdar	c	r	1	9	3|1|5|7|4|5|3|5|5|8	1|1|1|1|1|1|1|1|1|1	f1r|f1r.24|P|T
25	11	45	ycheey	dal	y	l	0	10	6|5|3|5|6|7|1|4|1|4|3	1|1|1|1|1|1|1|1|1|1|1	f1r|f1r.25|P|T
26	10	42	dcheo	chtor	d	r	1	9	5|5|6|4|2|4|4|4|3|5	1|1|1|1|1|1|1|1|1|1	f1r|f1r.26|P|T
27	5	21	eo	chotey	e	y	0	4	2|4|4|5|6	1|1|1|1|1	f1r|f1r.27|P|T
28	1	7	dchaiin	dchaiin	d	n	0	0	7	1	f1r|f1r.28|P|T
29	9	33	kchsy	am	k	m	0	8	5|8|2|1|1|5|4|5|2	1|1|1|1|1|1|1|1|1	f1v|f1v.1|P|H
30	8	35	yteey	chody	y	y	0	7	5|4|2|4|4|5|6|5	1|1|1|1|1|1|1|1	f1v|f1v.2|P|H
31	8	39	da	dal	d	l	0	7	2|4|8|3|7|4|8|3	1|1|1|1|1|1|1|1	f1v|f1v.3|P|H
32	6	29	dol	chokody	d	y	0	5	3|6|4|3|6|7	1|1|1|1|1|1	f1v|f1v.4|P|H
33	9	43	potoy	shoshy	p	y	0	8	5|4|4|6|3|4|4|7|6	1|1|1|1|1|1|1|1|1	f1v|f1v.5|P|H
34	11	44	choky	cthy	c	y	0	10	5|4|4|1|4|4|7|5|3|3|4	1|1|1|1|1|1|1|1|1|1|1	f1v|f1v.6|P|H
35	12	47	qo	lchiody	q	y	2	11	2|2|6|5|3|5|4|3|4|4|2|7	1|1|1|1|1|1|1|1|1|1|1|1	f1v|f1v.7|P|H
36	10	45	okolshol	daiin	o	n	2	8	8|3|5|4|2|4|5|5|4|5	591|1|1|1|1|1|1|1|1|1	f1v|f1v.8|P|H
37	12	42	shor	shody	s	y	1	11	4|4|4|3|2|3|4|5|1|4|3|5	1|1|1|1|1|1|1|1|1|1|1|1	f1v|f1v.9|P|H
38	7	35	taor	chodar	t	r	0	6	4|8|3|5|6|3|6	1|1|1|1|1|1|1	f1v|f1v.10|P|H
39	6	39	kydainy	ckholsy	k	y	0	5	7|6|5|6|8|7	1|1|1|1|1|1	f2r|f2r.1|P|H
40	6	25	dorchory	cto	d	o	0	4	8|5|1|4|4|3	347|1|1|1|1|1	f2r|f2r.2|P|H
41	7	29	qotaiin	chaiin	q	n	0	6	7|5|1|4|3|3|6	1|1|1|1|1|1|1	f2r|f2r.3|P|H
42	8	31	c	d	c	d	0	7	1|6|5|2|4|4|8|1	1|1|1|1|1|1|1|1	f2r|f2r.4|P|H
43	7	35	otochor	dan	o	n	1	6	7|2|8|4|3|8|3	1|1|1|1|1|1|1	f2r|f2r.5|P|H
44	9	36	saiin	cthy	s	y	0	8	5|4|1|4|3|6|5|4|4	1|1|1|1|1|1|1|1|1	f2r|f2r.6|P|H
45	5	21	shor	dan	s	n	0	4	4|4|6|4|3	1|1|1|1|1	f2r|f2r.7|P|H
46	9	43	kydain	daiildy	k	y	0	8	6|6|3|1|4|5|4|7|7	1|1|1|1|1|1|1|1|1	f2r|f2r.8|P|H
47	11	44	dls	daiisol	d	l	0	10	3|3|3|5|5|5|2|4|3|4|7	1|1|1|1|1|1|1|1|1|1|1	f2r|f2r.9|P|H
48	12	45	qo	iin	q	n	0	11	2|2|8|4|5|5|5|4|5|1|1|3	1|1|1|1|1|1|1|1|1|1|1|1	f2r|f2r.10|P|H
49	9	41	ychain	ckhor	y	r	0	8	6|3|3|5|4|3|7|5|5	1|1|1|1|1|1|1|1|1	f2r|f2r.11|P|H
50	11	43	okol	sal	o	l	0	10	4|3|4|5|3|2|4|5|5|5|3	1|1|1|1|1|1|1|1|1|1|1	f2r|f2r.12|P|H
51	5	23	sho	chcthy	s	y	0	4	3|5|4|5|6	1|1|1|1|1	f2r|f2r.13|P|H
52	1	6	ytoail	ytoail	y	l	0	0	6	1179	f2r|f2r.14|L|H
53	3	7	ios	on	i	n	0	2	3|2|2	1|1|1	f2r|f2r.15|L|H
54	8	38	kooiin	shty	k	y	0	7	6|4|5|6|5|4|4|4	1|1|1|1|1|1|1|1	f2v|f2v.1|P|H
55	9	40	kcho	daiin	k	n	0	8	4|4|3|4|6|6|4|4|5	1|1|1|1|1|1|1|1|1	f2v|f2v.2|P|H
56	8	40	otchy	daiin	o	n	0	7	5|4|4|4|5|7|6|5	1|1|1|1|1|1|1|1	f2v|f2v.3|P|H
57	4	21	sho	chodaiin	s	n	0	3	3|5|5|8	1|1|1|1	f2v|f2v.4|P|H
58	9	37	kchor	daiin	k	n	0	8	5|3|6|6|1|4|3|4|5	1|1|1|1|1|1|1|1|1	f2v|f2v.5|P|H
59	11	41	dor	chan	d	n	1	10	3|4|4|4|4|3|4|5|1|5|4	1|1|1|1|1|1|1|1|1|1|1	f2v|f2v.6|P|H
60	7	42	daiin	cheaiin	d	n	0	6	5|8|7|7|5|3|7	1|1|1|1|1|1|1	f2v|f2v.7|P|H
61	5	28	chokoishe	dolody	c	y	0	3	9|4|5|4|6	207|1|1|1|1	f2v|f2v.8|P|H
62	5	25	tsheos	daimg	t	g	0	4	6|5|4|5|5	1|1|1|1|1	f3r|f3r.1|P|H
63	5	24	ycheor	cham	y	m	0	4	6|4|3|7|4	1|1|1|1|1	f3r|f3r.2|P|H
64	5	25	ochor	cthy	o	y	0	4	5|7|4|5|4	1|1|1|1|1	f3r|f3r.3|P|H
65	6	24	schey	cho	s	o	0	5	5|4|4|4|4|3	1|1|1|1|1|1	f3r|f3r.4|P|H
66	5	22	qokol	cthol	q	l	0	4	5|7|1|4|5	1|1|1|1|1	f3r|f3r.5|P|H
67	4	24	ychtaiin	otaldam	y	m	0	3	8|4|5|7	1|1|1|1	f3r|f3r.6|P|H
68	5	25	otchol	damo	o	o	0	4	6|7|4|4|4	1|1|1|1|1	f3r|f3r.7|P|H
69	5	21	ysheor	dago	y	o	0	4	6|4|4|3|4	1|1|1|1|1	f3r|f3r.8|P|H
70	5	23	sho	ol	s	l	0	3	3|3|8|7|2	1|1|976|1|1	f3r|f3r.9|P|H
71	2	13	ydar	cholcthom	y	m	0	0	4|9	1|11	f3r|f3r.10|P|H
72	5	23	pcheol	shey	p	y	0	4	6|4|4|5|4	1|1|1|1|1	f3r|f3r.11|P|H
73	5	29	okadaiin	octhy	o	y	0	4	8|7|2|7|5	1|1|1|1|1	f3r|f3r.12|P|H
74	6	32	qokeey	cheody	q	y	0	5	6|3|4|6|7|6	1|1|1|1|1|1	f3r|f3r.13|P|H
75	4	21	chor	qokeey	c	y	0	3	4|6|5|6	1|1|1|1	f3r|f3r.14|P|H
76	8	41	tsheoarom	oporar	t	r	0	6	9|4|2|4|6|4|6|6	1096|1|1|1|1|1|1|1	f3r|f3r.15|P|H
77	9	42	oteol	soleeg	o	g	0	7	5|4|1|5|5|6|5|5|6	1|1|1|1|1|1|1|1|1036	f3r|f3r.16|P|H
78	5	28	soeom	sam	s	m	0	4	5|5|6|9|3	1|1|1|1|1	f3r|f3r.17|P|H
79	7	45	pcheoldom	otolom	p	m	0	5	9|8|7|5|6|4|6	784|1|1|1|1|1|1	f3r|f3r.18|P|H
80	9	43	otchor	cthy	o	y	0	8	6|2|5|5|4|6|7|4|4	1|1|1|1|1|1|1|1|1	f3r|f3r.19|P|H
81	9	33	ycheor	am	y	m	1	8	6|4|6|4|1|4|4|2|2	1|1|1|1|1|1|1|1|1	f3r|f3r.20|P|H
82	8	35	koaiin	oly	k	y	0	7	6|5|5|3|5|7|1|3	1|1|1|1|1|1|1|1	f3v|f3v.1|P|H
83	7	35	daiidy	dar	d	r	0	5	6|7|6|4|6|3|3	1|1|1|1|632|1|1	f3v|f3v.2|P|H
84	7	33	okom	okai	o	i	0	5	4|4|4|5|4|8|4	1|1|1|1|1|141|1	f3v|f3v.3|P|H
85	9	32	qodar	een	q	n	0	8	5|3|3|6|4|2|1|5|3	1|1|1|1|1|1|1|1|1	f3v|f3v.4|P|H
86	6	24	ychear	ckha	y	a	0	5	6|6|3|1|4|4	1|1|1|1|1|1	f3v|f3v.5|P|H
87	5	21	or	chom	o	m	0	4	2|5|3|7|4	1|1|1|1|1	f3v|f3v.6|P|H
88	5	21	tchor	s	t	s	0	4	5|6|4|5|1	1|1|1|1|1	f3v|f3v.7|P|H
89	5	24	ykchy	oka	y	a	0	4	5|5|4|7|3	1|1|1|1|1	f3v|f3v.8|P|H
90	5	30	ytcheear	cthy	y	y	0	3	8|5|9|4|4	1|1|260|1|1	f3v|f3v.9|P|H
91	6	31	ochos	okary	o	y	0	5	5|5|7|5|4|5	1|1|1|1|1|1	f3v|f3v.10|P|H
92	6	31	sho	chom	s	m	0	5	3|7|4|5|8|4	1|1|1|1|1|1	f3v|f3v.11|P|H
93	6	26	osh	s	o	s	0	5	3|7|5|5|5|1	1|1|1|1|1|1	f3v|f3v.12|P|H
94	6	29	shar	chky	s	y	0	5	4|7|6|3|5|4	1|1|1|1|1|1	f3v|f3v.13|P|H
95	4	14	dain	keam	d	m	0	3	4|5|1|4	1|1|1|1	f3v|f3v.14|P|H
96	9	44	kodalchy	ytoy	k	y	0	7	8|6|5|2|5|5|5|4|4	440|1|1|1|1|1|1|1|1	f4r|f4r.1|P|H
97	10	46	dchor	chom	d	m	1	8	5|4|4|5|6|6|3|1|8|4	1|1|1|1|1|1|2|1|1|1	f4r|f4r.2|P|H
98	7	36	otchol	shain	o	n	0	6	6|4|3|6|7|5|5	1|1|1|1|1|1|1	f4r|f4r.3|P|H
99	6	28	qotchol	cthy	q	y	0	5	7|3|3|5|6|4	1|1|1|1|1|1	f4r|f4r.4|P|H
100	4	19	pydaiin	tydy	p	y	0	3	7|6|2|4	1|1|1|1	f4r|f4r.5|P|H
101	3	19	chor	dytcheey	c	y	0	2	4|7|8	1|1|1	f4r|f4r.6|P|H
102	4	22	qotaiin	cthom	q	m	0	3	7|5|5|5	1|1|1|1	f4r|f4r.7|P|H
103	5	23	shor	cpholdy	s	y	1	4	4|4|4|4|7	1|1|1|1|1	f4r|f4r.8|P|H
104	5	23	daiin	aiin	d	n	0	4	5|7|4|3|4	1|1|1|1|1	f4r|f4r.9|P|H
105	4	22	odal	cphaiin	o	n	0	2	4|4|7|7	1|1|48|1	f4r|f4r.10|P|H
106	3	18	qotchoiin	qoty	q	y	0	2	9|5|4	1|1|1	f4r|f4r.11|P|H
107	3	17	soiin	chaiin	s	n	1	2	5|6|6	1|1|1	f4r|f4r.12|P|H
108	2	10	daiin	cthey	d	y	0	1	5|5	1|1	f4r|f4r.13|P|H
109	6	34	pchooiin	dlod	p	d	0	5	8|5|5|7|5|4	1|1|1|1|1|1	f4v|f4v.1|P|H
110	8	36	ol	choldy	o	y	0	7	2|4|3|4|7|4|6|6	1|1|1|1|1|1|1|1	f4v|f4v.2|P|H
111	8	35	sho	aram	s	m	1	7	3|3|6|6|5|7|1|4	1|1|1|1|1|1|1|1	f4v|f4v.3|P|H
112	6	36	qokshy	choaiin	q	n	0	5	6|6|7|5|5|7	1|1|1|1|1|1	f4v|f4v.4|P|H
113	7	38	shor	chodain	s	n	0	6	4|5|3|6|4|9|7	1|1|1|1|1|1|1	f4v|f4v.5|P|H
114	3	19	ytchoy	cphody	y	y	0	2	6|7|6	1|1|1	f4v|f4v.6|P|H
115	5	29	torchy	cphydy	t	y	0	4	6|6|4|7|6	1|1|1|1|1	f4v|f4v.7|P|H
116	6	28	oleeeb	cthory	o	y	0	5	6|4|5|3|4|6	1|1|1|1|1|1	f4v|f4v.8|P|H
117	6	30	qooko	daiin	q	n	0	5	5|4|5|6|5|5	1|1|1|1|1|1	f4v|f4v.9|P|H
118	5	28	otaiin	chokeody	o	y	0	4	6|4|6|4|8	1|1|1|1|1	f4v|f4v.10|P|H
119	6	31	sho	daiin	s	n	0	5	3|6|5|7|5|5	1|1|1|1|1|1	f4v|f4v.11|P|H
120	8	29	qokey	ody	q	y	0	7	5|3|5|1|4|4|4|3	1|1|1|1|1|1|1|1	f4v|f4v.12|P|H
121	6	30	shody	qoty	s	y	0	5	5|1|5|7|8|4	1|1|1|1|1|1	f4v|f4v.13|P|H
122	4	18	ochody	chtody	o	y	0	3	6|3|3|6	1|1|1|1	f4v|f4v.14|P|H
123	9	40	kchody	dy	k	y	0	8	6|5|5|5|3|4|5|5|2	1|1|1|1|1|1|1|1|1	f5r|f5r.1|P|H
124	11	45	ochey	otol	o	l	0	9	5|4|7|3|5|5|4|3|3|2|4	1|1|1|1|1|1|1|1|2|1|1	f5r|f5r.2|P|H
125	8	44	qoaiin	qotchody	q	y	0	7	6|4|3|5|6|7|5|8	1|1|1|1|1|1|1|1	f5r|f5r.3|P|H
126	6	28	otain	chocthy	o	y	0	5	5|6|4|1|5|7	1|1|1|1|1|1	f5r|f5r.4|P|H
127	8	45	tchy	shodaiin	t	n	0	7	4|5|6|7|3|7|5|8	1|1|1|1|1|1|1|1	f5r|f5r.5|P|H
128	9	44	sho	dy	s	y	0	8	3|5|4|6|8|5|4|7|2	1|1|1|1|1|1|1|1|1	f5r|f5r.6|P|H
129	5	24	qotoeey	shody	q	y	0	4	7|4|4|4|5	1|1|1|1|1	f5r|f5r.7|P|H
130	10	47	k	daiin	k	n	0	9	1|1|5|4|6|5|5|8|7|5	1|1|1|1|1|1|1|1|1|1	f5v|f5v.1|P|H
131	9	40	dchol	ychopordg	d	g	0	7	5|1|1|4|6|4|5|5|9	1|1|1|1|1|1|1|1|1111	f5v|f5v.2|P|H
132	10	42	qotcho	do	q	o	2	9	6|4|5|5|6|5|1|1|7|2	1|1|1|1|1|1|1|1|1|1	f5v|f5v.3|P|H
133	10	44	qotor	taiin	q	n	0	9	5|5|4|6|4|5|5|4|1|5	1|1|1|1|1|1|1|1|1|1	f5v|f5v.4|P|H
134	8	45	shokeeol	chotaiin	s	n	0	6	8|4|7|6|5|3|4|8	998|1|1|1|1|1|1|1	f5v|f5v.5|P|H
135	3	15	otol	dairodg	o	g	0	2	4|4|7	1|1|1	f5v|f5v.6|P|H
136	9	42	foar	otcham	f	m	0	8	4|1|4|6|5|4|4|8|6	1|1|1|1|1|1|1|1|1	f6r|f6r.1|P|H
137	8	38	daiin	chotols	d	s	1	7	5|6|4|4|3|4|5|7	1|1|1|1|1|1|1|1	f6r|f6r.2|P|H
138	8	40	foeear	dam	f	m	0	6	6|5|5|2|8|5|6|3	1|1|1|1|20|1|1|1	f6r|f6r.3|P|H
139	8	33	dar	chy	d	y	0	7	3|3|1|5|7|6|5|3	1|1|1|1|1|1|1|1	f6r|f6r.4|P|H
140	6	30	tar	odam	t	m	0	5	3|6|5|5|7|4	1|1|1|1|1|1	f6r|f6r.5|P|H
141	7	31	or	ydaiin	o	n	0	6	2|2|5|5|4|7|6	1|1|1|1|1|1|1	f6r|f6r.6|P|H
142	7	27	daiin	s	d	s	1	6	5|7|3|1|4|6|1	1|1|1|1|1|1|1	f6r|f6r.7|P|H
143	5	26	ychol	ckhaiin	y	n	0	4	5|5|5|4|7	1|1|1|1|1	f6r|f6r.8|P|H
144	5	28	dar	chory	d	y	0	3	3|5|9|6|5	1|1|1021|1|1	f6r|f6r.9|P|H
145	7	25	tchor	od	t	d	1	6	5|6|3|4|2|3|2	1|1|1|1|1|1|1	f6r|f6r.10|P|H
146	4	21	ychar	chokaiin	y	n	0	3	5|6|2|8	1|1|1|1	f6r|f6r.11|P|H
147	5	19	or	cthy	o	y	0	4	2|4|5|4|4	1|1|1|1|1	f6r|f6r.12|P|H
148	3	18	qocthol	cthy	q	y	0	2	7|7|4	1|1|1	f6r|f6r.13|P|H
149	4	15	ysho	kaiim	y	m	0	3	4|5|1|5	1|1|1|1	f6r|f6r.14|P|H
150	10	45	koary	otchy	k	y	0	9	5|3|7|4|4|7|1|5|4|5	1|1|1|1|1|1|1|1|1|1	f6v|f6v.1|P|H
151	9	49	oees	chaiin	o	n	1	8	4|4|6|8|5|7|5|4|6	1|1|1|1|1|1|1|1|1	f6v|f6v.2|P|H
152	8	44	qoair	rychos	q	s	1	7	5|4|4|9|8|4|4|6	1|1|1|1|1|1|1|1	f6v|f6v.3|P|H
153	11	38	y	ytody	y	y	1	10	1|6|6|1|2|1|4|4|3|5|5	1|1|1|1|1|1|1|1|1|1|1	f6v|f6v.4|P|H
154	8	29	dair	doldom	d	m	0	7	4|1|2|6|3|4|3|6	1|1|1|1|1|1|1|1	f6v|f6v.5|P|H
155	4	23	tchody	s	t	s	0	3	6|8|8|1	1|1|1|1	f6v|f6v.6|P|H
156	5	23	ychos	dol	y	l	0	4	5|5|5|5|3	1|1|1|1|1	f6v|f6v.7|P|H
157	4	20	ychor	qokom	y	m	0	3	5|4|6|5	1|1|1|1	f6v|f6v.8|P|H
158	5	17	oeeo	s	o	s	0	4	4|3|4|5|1	1|1|1|1|1	f6v|f6v.9|P|H
159	3	18	qokchod	kchdy	q	y	0	2	7|6|5	1|1|1	f6v|f6v.10|P|H
160	6	18	lor	dy	l	y	0	5	3|4|4|4|1|2	1|1|1|1|1|1	f6v|f6v.11|P|H
161	4	18	ytchos	cthy	y	y	0	3	6|3|5|4	1|1|1|1	f6v|f6v.12|P|H
162	6	22	yodaiin	or	y	r	0	5	7|4|1|4|4|2	1|1|1|1|1|1	f6v|f6v.13|P|H
163	4	22	qokor	tchalody	q	y	0	2	5|4|5|8	1|1|1|1054	f6v|f6v.14|P|H
164	7	19	chockhy	ar	c	r	1	6	7|1|2|3|1|3|2	1|1|1|1|1|1|1	f6v|f6v.15|P|H
165	4	18	ochy	cthy	o	y	1	3	4|5|5|4	1|1|1|1	f6v|f6v.16|P|H
166	5	21	y	dy	y	y	0	3	1|6|5|7|2	1|102|1|1|1	f6v|f6v.17|P|H
167	3	19	ytchocthol	ithor	y	r	0	1	10|4|5	1169|1|1	f6v|f6v.18|P|H
168	4	17	ocholy	dor	o	r	0	3	6|5|3|3	1|1|1|1	f6v|f6v.19|P|H
169	4	21	dchor	daiin	d	n	0	3	5|7|4|5	1|1|1|1	f6v|f6v.20|P|H
170	3	16	ycheor	octham	y	m	0	2	6|4|6	1|1|1	f6v|f6v.21|P|H
171	7	41	fchodaiin	charochy	f	y	0	5	9|8|3|4|4|5|8	1|1|1|1|1|1|105	f7r|f7r.1|P|H
172	9	39	dcheey	cheody	d	y	0	8	6|3|1|4|4|5|5|5|6	1|1|1|1|1|1|1|1|1	f7r|f7r.2|P|H
173	6	38	oeeees	chald	o	d	0	5	6|9|5|7|6|5	1|1|1|1|1|1	f7r|f7r.3|P|H
174	7	36	qokcho	odaiin	q	n	0	6	6|3|6|5|5|5|6	1|1|1|1|1|1|1	f7r|f7r.4|P|H
175	2	11	oaiir	otaiin	o	n	0	1	5|6	1|1	f7r|f7r.5|P|H
176	6	37	ksholo	choaiin	k	n	0	5	6|4|7|7|6|7	1|1|1|1|1|1	f7r|f7r.6|P|H
177	8	40	dshoy	chotchy	d	y	0	7	5|5|4|6|4|5|4|7	1|1|1|1|1|1|1|1	f7r|f7r.7|P|H
178	8	41	okchey	dain	o	n	1	6	6|7|5|6|4|4|5|4	1|325|1|1|1|1|1|1	f7r|f7r.8|P|H
179	8	41	qokechy	kchod	q	d	0	7	7|2|6|4|5|6|6|5	1|1|1|1|1|1|1|1	f7r|f7r.9|P|H
180	5	21	s	chckhy	s	y	0	4	1|5|4|5|6	1|1|1|1|1	f7r|f7r.10|P|H
181	8	44	polyshy	tshodody	p	y	0	7	7|4|6|6|6|2|5|8	1|1|1|1|1|1|1|1	f7v|f7v.1|P|H
182	9	44	chochy	cthd	c	d	2	8	6|4|5|4|7|5|5|4|4	1|1|1|1|1|1|1|1|1	f7v|f7v.2|P|H
183	12	43	qokchy	dy	q	y	0	11	6|6|6|4|2|2|3|5|1|1|5|2	1|1|1|1|1|1|1|1|1|1|1|1	f7v|f7v.3|P|H
184	9	43	choteeeb	dol	c	l	0	8	8|5|7|4|3|4|4|5|3	1|1|1|1|1|1|1|1|1	f7v|f7v.4|P|H
185	4	26	dchodaiin	tcheey	d	y	0	3	9|6|5|6	1|1|1|1	f7v|f7v.5|P|H
186	9	44	kchor	qos	k	s	0	8	5|5|9|3|5|5|5|4|3	1|1|1|1|1|1|1|1|1	f7v|f7v.6|P|H
187	8	45	okshodeeeb	aiin	o	n	1	6	10|9|6|7|3|3|3|4	598|1|1|1|1|1|1|1	f7v|f7v.7|P|H
188	10	39	qoteeeo	daiin	q	n	1	9	7|1|3|7|7|3|1|4|1|5	1|1|1|1|1|1|1|1|1|1	f7v|f7v.8|P|H
189	9	36	sho	daiin	s	n	0	8	3|4|5|7|3|4|2|3|5	1|1|1|1|1|1|1|1|1	f7v|f7v.9|P|H
190	9	44	pshol	shor	p	r	0	8	5|4|6|5|5|5|3|7|4	1|1|1|1|1|1|1|1|1	f8r|f8r.1|P|H
191	9	34	tchty	al	t	l	0	7	5|2|7|3|5|2|4|4|2	1|1|410|1|1|1|1|1|1	f8r|f8r.2|P|H
192	7	32	chodar	dy	c	y	0	6	6|3|2|8|7|4|2	1|1|1|1|1|1|1	f8r|f8r.3|P|H
193	9	39	qotor	dam	q	m	1	8	5|4|4|5|5|6|4|3|3	1|1|1|1|1|1|1|1|1	f8r|f8r.4|P|H
194	11	43	okchey	taiin	o	n	0	9	6|2|1|6|2|2|4|4|8|3|5	1|1|1|1|1|1|1|1|244|1|1	f8r|f8r.5|P|H
195	7	38	tosh	sol	t	l	0	5	4|7|8|3|6|7|3	1|1|448|1|1|1|1	f8r|f8r.6|P|H
196	4	20	choto	dain	c	n	0	3	5|6|5|4	1|1|1|1	f8r|f8r.7|P|H
197	2	8	dcho	dain	d	n	0	1	4|4	1|1	f8r|f8r.8|P|H
198	8	45	tchoep	shor	t	r	0	6	6|3|6|5|6|6|9|4	1065|1|1|1|1|1|1|1	f8r|f8r.9|P|H
199	8	41	daiin	dairg	d	g	0	7	5|5|7|2|8|6|3|5	1|1|1|1|1|1|1|1	f8r|f8r.10|P|H
200	9	43	shol	otariin	s	n	0	8	4|9|5|2|1|6|4|5|7	1|1|1|1|1|1|1|1|1	f8r|f8r.11|P|H
201	4	25	qo	chotol	q	l	0	2	2|8|9|6	1|1|1016|1	f8r|f8r.12|P|H
202	1	9	okokchodg	okokchodg	o	g	0	0	9	585	f8r|f8r.13|P|H
203	13	46	c	cholal	c	l	1	10	1|3|2|1|3|3|4|7|3|4|5|4|6	1|2|1|1|2|1|1|200|1|1|1|1|1	f8r|f8r.14|P|H
204	10	49	dchey	ckhy	d	y	0	7	5|5|4|4|4|3|8|3|9|4	1|1|1|1|409|1|1|1|264|1	f8r|f8r.15|P|H
205	8	46	ychey	dar	y	r	0	6	5|8|5|4|8|9|4|3	1|1|1|1|1|256|1|1	f8r|f8r.16|P|H
206	9	38	chol	chaiin	c	n	0	8	4|4|5|3|4|5|3|4|6	1|1|1|1|1|1|1|1|1	f8r|f8r.17|P|H
207	8	41	okar	rchealcham	o	m	0	6	4|7|6|2|5|4|3|10	1|1|1|1|1|1|1|921	f8r|f8r.18|P|H
208	10	42	sair	kam	s	m	2	9	4|6|5|3|4|5|4|5|3|3	1|1|1|1|1|1|1|1|1|1	f8r|f8r.19|P|H
209	7	22	or	chal	o	l	0	6	2|3|5|4|1|3|4	1|1|1|1|1|1|1	f8r|f8r.20|P|H
210	2	9	schol	saim	s	m	0	1	5|4	1|1	f8r|f8r.21|P|H
211	13	52	c	saiin	c	n	0	11	1|3|3|4|3|1|3|4|4|4|9|8|5	1|2|1|1|2|1|1|1|1|1|1|1|1	f8v|f8v.1|P|H
212	8	41	shcthal	cty	s	y	0	7	7|3|4|7|4|7|6|3	1|1|1|1|1|1|1|1	f8v|f8v.2|P|H
213	9	42	qody	dolas	q	s	0	8	4|5|2|5|5|4|6|6|5	1|1|1|1|1|1|1|1|1	f8v|f8v.3|P|H
214	8	38	dshol	chary	d	y	0	7	5|4|3|5|5|6|5|5	1|1|1|1|1|1|1|1	f8v|f8v.4|P|H
