entity_type	entity	family_id	dimension	value	entity_total	observed_count	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
FAMILY	1	1	folio	f100r	37938	102	110.7889792	0.9206691925	0.215493444	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f100v	37938	86	93.44809548	0.9202969794	0.2387084888	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f101r	37938	226	223.5047232	1.011164313	0.4206026616	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f101v	37938	216	213.8708989	1.009955076	0.4286642583	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f102r1	37938	97	103.0819198	0.940999161	0.2912336615	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f102r2	37938	140	145.4707466	0.9623928061	0.3401222239	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f102v1	37938	123	125.2397156	0.9821165708	0.4382309576	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f102v2	37938	183	183.0426612	0.9997669328	0.5134830828	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f103r	37938	518	513.4828339	1.008797112	0.4123869447	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f103v	37938	449	439.302387	1.022075029	0.3132928931	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f104r	37938	437	432.55871	1.010267485	0.4061017487	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f104v	37938	465	462.4235653	1.00557159	0.443120161	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f105r	37938	365	368.0120874	0.9918152489	0.447907646	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f105v	37938	382	385.3529711	0.9912989615	0.4422234824	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f106r	37938	413	417.1445912	0.9900643776	0.4291865741	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f106v	37938	429	428.7051803	1.000687698	0.4846893837	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f107r	37938	469	470.1306247	0.997595084	0.4883985964	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f107v	37938	454	445.0826816	1.020035195	0.3276605795	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f108r	37938	480	479.764449	1.000490972	0.4866054777	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f108v	37938	569	559.7251905	1.016570291	0.3397437869	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f10r	37938	90	90.5579482	0.9938387717	0.5045672688	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f10v	37938	56	54.91279837	1.019798693	0.4595372769	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f111r	37938	601	603.0773997	0.9965553349	0.4743925262	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f111v	37938	562	547.2012189	1.027044496	0.2565532084	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f112r	37938	395	389.2065008	1.014885412	0.3748600653	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f112v	37938	412	404.6206196	1.018237776	0.347635116	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f113r	37938	514	511.5560691	1.004777445	0.4482195106	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f113v	37938	491	488.4348908	1.005251691	0.4448478805	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f114r	37938	446	446.046064	0.9998967282	0.5085739591	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f114v	37938	364	364.1585576	0.9995645917	0.5071377121	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f115r	37938	451	447.0094464	1.008927224	0.4158999689	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f115v	37938	403	395.9501778	1.017804822	0.3521892214	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f116r	37938	546	539.4941595	1.012059149	0.381469096	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f116v	37938	2	1.926764855	1.038009384	0.5738087915	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f11r	37938	60	59.72971051	1.00452521	0.503239243	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f11v	37938	48	49.13250381	0.9769500082	0.4734725237	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f13r	37938	76	75.14382936	1.011393759	0.4759596332	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f13v	37938	68	66.47338751	1.022965769	0.441952826	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f14r	37938	74	74.18044693	0.9975674597	0.522505684	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f14v	37938	73	72.25368207	1.010329133	0.480623188	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f15r	37938	92	90.5579482	1.015924078	0.4536954787	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f15v	37938	70	69.36353479	1.00917579	0.4854740747	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f16r	37938	82	80.92412392	1.013294875	0.4671354309	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f16v	37938	74	73.2170645	1.010693347	0.4790486468	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f17r	37938	80	78.99735907	1.012692082	0.4700069227	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f17v	37938	134	131.0200102	1.02274454	0.3805544585	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f18r	37938	83	84.77765363	0.9790315778	0.4518690395	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f18v	37938	68	67.43676993	1.008351973	0.4888205364	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f19r	37938	76	77.07059421	0.9861089145	0.4816398757	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f19v	37938	76	75.14382936	1.011393759	0.4759596332	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f1r	37938	209	212.9075165	0.9816468833	0.4076749819	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f1v	37938	91	88.63118334	1.026726673	0.4146969049	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f20r	37938	87	85.74103606	1.01468333	0.4602350535	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f20v	37938	83	84.77765363	0.9790315778	0.4518690395	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f21r	37938	102	100.1917725	1.018047665	0.4088121066	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f21v	37938	56	55.8761808	1.002215957	0.5111739001	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f22r	37938	111	110.7889792	1.00190471	0.4730713916	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f22v	37938	75	75.14382936	0.9980859459	0.5240403668	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f23r	37938	108	105.972067	1.019136486	0.4030087525	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f23v	37938	92	91.52133062	1.00523014	0.4939303184	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f24r	37938	107	108.8622143	0.9828938412	0.4480620838	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f24v	37938	82	83.8142712	0.978353672	0.4500020713	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f25r	37938	46	45.2789741	1.015924078	0.477020512	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f25v	37938	57	58.76632809	0.9699431946	0.4427806555	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f26r	37938	85	87.66780091	0.9695692046	0.4150432617	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f26v	37938	94	92.48471305	1.016384188	0.451171591	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f27r	37938	93	92.48471305	1.00557159	0.4924437485	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f27v	37938	57	58.76632809	0.9699431946	0.4427806555	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f28r	37938	65	65.51000508	0.9922148521	0.5077363462	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f28v	37938	67	65.51000508	1.02274454	0.4433087862	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f29r	37938	64	62.6198578	1.022040009	0.4474857249	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f29v	37938	93	90.5579482	1.026966731	0.4126124358	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f2r	37938	107	105.0086846	1.01896334	0.4039572134	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f2v	37938	60	58.76632809	1.020992836	0.4533322167	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f30r	37938	97	95.37486034	1.017039497	0.447477164	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f30v	37938	64	64.54662265	0.9915313516	0.5059765956	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f31r	37938	100	100.1917725	0.9980859459	0.5122827843	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f31v	37938	105	105.972067	0.990827139	0.4817120153	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f32r	37938	75	74.18044693	1.011048101	0.477494316	0.9971361433	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	folio	f32v	37938	86	85.74103606	1.003020303	0.503195654	0.9971361433	OBSERVED	OBSERVED	EXPECTED
