token	frequency	length_symbols	glyph_composition	initial_glyph	final_glyph	physical_line_coverage	folio_coverage	section_coverage	mean_normalized_line_position	median_normalized_line_position	edit_family_id
130	1	3	1|3|0	1	0	1	1	1	0.6666666667	0.6666666667	2
131	1	3	1|3|1	1	1	1	1	1	0.8	0.8	2
132	10	3	1|3|2	1	2	10	10	4	0.1169419469	0.08712121212	2
133	11	3	1|3|3	1	3	11	11	6	0.3696672015	0.3	2
134	1	3	1|3|4	1	4	1	1	1	0.4444444444	0.4444444444	2
135	2	3	1|3|5	1	5	2	1	1	0	0	2
136	2	3	1|3|6	1	6	2	2	1	0.7083333333	0.7083333333	2
137	1	3	1|3|7	1	7	1	1	1	0.1666666667	0.1666666667	2
138	3	3	1|3|8	1	8	3	3	2	0.2637037037	0.1111111111	2
139	1	3	1|3|9	1	9	1	1	1	0.2727272727	0.2727272727	2
140	4	3	1|4|0	1	0	4	2	1	0.4861111111	0.5	2
145	2	3	1|4|5	1	5	2	2	2	0.5297619048	0.5297619048	2
146	2	3	1|4|6	1	6	2	2	2	0.4962121212	0.4962121212	2
147	1	3	1|4|7	1	7	1	1	1	0.6666666667	0.6666666667	2
148	2	3	1|4|8	1	8	2	2	1	0.5085470085	0.5085470085	2
149	1	3	1|4|9	1	9	1	1	1	0.8571428571	0.8571428571	2
150	2	3	1|5|0	1	0	2	2	2	0.4411764706	0.4411764706	2
151	1	3	1|5|1	1	1	1	1	1	0.1111111111	0.1111111111	2
152	3	3	1|5|2	1	2	3	3	2	0.6481481481	0.6	2
153	1	3	1|5|3	1	3	1	1	1	0.5	0.5	2
154	2	3	1|5|4	1	4	2	2	1	0.3055555556	0.3055555556	2
155	1	3	1|5|5	1	5	1	1	1	0.125	0.125	2
156	1	3	1|5|6	1	6	1	1	1	0	0	2
159	1	3	1|5|9	1	9	1	1	1	0	0	2
161	1	3	1|6|1	1	1	1	1	1	0.75	0.75	2
162	4	3	1|6|2	1	2	4	4	3	0.4802650838	0.4325581395	2
163	1	3	1|6|3	1	3	1	1	1	0.6666666667	0.6666666667	2
164	1	3	1|6|4	1	4	1	1	1	0.5	0.5	2
165	1	3	1|6|5	1	5	1	1	1	0.5833333333	0.5833333333	2
166	2	3	1|6|6	1	6	2	2	2	0.5833333333	0.5833333333	2
167	3	3	1|6|7	1	7	3	3	2	0.1136363636	0.09090909091	2
168	2	3	1|6|8	1	8	2	2	2	0.4318181818	0.4318181818	2
169	5	3	1|6|9	1	9	2	2	2	0.5056338028	0.5	2
170	5	3	1|7|0	1	0	2	1	1	0.4918806959	0.4366197183	2
171	5	3	1|7|1	1	1	2	1	1	0.561971831	0.5	2
172	6	3	1|7|2	1	2	3	2	2	0.6353677621	0.6232394366	2
174	1	3	1|7|4	1	4	1	1	1	0.125	0.125	2
175	6	3	1|7|5	1	5	6	4	3	0.9047619048	1	2
176	3	3	1|7|6	1	6	3	2	2	0.4757834758	0.5384615385	2
177	1	3	1|7|7	1	7	1	1	1	0	0	2
178	2	3	1|7|8	1	8	2	2	2	0.5666666667	0.5666666667	2
179	1	3	1|7|9	1	9	1	1	1	0.1818181818	0.1818181818	2
180	1	3	1|8|0	1	0	1	1	1	0	0	2
181	1	3	1|8|1	1	1	1	1	1	0.09090909091	0.09090909091	2
182	1	3	1|8|2	1	2	1	1	1	0.875	0.875	2
183	1	3	1|8|3	1	3	1	1	1	0	0	2
184	1	3	1|8|4	1	4	1	1	1	0.35	0.35	2
185	2	3	1|8|5	1	5	2	2	2	0.6420454545	0.6420454545	2
186	1	3	1|8|6	1	6	1	1	1	0.08333333333	0.08333333333	2
187	1	3	1|8|7	1	7	1	1	1	0	0	2
188	1	3	1|8|8	1	8	1	1	1	0.8	0.8	2
189	1	3	1|8|9	1	9	1	1	1	0.8888888889	0.8888888889	2
190	1	3	1|9|0	1	0	1	1	1	0.5555555556	0.5555555556	2
191	4	3	1|9|1	1	1	3	3	2	0.5726495726	0.5085470085	2
192	4	3	1|9|2	1	2	4	3	3	0.4861111111	0.5	2
193	1	3	1|9|3	1	3	1	1	1	0.4545454545	0.4545454545	2
194	1	3	1|9|4	1	4	1	1	1	0.6363636364	0.6363636364	2
195	1	3	1|9|5	1	5	1	1	1	0.5	0.5	2
196	5	3	1|9|6	1	6	5	5	2	0.5116666667	0.6	2
197	2	3	1|9|7	1	7	2	2	2	0.5151515152	0.5151515152	2
199	1	3	1|9|9	1	9	1	1	1	0	0	2
200	1	3	2|0|0	2	0	1	1	1	0.5	0.5	2
201	1	3	2|0|1	2	1	1	1	1	0	0	2
203	1	3	2|0|3	2	3	1	1	1	0.8	0.8	2
204	3	3	2|0|4	2	4	3	2	2	0.3264704914	0.4146341463	2
206	4	3	2|0|6	2	6	3	3	2	0.6359351433	0.8012820513	2
207	1	3	2|0|7	2	7	1	1	1	0.2727272727	0.2727272727	2
208	2	3	2|0|8	2	8	2	2	2	0.9545454545	0.9545454545	2
210	1	3	2|1|0	2	0	1	1	1	1	1	2
211	1	3	2|1|1	2	1	1	1	1	0.9333333333	0.9333333333	2
212	1	3	2|1|2	2	2	1	1	1	0.1481481481	0.1481481481	2
213	1	3	2|1|3	2	3	1	1	1	0.4	0.4	2
214	1	3	2|1|4	2	4	1	1	1	0.5	0.5	2
216	1	3	2|1|6	2	6	1	1	1	0.08333333333	0.08333333333	2
231	1	3	2|3|1	2	1	1	1	1	0.7857142857	0.7857142857	2
232	1	3	2|3|2	2	2	1	1	1	0.8571428571	0.8571428571	2
233	1	3	2|3|3	2	3	1	1	1	0.9285714286	0.9285714286	2
234	1	3	2|3|4	2	4	1	1	1	1	1	2
240	2	3	2|4|0	2	0	1	1	1	0.1612903226	0.1612903226	2
241	1	3	2|4|1	2	1	1	1	1	0.8181818182	0.8181818182	2
242	1	3	2|4|2	2	2	1	1	1	1	1	2
243	3	3	2|4|3	2	3	3	3	1	0.75	1	2
244	1	3	2|4|4	2	4	1	1	1	1	1	2
245	1	3	2|4|5	2	5	1	1	1	0.5454545455	0.5454545455	2
246	4	3	2|4|6	2	6	4	4	3	0.5102175602	0.5050505051	2
I	1	1	I	I	I	1	1	1	0.2253521127	0.2253521127	1
a	15	1	a	a	a	15	13	5	0.620601	0.6176470588	1
acheody	1	7	a|c|h|e|o|d|y	a	y	1	1	1	0.5833333333	0.5833333333	1
acthhy	1	6	a|c|t|h|h|y	a	y	1	1	1	1	1	1
acthy	1	5	a|c|t|h|y	a	y	1	1	1	1	1	1
adair	1	5	a|d|a|i|r	a	r	1	1	1	0	0	1
adairchdy	1	9	a|d|a|i|r|c|h|d|y	a	y	1	1	1	0	0	51
adairy	1	6	a|d|a|i|r|y	a	y	1	1	1	0.5	0.5	1
adal	1	4	a|d|a|l	a	l	1	1	1	0.880952381	0.880952381	1
adam	1	4	a|d|a|m	a	m	1	1	1	1	1	1
adar	1	4	a|d|a|r	a	r	1	1	1	0.0625	0.0625	1
adashgasain	1	11	a|d|a|s|h|g|a|s|a|i|n	a	n	1	1	1	0.5	0.5	52
adchey	1	6	a|d|c|h|e|y	a	y	1	1	1	0.6153846154	0.6153846154	1
adeeody	1	7	a|d|e|e|o|d|y	a	y	1	1	1	0.3333333333	0.3333333333	53
adoldy	1	6	a|d|o|l|d|y	a	y	1	1	1	0.75	0.75	1
ador	1	4	a|d|o|r	a	r	1	1	1	0.8	0.8	1
aeeodchy	1	8	a|e|e|o|d|c|h|y	a	y	1	1	1	0.6666666667	0.6666666667	54
afalairidy	1	10	a|f|a|l|a|i|r|i|d|y	a	y	1	1	1	1	1	55
ag	1	2	a|g	a	g	1	1	1	1	1	1
agairom	1	7	a|g|a|i|r|o|m	a	m	1	1	1	1	1	56
ai	1	2	a|i	a	i	1	1	1	0.75	0.75	1
aickyy	1	6	a|i|c|k|y|y	a	y	1	1	1	1	1	57
aifhhy	1	6	a|i|f|h|h|y	a	y	1	1	1	0.9	0.9	58
aify	1	4	a|i|f|y	a	y	1	1	1	1	1	1
aig	2	3	a|i|g	a	g	2	2	2	0.2214285714	0.2214285714	1
aiichy	1	6	a|i|i|c|h|y	a	y	1	1	1	0.125	0.125	9
aiicthy	1	7	a|i|i|c|t|h|y	a	y	1	1	1	1	1	9
aiidaiim	1	8	a|i|i|d|a|i|i|m	a	m	1	1	1	1	1	59
aiidal	1	6	a|i|i|d|a|l	a	l	1	1	1	0.8	0.8	1
aiidy	1	5	a|i|i|d|y	a	y	1	1	1	0.625	0.625	1
