entity_type	entity	family_id	dimension	value	entity_total	observed_count	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
FAMILY	1	1	locus	C	37938	2284	2341.019299	0.9756433878	0.1213754878	0.7849718906	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	locus	L	37938	1055	1183.033621	0.8917751627	0.0001044991444	0.00527245683	OBSERVED	OBSERVED	DEPLETED
FAMILY	1	1	locus	P	37938	34273	34068.09279	1.006014637	0.1328835961	0.7849718906	OBSERVED	OBSERVED	EXPECTED
FAMILY	1	1	locus	R	37938	326	345.8542915	0.9425934794	0.149004543	0.7849718906	OBSERVED	OBSERVED	EXPECTED
FAMILY	2	2	locus	C	174	33	10.7369223	3.073506457	3.799162718e-08	8.100271398e-06	OBSERVED	OBSERVED	STRONGLY_PREFERRED
FAMILY	2	2	locus	L	174	17	5.425901473	3.133119922	5.375902461e-05	0.003225541476	OBSERVED	OBSERVED	STRONGLY_PREFERRED
FAMILY	2	2	locus	P	174	124	156.2509396	0.7935952279	0.005541553378	0.1187849431	OBSERVED	OBSERVED	EXPECTED
FAMILY	2	2	locus	R	174	0	1.586236668	0	0.2046944973	0.7849718906	UNOBSERVED	NEVER_IN_locus	EXPECTED
TOKEN	132	2	locus	C	10	0	0.6170644997	0	0.5395258937	0.7849718906	UNOBSERVED	NEVER_IN_locus	EXPECTED
TOKEN	132	2	locus	L	10	0	0.311833418	0	0.7321034733	0.8556629897	UNOBSERVED	NEVER_IN_locus	EXPECTED
TOKEN	132	2	locus	P	10	10	8.979939055	1.113593304	0.4099486328	0.7849718906	OBSERVED	ONLY_IN_locus	EXPECTED
TOKEN	132	2	locus	R	10	0	0.09116302692	0	0.9128688766	0.9128688766	UNOBSERVED	NEVER_IN_locus	EXPECTED
TOKEN	133	2	locus	C	11	0	0.6787709497	0	0.5072400329	0.7849718906	UNOBSERVED	NEVER_IN_locus	EXPECTED
TOKEN	133	2	locus	L	11	2	0.3430167598	5.830618893	0.04695996137	0.5148338764	OBSERVED	OBSERVED	EXPECTED
